r,vc2_field_isolated,vc2_baryon,vc2_field_deformed,vc_total_unchanged_field,vc_total_deformed,vc_total_spherical
0.1,0.00332671460136901,0.000319176186497947,0.00384744392773867,0.0603812122093202,0.0645493618422105,0.0647878202376225
0.11,0.00402364536264066,0.000385906951219402,0.0046517131161279,0.0664044600449402,0.0709761936662378,0.0712383442868881
0.12,0.00478628285839379,0.000458875562877923,0.00553166229589515,0.0724234659573243,0.0773985649658511,0.077684340242497
0.13,0.00561444568474985,0.000538050278084507,0.00648726417647227,0.0784378477702847,0.0838171489288247,0.0841264825550228
0.14,0.0065079369564533,0.000623396719206351,0.00751801959870659,0.084447224203402,0.0902297972840067,0.0905626115943606
0.15,0.00746654437965607,0.000714877905294026,0.00862385309011011,0.0904512149445771,0.0966371098253882,0.0969933272015045
0.16,0.00849004033035198,0.000812454285251924,0.00980440382172829,0.0964494407220897,0.103038139089272,0.103417675102331
0.17,0.00957818193842151,0.000916083773200493,0.0110593189822438,0.102441523376129,0.109432183362319,0.109834947680279
0.18,0.0107307111772446,0.00102572178597558,0.0123884157796203,0.108427085929763,0.115819417912524,0.116245317897943
0.19,0.0119473549588361,0.00114132128270714,0.0137911721934411,0.11440575265931,0.122198582136407,0.122647516700098
0.2,0.0132278252344556,0.00126283280641673,0.0152673628630543,0.120377149164085,0.128569808545673,0.129041673986952
0.21,0.0145718191006423,0.0013902045275703,0.0168165541301535,0.126340902435484,0.134932422559308,0.135427109125155
0.22,0.0159790189106204,0.00152338228952039,0.0184383091674714,0.132296640925387,0.141285850165513,0.141803242471973
0.23,0.0174490923910189,0.00166230965576921,0.0201323192620013,0.138243994613828,0.147630040702326,0.148170019907633
0.24,0.0189816927638476,0.00180692795898172,0.0218980108194055,0.144182595075929,0.153964082754346,0.154526522976312
0.25,0.0205764588736687,0.00195717635167602,0.0237350360008588,0.150112075548054,0.160287904573411,0.160872676393808
0.26,0.0222330153198987,0.00211299185851591,0.0256428825825145,0.15603207099316,0.166600943697899,0.167207912134512
0.27,0.0239509725941757,0.00227430943012906,0.0276210305709304,0.161942218165322,0.172902689397995,0.173531714148463
0.28,0.0257299272227219,0.00244106199837241,0.0296690614050516,0.167842155673401,0.179192978108586,0.179843914992565
0.29,0.0275694619136314,0.00261318053296487,0.0317863396359749,0.173731524043843,0.185471076367556,0.186143775020863
0.3,0.0294691457090092,0.00279059409940643,0.0339724104573487,0.179609965782569,0.191736810646144,0.192431116838747
0.31,0.0314285341418845,0.00297322991810121,0.0362266834082665,0.185477125435957,0.197989679848137,0.19870543417597
0.32,0.0334471693978211,0.00316101342460143,0.0385485583267368,0.19133264965087,0.204229213755864,0.204966251807931
0.33,0.0355245804811442,0.00335386833088831,0.0409375182264259,0.197176187233734,0.210455188953169,0.211213342336224
0.34,0.0376602833857007,0.00355171668760532,0.0433928630991158,0.203007389208635,0.216666978994772,0.217446073753983
0.35,0.0398537812700672,0.00375447894715892,0.045914042514033,0.208825908874417,0.222864356641415,0.223664214899582
0.36,0.0421045646371198,0.00396207402760144,0.0485003909293893,0.214631401860774,0.229046861923474,0.229867300988673
0.37,0.0444121115178762,0.00417441937721095,0.0511512325003429,0.220423526183316,0.235214055442173,0.236054887938247
0.38,0.0467758876595197,0.00439143103968276,0.0538659614737462,0.226201942297591,0.241365682136937,0.242226716770815
0.39,0.0491953467175103,0.00461302371984779,0.0566438144873122,0.231966313152057,0.24750118829444,0.248382228727904
0.4,0.0516699304516886,0.00483911084983307,0.0594841552329125,0.237716304239995,0.253620318749791,0.254521164818102
0.41,0.0541990689262773,0.00506960465558047,0.0623862479253901,0.243451583650339,0.259722645491244,0.260643092571969
0.42,0.056782180713681,0.00530441622364042,0.0653493466371125,0.249171822117433,0.265807755456369,0.266747594581488
0.43,0.0594186731019815,0.00554345556815821,0.0683727658727686,0.254876693069688,0.271875378511786,0.272834396967494
0.44,0.0621079423060299,0.00578663169797141,0.0714556824715332,0.260565872677143,0.277925015371961,0.278902995867955
0.45,0.0648493736820309,0.00603385268373832,0.0745973834173063,0.266239039897926,0.283956398239315,0.28495311985187
0.46,0.0676423419455151,0.0062850257250183,0.0777970686731075,0.271895876523594,0.289969126629243,0.290984364343932
0.47,0.0704862113925897,0.00654005721722658,0.0810539287024919,0.277536067223372,0.295962811717483,0.296996336531935
0.48,0.073380336124363,0.00679885281838749,0.0843672071408907,0.283159299587265,0.301937178829104,0.302988758239392
0.49,0.0763240602744323,0.00706131751561159,0.0877360261455761,0.28876526416805,0.307891772642901,0.30896117001765
0.5,0.0793167182393252,0.00732735569122424,0.0911596050185438,0.294353654522157,0.313826322525323,0.314913297860897
0.51,0.0823576349117812,0.00759687118847479,0.0946370863143202,0.299924167249417,0.319740453341136,0.320844762925028
0.52,0.0854461259167605,0.00786976737675736,0.0981676040563834,0.305476502031691,0.3256337995865,0.32675519609542
0.53,0.088581497850069,0.00814594721627669,0.101750339933885,0.311010361670388,0.331506089160006,0.332644322067278
0.54,0.0917630485194828,0.00842531332209415,0.105384367637396,0.316525452122854,0.337356904419475,0.338511719514457
0.55,0.0949900671882542,0.00870776802749149,0.109068847848436,0.322021482537649,0.343185978553797,0.344357118565211
0.56,0.0982618348208849,0.00899321344659211,0.112802873199528,0.327498165288719,0.34899296074007,0.350180165085558
0.57,0.101577624331049,0.00928155153618186,0.116585528987639,0.332955216008446,0.354777508480767,0.355980513362785
0.58,0.10493670083155,0.00957268415667395,0.120415943994654,0.338392353619617,0.360539357284788,0.361757896041806
0.59,0.108338321886181,0.00986651313216466,0.124293150449723,0.343809300366272,0.366278123264123,0.367511925995256
0.6,0.111781737763387,0.0101629403095294,0.128216259564329,0.349205781843481,0.371993548161602,0.373242342255477
0.61,0.115266191691596,0.0104618676165106,0.132184322013028,0.354581527026023,0.377685305021971,0.378948814968965
0.62,0.118790920116097,0.0107631971187528,0.136196382489488,0.359936268296,0.383353074343015,0.384631021830174
0.63,0.122355152957364,0.0110668310757399,0.140251526017756,0.365269741469375,0.388996602933105,0.390288707154759
0.64,0.125958113870669,0.0113726719955961,0.144348750931494,0.370581685821446,0.394615538121715,0.395921515481182
0.65,0.129599020506902,0.0116806226887119,0.148487128199134,0.375871844111279,0.400209633676959,0.401529198246758
0.66,0.133277084774454,0.0119905863201586,0.152665674834934,0.381139962605094,0.405778586368346,0.407111449748457
0.67,0.136991513102037,0.0123024664608604,0.156883403335124,0.386385791098609,0.411322099814713,0.412667971227029
0.68,0.140741506702343,0.0126161671374926,0.161139364180321,0.391609082938375,0.416839934888457,0.418198521457749
0.69,0.144526261836389,0.0129315928810782,0.165432529749815,0.39680959504209,0.422331768436727,0.42370277494901
0.7,0.148344970078463,0.0132486487742585,0.169761940023293,0.401987087917911,0.427797368853002,0.429180498165368
0.71,0.152196818581516,0.0135672404972145,0.17412658685445,0.407141325682778,0.433236456628091,0.434631409560796
0.72,0.156080990342894,0.0138872743722184,0.17852545910915,0.412272076079756,0.438648758668446,0.440055234098926
0.73,0.1599966644703,0.0142086574067987,0.182957581935945,0.417379110494402,0.444034052008113,0.445451747130097
0.74,0.163943016447846,0.0145312973355023,0.187421909917118,0.422462203970188,0.449392041821638,0.450820651944972
0.75,0.16791921840209,0.0148551026602417,0.191917461255473,0.427521135222963,0.45472251309531,0.456161732018606
0.76,0.171924439367924,0.0151799826892149,0.196443211222736,0.432555686654491,0.460025210083046,0.461474730010363
0.77,0.175957845554217,0.0155058475743927,0.200998133665979,0.43756564436506,0.465299883129548,0.46675939476377
0.78,0.18001860060908,0.0158326083475627,0.205581237529653,0.442550798165186,0.470546327025529,0.472015519811209
0.79,0.184105865884629,0.016160176954931,0.210191467831572,0.447510941586415,0.475764274390694,0.477242836343752
0.8,0.18821880070115,0.0164884662902754,0.214827830086341,0.452445871891241,0.480953528292096,0.482441146344938
0.81,0.192356562610535,0.0168173902266525,0.219489291524904,0.457355390082141,0.486113856777973,0.487610216713649
0.82,0.196518307658888,0.0171468636466605,0.224174819519909,0.462239300909766,0.49124503373222,0.492749820276759
0.83,0.200703190648172,0.0174768024712612,0.228883415770139,0.467097412880262,0.496346872903819,0.497859769956849
0.84,0.204910365396794,0.017807123687167,0.233614023909038,0.471929538261763,0.501419133655872,0.502939824141175
0.85,0.209138984999019,0.0181377453728011,0.238365645643122,0.476735493090058,0.506461638247087,0.507989804437349
0.86,0.213388202083108,0.0184685867228398,0.243137248556829,0.48151509717344,0.511474178507252,0.513009501970074
0.87,0.217657169068047,0.018799568071348,0.247927801919593,0.486268174096758,0.516456551890806,0.517998713579471
0.88,0.221945038418792,0.0191306109135196,0.252736308886048,0.490994551224667,0.521408591988632,0.522957272463425
