run,case,t,N,T,Qg,Ea,Es,Wf,Vb,Wb,E,I,mixed_orthogonal_number_fraction,Es_tail_bound
J239_R24,isolated_mixed,0.0,33.34725351587579,6.922112282765176,1.6475478377913748,1.8927523895720833e-32,2.4845352111760334e-30,-18.768933110867476,0.0,-0.0,-10.199272990310925,183.67604990734543,3.399383450776006e-33,0.0
J239_R24,isolated_mixed,0.0025,33.3472535158758,6.922112282765179,1.6475478377913755,5.243932565508075e-32,7.714456322885963e-30,-18.768933110867483,0.0,-0.0,-10.199272990310929,183.67604990734546,4.3934746467499006e-33,0.0
J239_R24,isolated_mixed,0.005,33.34725351587579,6.922112282765176,1.6475478377913744,1.6485833109214594e-30,4.098946929213055e-28,-18.768933110867476,0.0,-0.0,-10.199272990310925,183.67604990734543,1.5009033957170391e-31,0.0
J239_R24,isolated_mixed,0.0075,33.34725351587579,6.922112282765178,1.6475478377913744,1.4185478734661351e-30,4.607155716824855e-28,-18.76893311086748,0.0,-0.0,-10.199272990310927,183.67604990734546,1.5740248341222163e-31,0.0
J239_R24,isolated_mixed,0.01,33.34725351587579,6.922112282765177,1.6475478377913744,4.195780952514738e-31,1.9728642123569595e-28,-18.76893311086748,0.0,-0.0,-10.199272990310927,183.67604990734546,6.64551610049629e-32,0.0
J239_R24,isolated_mixed,0.0125,33.3472535158758,6.922112282765178,1.647547837791375,5.07901838011406e-31,1.950653636891388e-28,-18.76893311086748,0.0,-0.0,-10.199272990310927,183.67604990734546,6.917908157098738e-32,0.0
J239_R24,isolated_mixed,0.015,33.34725351587579,6.922112282765177,1.6475478377913748,4.036168177703205e-30,1.0051565192604962e-27,-18.76893311086748,0.0,-0.0,-10.199272990310927,183.67604990734543,3.35716410507369e-31,0.0
J239_R24,isolated_mixed,0.0175,33.34725351587579,6.922112282765177,1.6475478377913744,3.496216437869415e-30,1.2670673040813e-27,-18.768933110867472,0.0,-0.0,-10.19927299031092,183.67604990734543,4.153630568322117e-31,0.0
J239_R24,isolated_mixed,0.02,33.34725351587579,6.922112282765177,1.6475478377913748,1.3228822461310997e-30,6.497379219751203e-28,-18.76893311086748,0.0,-0.0,-10.199272990310927,183.67604990734546,2.1184080686010067e-31,0.0
J239_R24,isolated_mixed,0.0225,33.3472535158758,6.922112282765178,1.647547837791375,1.444502137026556e-30,6.395049883694904e-28,-18.76893311086748,0.0,-0.0,-10.199272990310927,183.6760499073455,2.0928879302764977e-31,0.0
J239_R24,isolated_mixed,0.025,33.34725351587579,6.922112282765178,1.6475478377913748,3.8917805470942265e-30,1.3885817855485408e-27,-18.768933110867476,0.0,-0.0,-10.199272990310924,183.67604990734543,4.808099269155491e-31,0.0
J239_R24,isolated_mixed,0.0275,33.34725351587579,6.922112282765178,1.6475478377913744,5.03901333765041e-30,1.7088152186093773e-27,-18.76893311086747,0.0,-0.0,-10.199272990310916,183.67604990734543,6.2982819396934375e-31,0.0
J239_R24,isolated_mixed,0.03,33.34725351587579,6.922112282765178,1.6475478377913748,3.3045627171577345e-30,1.1274062559290975e-27,-18.768933110867476,0.0,-0.0,-10.199272990310924,183.67604990734543,3.8891192317682246e-31,0.0
J239_R24,isolated_mixed,0.0325,33.34725351587579,6.922112282765178,1.6475478377913748,3.1347088097061753e-30,1.1129421967378559e-27,-18.768933110867476,0.0,-0.0,-10.199272990310924,183.67604990734543,3.716540449949035e-31,0.0
J239_R24,isolated_mixed,0.035,33.347253515875806,6.922112282765178,1.647547837791375,5.833604709324835e-30,1.5193588465710987e-27,-18.76893311086748,0.0,-0.0,-10.199272990310927,183.6760499073455,5.5155193850241795e-31,0.0
J239_R24,isolated_mixed,0.0375,33.34725351587579,6.922112282765178,1.647547837791375,4.5249750971180706e-30,1.5698484268381008e-27,-18.768933110867476,0.0,-0.0,-10.199272990310924,183.67604990734543,5.395602032523172e-31,0.0
J239_R24,isolated_mixed,0.04,33.34725351587579,6.922112282765177,1.6475478377913748,3.749348467786648e-30,1.240365968208736e-27,-18.768933110867476,0.0,-0.0,-10.199272990310924,183.67604990734543,4.493709232423152e-31,0.0
J239_R24,isolated_mixed,0.0425,33.347253515875806,6.922112282765178,1.647547837791375,4.6467034692151394e-30,1.2530449939975864e-27,-18.768933110867483,0.0,-0.0,-10.19927299031093,183.67604990734546,4.411067467931925e-31,0.0
J239_R24,isolated_mixed,0.045,33.34725351587579,6.922112282765177,1.6475478377913744,1.073385731242883e-29,2.0333554848262716e-27,-18.768933110867476,0.0,-0.0,-10.199272990310924,183.67604990734543,7.75688283276496e-31,0.0
J239_R24,isolated_mixed,0.0475,33.34725351587579,6.922112282765177,1.647547837791375,1.0076305815942304e-29,2.123111459811219e-27,-18.76893311086748,0.0,-0.0,-10.199272990310927,183.67604990734546,7.825516710677767e-31,0.0
J239_R24,isolated_mixed,0.05,33.34725351587579,6.922112282765176,1.6475478377913744,5.064271892818932e-30,1.6335505996492073e-27,-18.76893311086747,0.0,-0.0,-10.199272990310918,183.67604990734543,5.940600386364605e-31,0.0
J239_R24,isolated_mixed,0.0525,33.34725351587579,6.922112282765178,1.6475478377913748,4.1807936493936264e-30,1.6385455707115804e-27,-18.768933110867476,0.0,-0.0,-10.199272990310924,183.67604990734543,6.012481379752044e-31,0.0
J239_R24,isolated_mixed,0.055,33.34725351587579,6.922112282765178,1.6475478377913748,8.14845706309975e-30,2.0576089711660335e-27,-18.768933110867476,0.0,-0.0,-10.199272990310924,183.67604990734546,7.920358991773843e-31,0.0
J239_R24,isolated_mixed,0.0575,33.3472535158758,6.922112282765178,1.647547837791375,7.238940028486829e-30,2.166318812745068e-27,-18.76893311086748,0.0,-0.0,-10.199272990310927,183.67604990734546,7.52344319077655e-31,0.0
J239_R24,isolated_mixed,0.06,33.34725351587579,6.922112282765176,1.6475478377913741,7.625558994536028e-30,1.823677400303593e-27,-18.768933110867476,0.0,-0.0,-10.199272990310925,183.67604990734543,6.646870605532591e-31,0.0
