run,t,r_initial,v_initial,delta_radius,delta_radial_speed,delta_tangential_speed,radius_jet,radial_speed_jet,tangential_speed_jet,instantaneous_delta_vc2,instantaneous_vc2_jet,baseline_radial_drift
J239_R24,0.0,1.0116885382292078,0.8984427320750429,0.0,0.0,0.0,0.0,0.0,-0.0,-1.1231999088914344e-16,-0.0,0.0
J239_R24,0.0025,1.0116885382292078,0.8984427320750429,1.0129076855582265e-13,1.6206658440615256e-10,-8.992806499463768e-14,1.0155506473842e-13,1.6248810358147198e-10,-9.018725266903467e-14,-1.9675431134327813e-07,-1.9726482239037062e-07,1.178876300343543e-21
J239_R24,0.005,1.0116885382292078,0.8984427320750429,1.620661897610597e-12,1.29652426716244e-09,-1.439293129124053e-12,1.62488103581472e-12,1.2999048286517759e-09,-1.4429960427045547e-12,-7.870024592325519e-07,-7.890592895614825e-07,-1.0181471379616564e-21
J239_R24,0.0075,1.0116885382292078,0.8984427320750429,8.204491074665218e-12,4.375670957519282e-09,-7.286171666009977e-12,8.225960243812018e-12,4.387178796699743e-09,-7.305167466191807e-12,-1.770700091086779e-06,-1.7753834015133352e-06,-1.9931732495508076e-21
J239_R24,0.01,1.0116885382292078,0.8984427320750429,2.5929700247317425e-11,1.0371628960849912e-08,-2.3027246776052834e-11,2.599809657303552e-11,1.0399238629214207e-08,-2.3087936683272876e-11,-3.147773280583636e-06,-3.15623715824593e-06,1.0161092148915832e-21
J239_R24,0.0125,1.0116885382292078,0.8984427320750429,6.330320016478142e-11,2.0256252226143292e-08,-5.6217253074919427e-11,6.34719154615125e-11,2.0311012947684002e-08,-5.636703291814668e-11,-4.918118535297278e-06,-4.931620559759265e-06,9.0967028912306e-21
J239_R24,0.015,1.0116885382292078,0.8984427320750429,1.3126110927329715e-10,3.5001038083264876e-08,-1.1656808851512324e-10,1.316153639009923e-10,3.509743037359794e-08,-1.1688267945906892e-10,-7.081602792430177e-06,-7.101533606053341e-06,2.3508340437351073e-20
J239_R24,0.0175,1.0116885382292078,0.8984427320750429,2.4316775030731895e-10,5.557703777671662e-08,-2.1594814825220965e-10,2.438337104369465e-10,5.57334195284449e-08,-2.1653959365835233e-10,-9.638063420610247e-06,-9.665976297128161e-06,3.99023080256207e-20
J239_R24,0.02,1.0116885382292078,0.8984427320750429,4.1481442376018815e-10,8.295476738432089e-08,-3.6838121442173133e-10,4.159695451685683e-10,8.319390903371366e-08,-3.69406986932366e-10,-1.2587308220677076e-05,-1.262494863298372e-05,5.665084649923608e-20
J239_R24,0.0225,1.0116885382292078,0.8984427320750429,6.64417958414952e-10,1.1810411862491646e-07,-5.900446797824088e-10,6.663027797487734e-10,1.1845382751089306e-07,-5.917185647615364e-10,-1.5929115426580494e-05,-1.5978450613620018e-05,6.900958917202528e-20
J239_R24,0.025,1.0116885382292078,0.8984427320750429,1.0126190390065991e-09,1.6199426965923445e-07,-8.992692146492232e-10,1.0155506473842e-09,1.6248810358147202e-07,-9.018725266903469e-10,-1.966323370538057e-05,-1.972648223903706e-05,8.267343181360665e-20
J239_R24,0.0275,1.0116885382292078,0.8984427320750429,1.4824803109090243e-09,2.155935960016224e-07,-1.316535436224342e-09,1.4868677028352072e-09,2.1627166586693917e-07,-1.3204315663273366e-09,-2.3789382161066483e-05,-2.386904350923484e-05,1.0500640703638005e-19
J239_R24,0.03,1.0116885382292078,0.8984427320750429,2.0994842620997585e-09,2.7986958135268545e-07,-1.864473575530212e-09,2.1058458224158766e-09,2.8077944298878353e-07,-1.8701228713451027e-09,-2.8307250332984063e-05,-2.8406134424213364e-05,1.2879828003273816e-19
J239_R24,0.0325,1.0116885382292078,0.8984427320750429,2.891530882216272e-09,3.557887284904874e-07,-2.567860368785091e-09,2.9005142039940135e-09,3.5698636356849396e-07,-2.5758381234802995e-09,-3.3216498198419125e-05,-3.3337754983972634e-05,1.4956729958408053e-19
J239_R24,0.035,1.0116885382292078,0.8984427320750429,3.888935098895306e-09,4.4431647019552305e-07,-3.4536178361577186e-09,3.901339366991144e-09,4.458673562275592e-07,-3.4646334985336372e-09,-3.851675617798885e-05,-3.8663905188512645e-05,1.69531911724077e-19
J239_R24,0.0375,1.0116885382292078,0.8984427320750429,5.124423991427599e-09,5.46417080168499e-07,-4.5508091739421275e-09,5.141225152382512e-09,5.483973495874679e-07,-4.56572966636988e-09,-4.420762513508018e-05,-4.4384585037833385e-05,1.925095099578656e-19
J239_R24,0.04,1.0116885382292078,0.8984427320750429,6.633133781757291e-09,6.630535839962443e-07,-5.890637977401525e-09,6.655512722697093e-09,6.655512722697092e-07,-5.910511790917856e-09,-5.028867638213971e-05,-5.049979453193488e-05,2.1964695217394555e-19
J239_R24,0.0425,1.0116885382292078,0.8984427320750429,8.452606602967596e-09,7.951876701564155e-07,-7.50644357783159e-09,8.481980562017578e-09,7.98304052895772e-07,-7.532529530170448e-09,-5.6759451680898395e-05,-5.7009533670817115e-05,2.4678227116620694e-19
J239_R24,0.045,1.0116885382292078,0.8984427320750429,1.0622787045213611e-08,9.437796010185407e-07,-9.43369959927054e-09,1.0660844475980374e-08,9.476306200871445e-07,-9.467497036184582e-09,-6.361946325191867e-05,-6.391380245448007e-05,2.72344820000646e-19
J239_R24,0.0475,1.0116885382292078,0.8984427320750429,1.3186018479305398e-08,1.1097881239065209e-06,-1.1710009517607034e-08,1.323475759177563e-08,1.1145059024653164e-06,-1.1753292955081266e-08,-7.08681937763916e-05,-7.121260088292378e-05,2.9673039768908825e-19
J239_R24,0.05,1.0116885382292078,0.8984427320750429,1.6187039157956584e-08,1.2941703822069733e-06,-1.4375103662978006e-08,1.62488103581472e-08,1.2999048286517762e-06,-1.442996042704555e-08,-7.850509640568413e-05,-7.890592895614824e-05,3.2272866593414786e-19
J239_R24,0.0525,1.0116885382292078,0.8984427320750429,1.9672978094811816e-08,1.4978818264911913e-06,-1.747083544501038e-08,1.9750530545392655e-08,1.5048023272680117e-06,-1.753970708632653e-08,-8.652959476527021e-05,-8.699378667415342e-05,3.5094825935399863e-19
J239_R24,0.055,1.0116885382292078,0.8984427320750429,2.369335072150378e-08,1.7218761257377749e-06,-2.1041177578062786e-08,2.3789883245363315e-08,1.7301733269355134e-06,-2.1126905061237386e-08,-9.49410829676476e-05,-9.547617403693937e-05,3.7948064007684314e-19
J239_R24,0.0575,1.0116885382292078,0.8984427320750429,2.830005432254509e-08,1.9671050785295563e-06,-2.5132218528511885e-08,2.841927087146419e-08,1.9769927562757696e-06,-2.523809097415533e-08,-0.00010373892561716771,-0.00010435309104450605,4.1220071777879344e-19
J239_R24,0.06,1.0116885382292078,0.8984427320750429,3.354736324856646e-08,2.234518524367985e-06,-2.9792157074659542e-08,3.3693533158654026e-08,2.2462355439102683e-06,-2.9921965941521643e-08,-0.00011292245782542334,-0.00011362453769685345,4.49429503763049e-19
J239_R24,0.0625,1.0116885382292078,0.8984427320750429,3.9491923907758743e-08,2.5250642550418005e-06,-3.507129853197455e-08,3.966994716344531e-08,2.5388766184604997e-06,-3.522939557384167e-08,-0.00012249098522079592,-0.00012329051399398162,4.851540109040089e-19
J239_R24,0.065,1.0116885382292078,0.8984427320750429,4.619274953582301e-08,2.839687926019412e-06,-4.1022050534245125e-08,4.6408227263904216e-08,2.8558909085479516e-06,-4.121340997568479e-08,-0.0001324437839648543,-0.00013335101993589054,5.261845372573389e-19
J239_R24,0.0675,1.0116885382292078,0.8984427320750429,5.3711214744589896e-08,3.179332967966805e-06,-4.76989174824638e-08,5.397052515965067e-08,3.198253342794113e-06,-4.792920374568446e-08,-0.0001427801007650467,-0.00014380605552258017,5.751116563911715e-19
J239_R24,0.07,1.0116885382292078,0.8984427320750429,6.211104984936505e-08,3.544940498302997e-06,-5.51584957708684e-08,6.24214298718583e-08,3.5669388498204737e-06,-5.5434135976538195e-08,-0.00015349915289244757,-0.00015465562075405058,6.2900860019771655e-19
J239_R24,0.0725,1.0116885382292078,0.8984427320750429,7.145833497543139e-08,3.937449232843277e-06,-6.345946879093844e-08,7.18279677432544e-08,3.962922358248519e-06,-6.378773025500749e-08,-0.00016460012820410897,-0.00016589971563030166,6.895818730477257e-19
J239_R24,0.075,1.0116885382292078,0.8984427320750429,8.182149394368953e-08,4.3577953975706725e-06,-7.266260115823542e-08,8.225960243812019e-08,4.387178796699743e-06,-7.305167466191809e-08,-0.00017608218515889788,-0.00017753834015133354,7.495108031944819e-19
J239_R24,0.0775,1.0116885382292078,0.8984427320750429,9.327128793577472e-08,4.806912640414139e-06,-8.283073293924303e-08,9.378823494229036e-08,4.840683093795631e-06,-8.328982177215955e-08,-0.00018794445284535155,-0.00018957149431714614,8.127439629418902e-19
J239_R24,0.08,1.0116885382292078,0.8984427320750429,1.0588080893889782e-07,5.2857319432280335e-06,-9.402877454434133e-08,1.0648820356315348e-07,5.324410178157674e-06,-9.45681886546857e-08,-0.00020018603100425373,-0.00020199917812773952,8.788782172924477e-19
J239_R24,0.0825,1.0116885382292078,0.8984427320750429,1.1972547297068447e-07,5.795181533835066e-06,-1.0632369962237931e-07,1.2043628392965177e-07,5.83933497840736e-06,-1.0695495687251429e-07,-0.00021280599005772552,-0.0002148213915831136,9.467393574634067e-19
J239_R24,0.085,1.0116885382292078,0.8984427320750429,1.3488301308422933e-07,6.336186798167143e-06,-1.1978454039773823e-07,1.3571168899228125e-07,6.386432423166176e-06,-1.2052047248272716e-07,-0.00022580337113887802,-0.00022803813468326846,1.0181853499369389e-18
J239_R24,0.08750000000000001,1.0116885382292078,0.8984427320750429,1.5143347215371392e-07,6.909670192554324e-06,-1.3448237978774813e-07,1.5239606902309154e-07,6.966677441055612e-06,-1.353372460364702e-07,-0.00023917718612359874,-0.00024164940742820403,1.0966729097977936e-18
J239_R24,0.09,1.0116885382292078,0.8984427320750429,1.6945919544090318e-07,7.516551156143056e-06,-1.50490344852372e-07,1.70573511615686e-07,7.581044960697156e-06,-1.514799525789533e-07,-0.00025292641766885273,-0.0002556552098179203,1.1840605783706018e-18
J239_R24,0.0925,1.0116885382292078,0.8984427320750429,1.8904482294288685e-07,8.157746023473774e-06,-1.6788360157615756e-07,1.9033054168522193e-07,8.2305099107123e-06,-1.6902543164945068e-07,-0.00026705001924828814,-0.0002700555418524174,1.2756310118877645e-18
J239_R24,0.095,1.0116885382292078,0.8984427320750429,2.102772815213021e-07,8.83416793714084e-06,-1.8673934620849764e-07,2.117561214684101e-07,8.916047219722531e-06,-1.8805268728130025e-07,-0.00028154691519738866,-0.0002848504035316951,1.3743510722865611e-18
J239_R24,0.0975,1.0116885382292078,0.8984427320750429,2.3324577681366734e-07,9.54672676070605e-06,-2.0713679838024746e-07,2.3494165052351513e-07,9.638631816349337e-06,-2.0864288800190428e-07,-0.0002964160007533473,-0.0003000397948557537,1.4816296713887803e-18
J239_R24,0.1,1.0116885382292078,0.8984427320750429,2.5804178492692707e-07,1.0296328991696625e-05,-2.2915719444238647e-07,2.599809657303552e-07,1.039923862921421e-05,-2.308793668327288e-07,-0.0003116561421068457,-0.00031562371582459297,1.5915742108563528e-18
