augmented,baseline,fit_mode,region,galaxy,augmented_loss,baseline_loss,augmented_rms_kms,baseline_rms_kms
A_core,bar_fixed,full,all,CamB,3.5022701176544775,5.004487769143109,2.807152964254455,3.3556068721726025
A_core,bar_fixed,full,all,D512-2,0.0461053449919471,23.625046266398797,0.6620967263701092,17.686144058692637
A_core,bar_fixed,full,all,D564-8,0.030774336850381268,39.350143014524825,0.3151340870106529,11.653064328205572
A_core,bar_fixed,full,all,D631-7,0.6496486850885972,105.82145267848603,1.7684153445208421,26.33009609397304
A_core,bar_fixed,full,all,DDO064,0.2585632609140315,12.917538886392311,2.4086018839472914,17.940281191340095
A_core,bar_fixed,full,all,DDO154,1.989488978445902,5866.32767069562,0.8796248131981328,23.71217692693497
A_core,bar_fixed,full,all,DDO161,0.30279221929021805,371.7528535946912,1.4456580247325788,23.323029110647877
A_core,bar_fixed,full,all,DDO168,2.6031118340608836,160.8646173343166,2.6075343955334143,21.018874222272622
A_core,bar_fixed,full,all,DDO170,5.076336638732008,599.3246036100315,2.6758919951881097,27.33402059077279
A_core,bar_fixed,full,all,ESO079-G014,0.9185528604392078,395.1458975190378,5.796815072689547,55.74658403541774
A_core,bar_fixed,full,all,ESO116-G012,1.3432248837304912,329.64258315169786,3.9290070655274665,46.78642194708297
A_core,bar_fixed,full,all,ESO444-G084,2.8600255963860106,284.9602406268618,3.993391567443939,33.349804034715035
A_core,bar_fixed,full,all,ESO563-G021,11.422691299684013,245.73423537525636,27.39125141969531,117.979670125645
A_core,bar_fixed,full,all,F565-V2,0.040918296250309225,43.285204855999226,1.2928620719916137,41.087913426981345
A_core,bar_fixed,full,all,F568-3,0.8217993910310957,29.531011110194374,7.722388197026665,44.56354544414182
A_core,bar_fixed,full,all,F568-V1,0.41784180696515183,45.58072414931426,8.344556183263354,65.51997770587302
A_core,bar_fixed,full,all,F571-8,8.111235127889234,165.451169558817,12.45256770227295,55.62174794317093
A_core,bar_fixed,full,all,F571-V1,0.07224166777163535,39.86101565953303,1.9827734884580412,39.794929421262424
A_core,bar_fixed,full,all,F574-1,0.7697144812246046,112.89148761012136,3.9843842977760304,48.52533758837649
A_core,bar_fixed,full,all,F583-1,0.3182294659449878,50.59806101759628,3.8294836927867624,37.88119838848093
A_core,bar_fixed,full,all,F583-4,0.8958627096735422,38.22694574495397,4.690162741408432,28.256036139451535
A_core,bar_fixed,full,all,IC2574,3.3290399560689536,406.7605022215018,2.4473791888178624,23.78354699928544
A_core,bar_fixed,full,all,IC4202,31.181823857999312,151.01776507036806,24.343401998329046,69.1215936942972
A_core,bar_fixed,full,all,KK98-251,0.1986750204649819,21.35511141236192,0.891459523399648,9.24231819672141
A_core,bar_fixed,full,all,NGC0024,3.2473711139970467,89.44040982666382,10.290651104558101,47.18129248016705
A_core,bar_fixed,full,all,NGC0055,0.1154453630854095,119.10285072416097,1.1272964558473848,30.10483924708385
A_core,bar_fixed,full,all,NGC0100,0.19474017840641436,51.50763676659155,2.6395184940905168,37.32423045477866
A_core,bar_fixed,full,all,NGC0247,13.726600375646155,355.42140956682437,13.807695340263605,44.33874452179441
A_core,bar_fixed,full,all,NGC0289,6.109856415583407,148.61224740279994,17.618522762754072,72.05791283517864
A_core,bar_fixed,full,all,NGC0300,1.7773162487369532,161.39995473124472,6.1470715843361265,46.47895971603302
A_core,bar_fixed,full,all,NGC0801,13.71931470440994,195.4369141122,21.260128699671746,53.955412557620825
