augmented,baseline,fit_mode,region,sample,n_total,n_galaxies,original_baseline_failures,original_augmented_failures,augmented_median_loss,baseline_median_loss,augmented_mean_loss,baseline_mean_loss,augmented_median_rms_kms,baseline_median_rms_kms,n_informative,augmented_wins,baseline_wins,finite_ties,augmented_failures,baseline_failures,joint_failures,direction,win_fraction,win_ci_low,win_ci_high,mean_loss_reduction,median_loss_reduction,mean_rms_reduction,median_rms_reduction,ratio_of_medians_reduction,mean_fractional_loss_reduction,median_fractional_loss_reduction,mean_loss_reduction_ci_low,mean_loss_reduction_ci_high,median_loss_reduction_ci_low,median_loss_reduction_ci_high,mean_rms_reduction_ci_low,mean_rms_reduction_ci_high,median_rms_reduction_ci_low,median_rms_reduction_ci_high,ratio_of_medians_reduction_ci_low,ratio_of_medians_reduction_ci_high,mean_fractional_loss_reduction_ci_low,mean_fractional_loss_reduction_ci_high,median_fractional_loss_reduction_ci_low,median_fractional_loss_reduction_ci_high
A_core,bar_fixed,full,all,all_selected,153,153,1,0,1.7541520691962953,117.02816464029519,7.404798114224053,inf,6.185467560299424,42.48873191442031,153,153,0,0,0,1,0,augmented,1.0,0.9761780087065645,1.0,inf,112.12177312889675,inf,34.05171469569417,0.9850108555099709,,,321.12675475353916,inf,78.02240024506483,148.34311993593195,33.643581980868504,inf,29.617866848971715,37.20021326785682,0.9786356188671043,0.9910503101909242,,,,
A_core,bar_fixed,full,all,common_finite,153,152,1,0,1.7464485863367192,115.14418874069341,7.360445997148543,432.54073167055697,6.166269572317775,42.319314120452304,152,152,0,0,0,0,0,augmented,1.0,0.9760231790962084,1.0,425.1802856734083,111.8233091962845,36.009276115723594,33.650060173832,0.9848325077849153,0.9591963458583174,0.9842184120250732,293.6779568779795,579.6891528958568,76.35116009112886,145.42275546157424,32.88298813153727,39.276361502512586,29.487139658121407,37.12612777084683,0.9788629383013252,0.9909174659120479,0.9431322398371123,0.9722701476562065,0.982323139898982,0.987433799718139
A_nfw,bar_fixed,full,all,all_selected,153,153,1,0,1.2347906098175268,117.02816464029519,4.074732929895304,inf,4.794214288604163,42.48873191442031,153,153,0,0,0,1,0,augmented,1.0,0.9761780087065645,1.0,inf,113.35389308579926,inf,35.25193436834535,0.989448774031338,,,323.6723201842353,inf,77.77347983609178,147.76617796529547,34.94940268143261,inf,30.044509757996316,40.69185481735231,0.984247549218072,0.9922014265317416,,,,
A_nfw,bar_fixed,full,all,common_finite,153,152,1,0,1.2484887310112098,115.14418874069341,4.0959247927746905,432.54073167055697,4.821350973146732,42.319314120452304,152,152,0,0,0,0,0,augmented,1.0,0.9760231790962084,1.0,428.44480687778224,112.93792665187424,37.83564802199824,35.02489312206788,0.9891571711550043,0.9516049101232923,0.9898573623913951,295.7263566385872,584.0776277150642,76.70101514685572,146.79912466016253,34.05755195798207,41.8126941649788,29.722160287783524,40.1944250252253,0.9839198959196973,0.9919204536961251,0.9305925058347791,0.9687818877501687,0.9851420470693246,0.993598574732938
B_core,bar_profiled,full,all,all_selected,153,153,1,0,0.8040196699154318,9.908459575109404,1.804994311440682,inf,4.274642549554617,14.654765714536095,153,152,1,0,0,1,0,augmented,0.9934640522875817,0.9641234546453468,0.9998345378211981,inf,8.287319084579384,inf,9.558461198597108,0.918855230339217,,,34.01761467885628,inf,5.91419121352516,12.63897486367734,11.194215792582696,inf,7.312258580647086,11.47263583069256,0.8849489466279827,0.9432957464985292,,,,
B_core,bar_profiled,full,all,common_finite,153,152,1,0,0.802698586981373,9.724236056044381,1.777470435674374,63.410786626193314,4.179354750629088,14.644558958899449,152,151,1,0,0,0,0,augmented,0.993421052631579,0.963890966262534,0.9998334493448882,61.63331619051895,8.240326955797416,12.553616910521663,9.557832644913702,0.9174538151526636,0.831097978461437,0.9228421734027761,29.27204178273393,109.40891713957721,5.795424109423397,12.303538695369232,10.81051004292761,14.367618355233997,7.254664822792648,11.344753818440692,0.8848784322949954,0.9430059558348479,0.7909967530262282,0.8663306598894941,0.8986100383149465,0.9422562652369546
C_core,bar_profiled,full,all,all_selected,153,153,1,0,0.7559944340386111,9.908459575109404,1.7271644769337398,inf,4.227063441679524,14.654765714536095,153,151,2,0,0,1,0,augmented,0.9869281045751634,0.9535792292148784,0.9984129938379555,inf,8.43296768135921,inf,9.877808950121741,0.923702122584452,,,34.08981394442117,inf,6.025604574981337,12.639110548850763,11.300849542465999,inf,7.358147532577324,11.88736910398413,0.8903410940351648,0.94750709346149,,,,
C_core,bar_profiled,full,all,common_finite,153,152,1,0,0.7530143189733333,9.724236056044381,1.6991281899102113,63.410786626193314,4.161887238317134,14.644558958899449,152,150,2,0,0,0,0,augmented,0.9868421052631579,0.9532790780277762,0.998402526798388,61.7116584362831,8.336290969369063,12.665056835566675,9.730762485075036,0.9225631386739861,0.8387077615608803,0.92514820495376,29.330701800038984,109.4784490013549,5.851172751160394,12.303336455087498,10.917632115007956,14.482762722468557,7.345131172598231,11.6662014036144,0.8905658837757566,0.9471751916160928,0.8002451782664771,0.8723722508148951,0.9068231797002639,0.9465822398522266
B_nfw,bar_profiled,full,all,all_selected,153,153,1,0,0.8986150084234727,9.908459575109404,2.015187438705552,inf,4.455959016806354,14.654765714536095,153,151,2,0,0,1,0,augmented,0.9869281045751634,0.9535792292148784,0.9984129938379555,inf,8.219304447766739,inf,8.376953328765168,0.9093083035146207,,,33.707560867688514,inf,5.120856433999492,11.53934313817015,10.944475866627913,inf,7.1607123039262355,10.009583230156704,0.8553046307431149,0.9320177268263707,,,,
B_nfw,bar_profiled,full,all,common_finite,153,152,1,0,0.9004611209033222,9.724236056044381,2.022863135108292,63.410786626193314,4.504327601806599,14.644558958899449,152,150,2,0,0,0,0,augmented,0.9868421052631579,0.9532790780277762,0.998402526798388,61.387923491085026,7.955634409632085,12.391715154747667,8.348384420728195,0.907400322687188,0.7894224705557705,0.8920644385985352,28.93439111212402,109.19543994503293,5.117686472528382,11.49647335647732,10.524036947913999,14.336773009540874,6.920723799905375,9.797247754161859,0.8514927109270787,0.9309766707486932,0.7453369118478679,0.8295556505789636,0.8497525765871371,0.9206809554443017
