J,sign,t,r0,epsilon,width,K,delta_vf_squared,delta_vf_squared_over_t_squared,continuum_coefficient,discrete_coefficient,relative_to_continuum,relative_to_discrete
480,-1,0.0025,3.4363930989113607,0.12,0.6872786197822722,-0.864407063871593,-1.3710451347843364e-08,-0.002193672215654938,-0.002256098582757835,-0.0021934334384853347,-0.027670052886867746,0.00010886000250298622
480,-1,0.005,3.4363930989113607,0.12,0.6872786197822722,-0.864407063871593,-5.486019652355256e-08,-0.002194407860942102,-0.002256098582757835,-0.0021934334384853347,-0.027343983231584934,0.0004442452821546983
480,-1,0.01,3.4363930989113607,0.12,0.6872786197822722,-0.864407063871593,-2.1975749265350899e-07,-0.00219757492653509,-0.002256098582757835,-0.0021934334384853347,-0.025940203442354037,0.0018881302605722183
480,-1,0.02,3.4363930989113607,0.12,0.6872786197822722,-0.864407063871593,-8.880195318491758e-07,-0.0022200488296229394,-0.002256098582757835,-0.0021934334384853347,-0.01597880226086068,0.012134123001235952
480,-1,0.04,3.4363930989113607,0.12,0.6872786197822722,-0.864407063871593,-3.516911489021837e-06,-0.0021980696806386483,-0.002256098582757835,-0.0021934334384853347,-0.02572090712820385,0.0021136917455379933
480,-1,0.08,3.4363930989113607,0.12,0.6872786197822722,-0.864407063871593,-6.247823200667964e-06,-0.0009762223751043693,-0.002256098582757835,-0.0021934334384853347,-0.5672962243028211,-0.5549341238371495
480,1,0.0025,3.4363930989113607,0.12,0.6872786197822722,2.0456208963079243,1.3650529659225673e-08,0.0021840847454761077,0.002256098582757835,0.002184314396601336,-0.03191963233880413,-0.00010513647924759173
480,1,0.005,3.4363930989113607,0.12,0.6872786197822722,2.0456208963079243,5.4585237478524376e-08,0.002183409499140975,0.002256098582757835,0.002184314396601336,-0.032218930578824856,-0.0004142707028663706
480,1,0.01,3.4363930989113607,0.12,0.6872786197822722,2.0456208963079243,2.1809020735182358e-07,0.0021809020735182355,0.002256098582757835,0.002184314396601336,-0.03333032954068871,-0.0015621941092408553
480,1,0.02,3.4363930989113607,0.12,0.6872786197822722,2.0456208963079243,8.722249693557154e-07,0.0021805624233892885,0.002256098582757835,0.002184314396601336,-0.03348087709722847,-0.0017176891833361463
480,1,0.04,3.4363930989113607,0.12,0.6872786197822722,2.0456208963079243,2.9137652017606854e-06,0.0018211032511004283,0.002256098582757835,0.002184314396601336,-0.19280865427683225,-0.16628153257884615
480,1,0.08,3.4363930989113607,0.12,0.6872786197822722,2.0456208963079243,2.238343583867073e-06,0.0003497411849792301,0.002256098582757835,0.002184314396601336,-0.8449796530824865,-0.839885144041807
960,-1,0.0025,3.4363930989113607,0.12,0.6872786197822722,-0.864407063871593,-1.4004373843554258e-08,-0.002240699814968681,-0.002256098582757835,-0.002240407969384235,-0.006825396685605112,0.00013026448237751787
960,-1,0.005,3.4363930989113607,0.12,0.6872786197822722,-0.864407063871593,-5.60397051229346e-08,-0.002241588204917384,-0.002256098582757835,-0.002240407969384235,-0.006431624021816296,0.000526794918281448
960,-1,0.01,3.4363930989113607,0.12,0.6872786197822722,-0.864407063871593,-2.2453197810328618e-07,-0.0022453197810328616,-0.002256098582757835,-0.002240407969384235,-0.0047776288710741355,0.002192373762166522
960,-1,0.02,3.4363930989113607,0.12,0.6872786197822722,-0.864407063871593,-9.014716895484282e-07,-0.0022536792238710703,-0.002256098582757835,-0.002240407969384235,-0.0010723639938673424,0.005923588323283324
960,-1,0.04,3.4363930989113607,0.12,0.6872786197822722,-0.864407063871593,-3.6441486876277506e-06,-0.002277592929767344,-0.002256098582757835,-0.002240407969384235,0.009527219765031125,0.016597405870382165
960,-1,0.08,3.4363930989113607,0.12,0.6872786197822722,-0.864407063871593,-6.292568606368381e-06,-0.0009832138447450594,-0.002256098582757835,-0.002240407969384235,-0.5641973040277399,-0.561145176154997
960,1,0.0025,3.4363930989113607,0.12,0.6872786197822722,2.0456208963079243,1.3987017730580184e-08,0.0022379228368928296,0.002256098582757835,0.0022380954215751696,-0.008056272896899475,-7.711229855356105e-05
960,1,0.005,3.4363930989113607,0.12,0.6872786197822722,2.0456208963079243,5.593541471043433e-08,0.0022374165884173733,0.002256098582757835,0.0022380954215751696,-0.008280664011421357,-0.000303308407341496
960,1,0.01,3.4363930989113607,0.12,0.6872786197822722,2.0456208963079243,2.2355532934495996e-07,0.0022355532934495996,0.002256098582757835,0.0022380954215751696,-0.00910655654201109,-0.001135844388520657
960,1,0.02,3.4363930989113607,0.12,0.6872786197822722,2.0456208963079243,8.817366810674176e-07,0.002204341702668544,0.002256098582757835,0.0022380954215751696,-0.022940877001050075,-0.015081447636790202
960,1,0.04,3.4363930989113607,0.12,0.6872786197822722,2.0456208963079243,2.9294637222338366e-06,0.0018309148263961478,0.002256098582757835,0.0022380954215751696,-0.1884597417910463,-0.18193174037791848
960,1,0.08,3.4363930989113607,0.12,0.6872786197822722,2.0456208963079243,2.2347035142246253e-06,0.00034917242409759767,0.002256098582757835,0.0022380954215751696,-0.8452317523861159,-0.8439868020230119
1920,-1,0.0025,3.4363930989113607,0.12,0.6872786197822722,-0.864407063871593,-1.407797609037635e-08,-0.002252476174460216,-0.002256098582757835,-0.0022521725446009062,-0.001605607275011356,0.00013481642871360222
1920,-1,0.005,3.4363930989113607,0.12,0.6872786197822722,-0.864407063871593,-5.633498290226951e-08,-0.0022533993160907804,-0.002256098582757835,-0.0022521725446009062,-0.0011964311700222163,0.000544705818750435
1920,-1,0.01,3.4363930989113607,0.12,0.6872786197822722,-0.864407063871593,-2.2585674547245535e-07,-0.0022585674547245535,-0.002256098582757835,-0.0022521725446009062,0.001094310322069747,0.0028394405832614655
1920,-1,0.02,3.4363930989113607,0.12,0.6872786197822722,-0.864407063871593,-9.179174527073398e-07,-0.0022947936317683493,-0.002256098582757835,-0.0022521725446009062,0.017151311253081003,0.01892443244174058
1920,-1,0.04,3.4363930989113607,0.12,0.6872786197822722,-0.864407063871593,-3.674269873958523e-06,-0.0022964186712240765,-0.002256098582757835,-0.0022521725446009062,0.017871598685618828,0.019645975495634627
1920,-1,0.08,3.4363930989113607,0.12,0.6872786197822722,-0.864407063871593,-6.302654092850292e-06,-0.0009847897020078581,-0.002256098582757835,-0.0022521725446009062,-0.5634988162600324,-0.5627378975164771
1920,1,0.0025,3.4363930989113607,0.12,0.6872786197822722,2.0456208963079243,1.4071453844829197e-08,0.0022514326151726713,0.002256098582757835,0.0022515919464427426,-0.002068157668651094,-7.076383015269805e-05
1920,1,0.005,3.4363930989113607,0.12,0.6872786197822722,2.0456208963079243,5.627414163407857e-08,0.002250965665363143,0.002256098582757835,0.0022515919464427426,-0.0022751299229210042,-0.0002781503462868651
1920,1,0.01,3.4363930989113607,0.12,0.6872786197822722,2.0456208963079243,2.2525128226072918e-07,0.0022525128226072917,0.002256098582757835,0.0022515919464427426,-0.001589363238799546,0.0004089889227059107
1920,1,0.02,3.4363930989113607,0.12,0.6872786197822722,2.0456208963079243,8.999512784962394e-07,0.0022498781962405983,0.002256098582757835,0.0022515919464427426,-0.0027571430454217394,-0.000761128234115338
1920,1,0.04,3.4363930989113607,0.12,0.6872786197822722,2.0456208963079243,2.9329975412535987e-06,0.001833123463283499,0.002256098582757835,0.0022515919464427426,-0.1874807788573205,-0.1858544945590056
1920,1,0.08,3.4363930989113607,0.12,0.6872786197822722,2.0456208963079243,2.2331638452749135e-06,0.0003489318508242052,0.002256098582757835,0.0022515919464427426,-0.8453383848157583,-0.8450288244388697
