tau,E_s_over_E0,E_a_over_E0,E_over_E0,z,virial_over_E0,virial_over_E,numerical_logZ_derivative,BKM_speed_squared,D_to_uniform,entropy_lower_bound,D_to_reference,cone_direct_over_E0,cone_closed_over_E0,cone_partition_part_over_E0,cone_radial_part_over_E0
-2.5000000000000000e+00,5.3903575992683729e-03,1.1061687402956673e-04,5.5009744732979395e-03,2.0108596134468117e-02,1.1112565820625447e-02,2.0201085961344685e+00,2.0201085961347363e+00,1.9704240495968969e-02,4.2051750826436018e-01,4.2051750826436018e-01,1.5255853513826406e-01,9.6671761097513842e-01,9.6671761097513842e-01,8.3922060747931740e-04,9.6587839036765910e-01
-2.4900000000000002e+00,5.4992500459969985e-03,1.1398565937553197e-04,5.6132357053725306e-03,2.0306587030798334e-02,1.1340457070120592e-02,2.0203065870307979e+00,2.0203065870309325e+00,1.9894229553958948e-02,4.1982932729830558e-01,4.1982932729830574e-01,1.5206454943516040e-01,9.6614902619002718e-01,9.6614902619002718e-01,8.5357415841082868e-04,9.6529545203161637e-01
-2.4800000000000000e+00,5.6103422660683400e-03,1.1745703950919826e-04,5.7277993055775377e-03,2.0506486565411354e-02,1.1573055650664275e-02,2.0205064865654117e+00,2.0205064865656355e+00,2.0085970574153959e-02,4.1913651124142037e-01,4.1913651124142037e-01,1.5156780068948694e-01,9.6557102268077510e-01,9.6557102268077510e-01,8.6814994353715794e-04,9.6470287273723787e-01
-2.4700000000000002e+00,5.7236786978516630e-03,1.2103413890701064e-04,5.8447128367586729e-03,2.0708312330727452e-02,1.1810459812424359e-02,2.0207083123307279e+00,2.0207083123307732e+00,2.0279478131140494e-02,4.1843903747019073e-01,4.1843903747019040e-01,1.5106828353289076e-01,9.6498345142655317e-01,9.6498345142655317e-01,8.8295073599178550e-04,9.6410050069056141e-01
-2.4600000000000000e+00,5.8393046774308658e-03,1.2472017719988889e-04,5.9640248546307542e-03,2.0912082065360639e-02,1.2052769886461397e-02,2.0209120820653608e+00,2.0209120820655624e+00,2.0474766889052261e-02,4.1773688338511727e-01,4.1773688338511716e-01,1.5056599276442387e-01,9.6438616122467424e-01,9.6438616122467424e-01,8.9797932310917822e-04,9.6348818190156504e-01
-2.4500000000000002e+00,5.9572664567394702e-03,1.2851847207111147e-04,6.0857849288105809e-03,2.1117813655013504e-02,1.2300088329692274e-02,2.0211178136550139e+00,2.0211178136545125e+00,2.0671851601445627e-02,4.1703002641348996e-01,4.1703002641348980e-01,1.5006092335419682e-01,9.6377899866344330e-01,9.6377899866344330e-01,9.1323850575237078e-04,9.6286576015769099e-01
-2.4399999999999999e+00,6.0776112220620529e-03,1.3243244224245528e-04,6.2100436643045074e-03,2.1325525133370705e-02,1.2552519770851471e-02,2.0213255251333710e+00,2.0213255251333440e+00,2.0870747111156680e-02,4.1631844401220797e-01,4.1631844401220791e-01,1.4955307044707389e-01,9.6316180809481788e-01,9.6316180809481788e-01,9.2873109760713691e-04,9.6223307699721072e-01
-2.4300000000000002e+00,6.2003871129093537e-03,1.3646561055127520e-04,6.3368527234606287e-03,2.1535234682990984e-02,1.2810171057472532e-02,2.0215352346829909e+00,2.0215352346830695e+00,2.1071468350139486e-02,4.1560211367065392e-01,4.1560211367065392e-01,1.4904242936642326e-01,9.6253443160688112e-01,9.6253443160688112e-01,9.4445992444180764e-04,9.6158997168243932e-01
-2.4199999999999999e+00,6.3256432412747534e-03,1.4062160712129658e-04,6.4662648483960498e-03,2.1746960636197514e-02,1.3073151303913398e-02,2.0217469606361980e+00,2.0217469606360616e+00,2.1274030339285190e-02,4.1488101291361590e-01,4.1488101291361579e-01,1.4852899561791191e-01,9.6189670899613355e-01,9.6189670899613355e-01,9.6042782333167467e-04,9.6093628117280183e-01
-2.4100000000000001e+00,6.4534297112796915e-03,1.4490417262997014e-04,6.5983338839096621e-03,2.1960721475966165e-02,1.3341571940449295e-02,2.0219607214759661e+00,2.0219607214759794e+00,2.1478448188221203e-02,4.1415511930426074e-01,4.1415511930426108e-01,1.4801276489335052e-01,9.6124847773960753e-01,9.6124847773960753e-01,9.7663764184694932e-04,9.6027184009776057e-01
-2.3999999999999999e+00,6.5837976392160245e-03,1.4931716167533598e-04,6.7331148008913603e-03,2.2176535836811916e-02,1.3615546763458056e-02,2.0221765358368118e+00,2.0221765358368060e+00,2.1684737095090514e-02,4.1342441044716172e-01,4.1342441044716161e-01,1.4749373307458871e-01,9.6058957296680936e-01,9.6058957296680936e-01,9.9309223720323286e-04,9.5959648072960602e-01
-2.3900000000000001e+00,6.7167991739931765e-03,1.5386454624542018e-04,6.8706637202385970e-03,2.2394422505672702e-02,1.3895191986722615e-02,2.0223944225056729e+00,2.0223944225051436e+00,2.1892912346310123e-02,4.1268886399137139e-01,4.1268886399137167e-01,1.4697189623745849e-01,9.5991982743149440e-01,9.5991982743149440e-01,1.0097944753733777e-03,9.5891003295612098e-01
-2.3799999999999999e+00,6.8524875179984488e-03,1.5855041929329383e-04,7.0110379372917420e-03,2.2614400422790958e-02,1.4180626293876779e-02,2.0226144004227913e+00,2.0226144004229507e+00,2.2102989316308632e-02,4.1194845763355792e-01,4.1194845763355781e-01,1.4644725065577108e-01,9.5923907148328147e-01,9.5923907148328147e-01,1.0267472301596840e-03,9.5821232425312186e-01
-2.3700000000000001e+00,6.9909169483786324e-03,1.6337899842100567e-04,7.1542959467996384e-03,2.2836488682592266e-02,1.4471970892020281e-02,2.0228364886825920e+00,2.0228364886816230e+00,2.2314983467242103e-02,4.1120316912118171e-01,4.1120316912118188e-01,1.4591979280535861e-01,9.5854713303911232e-01,9.5854713303911232e-01,1.0439533822252200e-03,9.5750317965688703e-01
-2.3599999999999999e+00,7.1321428387516430e-03,1.6835462967570980e-04,7.3004974684273529e-03,2.3060706534561153e-02,1.4769349566530416e-02,2.0230607065345612e+00,2.0230607065341299e+00,2.2528910348688001e-02,4.1045297625573862e-01,4.1045297625573873e-01,1.4538951936817415e-01,9.5784383755456082e-01,9.5784383755456082e-01,1.0614158180832251e-03,9.5678242173647765e-01
-2.3500000000000001e+00,7.2762216813566528e-03,1.7348179146140037e-04,7.4497034728180523e-03,2.3287073384113659e-02,1.5072888737097508e-02,2.0232870733841142e+00,2.0232870733844313e+00,2.2744785597316564e-02,4.0969785689604743e-01,4.0969785689604771e-01,1.4485642723643621e-01,9.5712900799500278e-01,9.5712900799500278e-01,1.0791374290432944e-03,9.5604987056595947e-01
-2.3399999999999999e+00,7.4232111096517945e-03,1.7876509856977872e-04,7.6019762082215727e-03,2.3515608793466550e-02,1.5382717515012924e-02,2.0235156087934665e+00,2.0235156087928066e+00,2.2962624936539187e-02,4.0893778896159838e-01,4.0893778896159827e-01,1.4432051351682915e-01,9.5640246480664814e-01,9.5640246480664814e-01,1.0971211101132550e-03,9.5530534369653497e-01
-2.3300000000000001e+00,7.5731699213682589e-03,1.8420930633387570e-04,7.7573792277021349e-03,2.3746332482502800e-02,1.5698967761738146e-02,2.0237463324825029e+00,2.0237463324825158e+00,2.3182444176133233e-02,4.0817275043595380e-01,4.0817275043595397e-01,1.4378177553475419e-01,9.5566402588744803e-01,9.5566402588744803e-01,1.1153697588554331e-03,9.5454865612859252e-01
-2.3199999999999998e+00,7.7261581020302214e-03,1.8981931490817474e-04,7.9159774169383947e-03,2.3979264329633446e-02,1.6021774148784966e-02,2.0239792643296335e+00,2.0239792643295118e+00,2.3404259211843012e-02,4.0740271937020794e-01,4.0740271937020772e-01,1.4324021083863214e-01,9.5491350655788043e-01,9.5491350655788043e-01,1.1338862741961063e-03,9.5377962028368435e-01
-2.3100000000000001e+00,7.8822368489498071e-03,1.9560017367907892e-04,8.0778370226288858e-03,2.4214424372654891e-02,1.6351274218936854e-02,2.0242144243726554e+00,2.0242144243722096e+00,2.3628086024955870e-02,4.0662767388649923e-01,4.0662767388649956e-01,1.4269581720425845e-01,9.5415071953162700e-01,9.5415071953162700e-01,1.1526735551868428e-03,9.5299804597644011e-01
-2.2999999999999998e+00,8.0414685957068688e-03,2.0155708580970227e-04,8.2430256815165699e-03,2.4451832809602426e-02,1.6687608448842844e-02,2.0244518328096026e+00,2.0244518328092673e+00,2.3853940681853678e-02,4.0584759218158550e-01,4.0584759218158545e-01,1.4214859263921459e-01,9.5337547488614494e-01,9.5337547488614494e-01,1.1717344997164831e-03,9.5220374038642841e-01
-2.2900000000000000e+00,8.2039170371232175e-03,2.0769541292306565e-04,8.4116124500462821e-03,2.4691509999598574e-02,1.7030920313015629e-02,2.0246915099995983e+00,2.0246915099993621e+00,2.4081839333538298e-02,4.0506245253046957e-01,4.0506245253046952e-01,1.4159853538732653e-01,9.5258758003314792e-01,9.5258758003314792e-01,1.1910720031723548e-03,9.5139650802997555e-01
-2.2799999999999998e+00,8.3696471547414428e-03,2.1402067992792089e-04,8.5836678346693646e-03,2.4933476463696917e-02,1.7381356349266651e-02,2.0249334764636968e+00,2.0249334764639304e+00,2.4311798215131190e-02,4.0427223329009099e-01,4.0427223329009110e-01,1.4104564393318336e-01,9.5178683968900268e-01,9.5178683968900268e-01,1.2106889570494943e-03,9.5057615073195323e-01
-2.2700000000000000e+00,8.5387252428183406e-03,2.2053857999154039e-04,8.7592638228098808e-03,2.5177752885720699e-02,1.7739066225611302e-02,2.0251777528857207e+00,2.0251777528855395e+00,2.4543833645346284e-02,4.0347691290307131e-01,4.0347691290307136e-01,1.4048991700670577e-01,9.5097305584505243e-01,9.5097305584505243e-01,1.2305882475064005e-03,9.4974246759754610e-01
-2.2599999999999998e+00,8.7112189348435599e-03,2.2725497966395340e-04,8.9384739145075137e-03,2.5424360113095942e-02,1.8104202808678978e-02,2.0254243601130955e+00,2.0254243601130670e+00,2.4777962025935560e-02,4.0267646990152017e-01,4.0267646990152028e-01,1.3993135358776829e-01,9.5014602773787804e-01,9.5014602773787804e-01,1.2507727538659942e-03,9.4889525498401195e-01
-2.2500000000000000e+00,8.8871972305938456e-03,2.3417592415823490e-04,9.1213731547520813e-03,2.5673319157678929e-02,1.8476922233662395e-02,2.0256733191576788e+00,2.0256733191578538e+00,2.5014199841106886e-02,4.0187088291090256e-01,4.0187088291090295e-01,1.3936995291087964e-01,9.4930555181950749e-01,9.4930555181950749e-01,1.2712453470603592e-03,9.4803430647244713e-01
-2.2400000000000002e+00,9.0667305237339089e-03,2.4130764279160790e-04,9.3080381665255167e-03,2.5924651196577837e-02,1.8857383975842641e-02,2.0259246511965778e+00,2.0259246511959241e+00,2.5252563656913612e-02,4.0106013065396651e-01,4.0106013065396651e-01,1.3880571446991469e-01,9.4845142172758701e-01,9.4845142172758701e-01,1.2920088880178091e-03,9.4715941283956917e-01
