z,virial_over_E,sharp_lower_bound,local_quadratic
0.0000000000000000e+00,2.0000000000000000e+00,5.1082562376599072e-01,3.3333333333333343e-01
2.0000000000000000e-03,2.0019999999999998e+00,4.9720933912003090e-01,3.3000833333333340e-01
4.0000000000000001e-03,2.0040000000000000e+00,4.8636965121502579e-01,3.2670000000000005e-01
6.0000000000000001e-03,2.0059999999999998e+00,4.7658047566450557e-01,3.2340833333333341e-01
8.0000000000000002e-03,2.0080000000000000e+00,4.6747492040875144e-01,3.2013333333333338e-01
1.0000000000000000e-02,2.0099999999999998e+00,4.5887874049222510e-01,3.1687500000000007e-01
1.2000000000000000e-02,2.0120000000000000e+00,4.5068931125350103e-01,3.1363333333333338e-01
1.4000000000000000e-02,2.0139999999999998e+00,4.4283882455018009e-01,3.1040833333333340e-01
1.6000000000000000e-02,2.0160000000000000e+00,4.3527908876883820e-01,3.0720000000000003e-01
1.8000000000000002e-02,2.0179999999999998e+00,4.2797407317601710e-01,3.0400833333333332e-01
2.0000000000000000e-02,2.0200000000000000e+00,4.2089581264842196e-01,3.0083333333333334e-01
2.1999999999999999e-02,2.0219999999999998e+00,4.1402196843016759e-01,2.9767500000000002e-01
2.4000000000000000e-02,2.0240000000000000e+00,4.0733428364597857e-01,2.9453333333333337e-01
2.6000000000000002e-02,2.0259999999999998e+00,4.0081755733105356e-01,2.9140833333333338e-01
2.8000000000000001e-02,2.0280000000000000e+00,3.9445893603133475e-01,2.8830000000000006e-01
2.9999999999999999e-02,2.0299999999999998e+00,3.8824740882946890e-01,2.8520833333333334e-01
3.2000000000000001e-02,2.0320000000000000e+00,3.8217343761663264e-01,2.8213333333333335e-01
3.4000000000000002e-02,2.0339999999999998e+00,3.7622868014577315e-01,2.7907500000000002e-01
3.6000000000000004e-02,2.0360000000000000e+00,3.7040577846473349e-01,2.7603333333333335e-01
3.7999999999999999e-02,2.0379999999999998e+00,3.6469819450197616e-01,2.7300833333333341e-01
4.0000000000000001e-02,2.0400000000000000e+00,3.5910008035614438e-01,2.7000000000000007e-01
4.2000000000000003e-02,2.0419999999999998e+00,3.5360617458838239e-01,2.6700833333333340e-01
4.3999999999999997e-02,2.0440000000000000e+00,3.4821171831015590e-01,2.6403333333333340e-01
4.5999999999999999e-02,2.0459999999999998e+00,3.4291238655699297e-01,2.6107500000000011e-01
