theta_radians,theta_over_pi_half,lambda_min_B_over_E,lambda_max_B_over_E,D_matrix,D_formula,E_s_over_E,E_a_over_E,virial_over_E,entropy_change
0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,1.6094379124341003e+00,1.6094379124341003e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,0.0000000000000000e+00
3.9269908169872417e-03,2.5000000000000001e-03,3.8553092646955020e-06,9.9999614469073528e-01,1.6093859966182387e+00,1.6093859966182382e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,5.1915815861613979e-05
7.8539816339744835e-03,5.0000000000000001e-03,1.5421177605143900e-05,9.9998457882239467e-01,1.6092516282925422e+00,1.6092516282925422e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,1.8628414155807960e-04
1.1780972450961725e-02,7.5000000000000006e-03,3.4697426661347735e-05,9.9996530257333871e-01,1.6090469131119594e+00,1.6090469131119591e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,3.9099932214092803e-04
1.5707963267948967e-02,1.0000000000000000e-02,6.1683759169700654e-05,9.9993831624083029e-01,1.6087782996818796e+00,1.6087782996818796e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,6.5961275222070626e-04
1.9634954084936207e-02,1.2500000000000001e-02,9.6379758967571807e-05,9.9990362024103241e-01,1.6084502930298668e+00,1.6084502930298665e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,9.8761940423353067e-04
2.3561944901923450e-02,1.5000000000000001e-02,1.3878489099972320e-04,9.9986121510900017e-01,1.6080663685317582e+00,1.6080663685317582e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,1.3715439023420650e-03
2.7488935718910694e-02,1.7500000000000002e-02,1.8889850132656141e-04,9.9981110149867336e-01,1.6076293592198214e+00,1.6076293592198214e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,1.8085532142788630e-03
3.1415926535897934e-02,2.0000000000000000e-02,2.4671981713422157e-04,9.9975328018286591e-01,1.6071416580753672e+00,1.6071416580753672e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,2.2962543587330408e-03
3.5342917352885174e-02,2.2499999999999999e-02,3.1224794674648555e-04,9.9968775205325344e-01,1.6066053374356342e+00,1.6066053374356339e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,2.8325749984661197e-03
3.9269908169872414e-02,2.5000000000000001e-02,3.8548187963853277e-04,9.9961451812036151e-01,1.6060222254956287e+00,1.6060222254956285e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,3.4156869384716071e-03
4.3196898986859661e-02,2.7500000000000004e-02,4.6642048645252295e-04,9.9953357951354760e-01,1.6053939583119907e+00,1.6053939583119907e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,4.0439541221095610e-03
4.7123889803846901e-02,3.0000000000000002e-02,5.5506251901501385e-04,9.9944493748098506e-01,1.6047220167803409e+00,1.6047220167803411e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,4.7158956537594054e-03
5.1050880620834141e-02,3.2500000000000001e-02,6.5140661035620730e-04,9.9934859338964377e-01,1.6040077538757138e+00,1.6040077538757136e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,5.4301585583864664e-03
5.4977871437821388e-02,3.5000000000000003e-02,7.5545127473103174e-04,9.9924454872526891e-01,1.6032524153030172e+00,1.6032524153030172e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,6.1854971310830731e-03
