x,f,f_prime,phi,phi_prime,radial_mass_integral
0,1,0,-1.615353922734188,0,0
0.00125,0.9999997411359705,-0.0004141823883535158,-1.615353662317562,0.0004166665372346587,6.510423407905618e-10
0.0025,0.9999989645443205,-0.0008283640754317347,-1.615352881068168,0.0008333322978778672,5.208326592087816e-09
0.00375,0.9999976702263654,-0.00124254435996124,-1.615351578987463,0.001249996505341181,1.757807848541622e-08
0.005,0.9999958581842966,-0.001656722540672369,-1.615349756077875,0.00166665838304216,4.166645903676525e-08
0.00625,0.9999935284211824,-0.002070897916301088,-1.6153474123428,0.002083317154407368,8.137958072570292e-08
0.0075,0.9999906809409674,-0.002485069785590872,-1.615344547786607,0.002499972042875373,1.406234266028281e-07
0.008750000000000001,0.9999873157484727,-0.002899237447294575,-1.615341162414635,0.002916622271899745,2.23303898826455e-07
0.01,0.9999834328493953,-0.003313400200176306,-1.615337256233193,0.003333267064952054,3.333267054166957e-07
0.01125,0.9999790322503097,-0.00372755734301331,-1.615332829249561,0.003749905645524875,4.745974411481399e-07
0.0125,0.9999741139586666,-0.004141708174597856,-1.615327881471991,0.004166537237134809,6.510214419542459e-07
0.01375,0.9999686779827939,-0.004555851993739104,-1.615322412909703,0.004583161063325469,8.665038981733869e-07
0.015,0.9999627243318958,-0.004969988099264979,-1.615316423572891,0.004999776347670482,1.124949676608278e-06
0.01625,0.999956253016052,-0.00538411579002405,-1.615309913472716,0.005416382313776476,1.430263466121717e-06
0.0175,0.9999492640462196,-0.005798234364887398,-1.615302882621313,0.005832978185286088,1.786349567356814e-06
0.01875,0.9999417574342312,-0.006212343122750498,-1.615295331031784,0.006249563185880953,2.197112070677703e-06
0.02,0.999933733192796,-0.006626441362535086,-1.615287258718202,0.006666136539284712,2.666454613557415e-06
0.02125,0.9999251913354995,-0.007040528383191049,-1.615278665695612,0.00708269746926601,3.198280590857765e-06
0.0225,0.9999161318768041,-0.007454603483698316,-1.615269551980028,0.007499245199641531,3.796492879892741e-06
0.02375,0.999906554832048,-0.007868665963068724,-1.615259917588435,0.007915778954278975,4.464994083040768e-06
0.025,0.9998964602174466,-0.008282715120347879,-1.615249762538788,0.008332297957100046,5.207686220492517e-06
0.02625,0.9998858480500902,-0.008696750254617035,-1.615239086850012,0.008748801432083434,6.028471005187659e-06
0.0275,0.9998747183479455,-0.009110770664994975,-1.615227890542002,0.009165288603267839,6.931249503257098e-06
0.02875,0.9998630711298555,-0.009524775650639878,-1.615216173635622,0.009581758694754935,7.91992244127527e-06
