classification,class_id,class_name,class_order,pair_id,left_model,right_model,n_total,n_informative,left_wins,right_wins,finite_ties,left_failures,right_failures,joint_failures,direction,left_win_fraction,win_ci_low,win_ci_high,p_raw,z_raw,median_delta,mean_delta,delta_ci_low,delta_ci_high,delta_interval_n,delta_interval_k,delta_interval_coverage,median_log10_ratio,n_positive_finite_pairs,holm_family_size,p_holm,z_holm
detailed,0,S0,0,A_core_vs_A_nfw,A_core,A_nfw,2,2,0,2,0,0,0,0,right,0.0,0.0,0.841886116991581,0.5,0.6744897501960817,227.75080417529063,227.75080417529063,-inf,inf,2,0,1.0,1.6620193463507817,2,60,1.0,0.0
detailed,0,S0,0,B_core_vs_B_nfw,B_core,B_nfw,2,2,0,2,0,0,0,0,right,0.0,0.0,0.841886116991581,0.5,0.6744897501960817,17.18165118179186,17.18165118179186,-inf,inf,2,0,1.0,0.7869608974723681,2,60,1.0,0.0
detailed,0,S0,0,C_core_vs_C_nfw,C_core,C_nfw,2,2,0,2,0,0,0,0,right,0.0,0.0,0.841886116991581,0.5,0.6744897501960817,64.68871038143543,64.68871038143543,-inf,inf,2,0,1.0,1.1969699577715092,2,60,1.0,0.0
detailed,0,S0,0,C_core_vs_B_core,C_core,B_core,2,2,1,1,0,0,0,0,none,0.5,0.01257911709342505,0.9874208829065749,1.0,0.0,47.50705919964357,47.50705919964357,-inf,inf,2,0,1.0,0.4100090602991411,2,60,1.0,0.0
detailed,1,Sa,1,A_core_vs_A_nfw,A_core,A_nfw,3,3,2,1,0,0,0,0,left,0.6666666666666666,0.09429932405024609,0.9915962413403874,1.0,0.0,-1.4499305087635832,588.4627935905334,-inf,inf,3,0,1.0,-0.38166584761201744,3,60,1.0,0.0
detailed,1,Sa,1,B_core_vs_B_nfw,B_core,B_nfw,3,3,1,2,0,0,0,0,right,0.3333333333333333,0.008403758659612636,0.9057006759497539,1.0,0.0,1.0006464714698762,51.869613393126805,-inf,inf,3,0,1.0,0.14207505696217848,3,60,1.0,0.0
detailed,1,Sa,1,C_core_vs_C_nfw,C_core,C_nfw,3,3,1,2,0,0,0,0,right,0.3333333333333333,0.008403758659612636,0.9057006759497539,1.0,0.0,0.42670323390369047,48.24726451482031,-inf,inf,3,0,1.0,0.06633545131159946,3,60,1.0,0.0
detailed,1,Sa,1,C_core_vs_B_core,C_core,B_core,3,3,3,0,0,0,0,0,left,1.0,0.2924017738212866,1.0,0.25,1.1503493803760079,-0.5739432375661857,-3.6223488783064948,-inf,inf,3,0,1.0,-0.07573960565057902,3,60,1.0,0.0
detailed,2,Sab,2,A_core_vs_A_nfw,A_core,A_nfw,9,9,1,8,0,0,0,0,right,0.1111111111111111,0.0028091367465992146,0.48249651491733697,0.0390625,2.063527898316244,125.93368027384095,182.6701278825995,12.458299348808241,429.86396255883517,9,2,0.9609375,0.8661814749207208,9,60,1.0,0.0
detailed,2,Sab,2,B_core_vs_B_nfw,B_core,B_nfw,9,9,2,7,0,0,0,0,right,0.2222222222222222,0.028144973477898197,0.600093573716312,0.1796875,1.341717841080254,31.195892560366932,65.67598803916532,-45.28492554612883,134.84450131794523,9,2,0.9609375,0.5727207214482282,9,60,1.0,0.0
detailed,2,Sab,2,C_core_vs_C_nfw,C_core,C_nfw,9,9,2,7,0,0,0,0,right,0.2222222222222222,0.028144973477898197,0.600093573716312,0.1796875,1.341717841080254,31.202093310826132,77.72667522922198,-46.88230256290734,134.94207008952685,9,2,0.9609375,0.5950835181407041,9,60,1.0,0.0
detailed,2,Sab,2,C_core_vs_B_core,C_core,B_core,9,9,4,5,0,0,0,0,right,0.4444444444444444,0.1369956622651665,0.787991493221132,1.0,0.0,0.0062007504592003215,12.050687190056669,-1.597377016778509,37.19129818194904,9,2,0.9609375,4.458215995706283e-05,9,60,1.0,0.0
detailed,3,Sb,3,A_core_vs_A_nfw,A_core,A_nfw,12,12,1,11,0,0,0,0,right,0.08333333333333333,0.002107593231860227,0.38479616515094406,0.00634765625,2.7292603767431833,10.850626804248659,30.77772681952118,1.1297981229792486,89.88510133237332,12,3,0.96142578125,0.8234572072865753,12,60,0.34912109375,0.9362954430635395
detailed,3,Sb,3,B_core_vs_B_nfw,B_core,B_nfw,12,12,4,8,0,0,0,0,right,0.3333333333333333,0.09924609114958328,0.6511244935811844,0.3876953125,0.8638044689097192,2.6984625202374826,9.699934344732869,-2.7999570149429966,30.08078920862265,12,3,0.96142578125,0.26358544397244765,12,60,1.0,0.0
detailed,3,Sb,3,C_core_vs_C_nfw,C_core,C_nfw,12,12,5,7,0,0,0,0,right,0.4166666666666667,0.15165222980843013,0.7233303143178942,0.7744140625,0.2866059441855708,2.6079477077233726,8.793198708363146,-2.4014788544929306,29.711326287791554,12,3,0.96142578125,0.25413551264070444,12,60,1.0,0.0
detailed,3,Sb,3,C_core_vs_B_core,C_core,B_core,12,12,10,2,0,0,0,0,left,0.8333333333333334,0.5158622513140328,0.9791374745399076,0.03857421875,2.0687003031928377,-0.13357032188116327,-0.9067356363697229,-0.7043538589336862,-0.017158828126380518,12,3,0.96142578125,-0.014439491646945864,12,60,1.0,0.0
detailed,4,Sbc,4,A_core_vs_A_nfw,A_core,A_nfw,15,15,5,10,0,0,0,0,right,0.3333333333333333,0.11824110336688091,0.6161962674588458,0.30175781249999994,1.032671164048141,3.7711541911048525,-45.98481368895152,-3.2455032525158103,18.141314049617137,15,4,0.96484375,0.24100267641701678,15,60,1.0,0.0
detailed,4,Sbc,4,B_core_vs_B_nfw,B_core,B_nfw,15,15,6,9,0,0,0,0,right,0.4,0.16336432385951347,0.6771302337937184,0.6072387695312499,0.5140189103792736,0.6941520402301098,35.309195398503185,-2.7746114337229812,27.909438486981642,15,4,0.96484375,0.5331088283594927,15,60,1.0,0.0
detailed,4,Sbc,4,C_core_vs_C_nfw,C_core,C_nfw,15,15,5,10,0,0,0,0,right,0.3333333333333333,0.11824110336688091,0.6161962674588458,0.30175781249999994,1.032671164048141,3.2096642605463352,34.590811195052,-0.7409555678287764,23.840424256850405,15,4,0.96484375,0.5331733679020667,15,60,1.0,0.0
detailed,4,Sbc,4,C_core_vs_B_core,C_core,B_core,15,15,11,4,0,0,0,0,left,0.7333333333333333,0.4489967589630295,0.9221284537089564,0.11846923828124999,1.5612310799710116,-0.04237421352493237,-0.7183842034511863,-2.6184647949774025,0.010959634971783316,15,4,0.96484375,-0.02894146202910647,15,60,1.0,0.0
detailed,5,Sc,5,A_core_vs_A_nfw,A_core,A_nfw,13,13,5,8,0,0,0,0,right,0.38461538461538464,0.13857933889016064,0.6842223970859369,0.5810546875,0.5518448041657481,8.878296119010542,23.882135557508434,-2.583079563583473,65.91832750760324,13,3,0.9775390625,0.6535554766889853,13,60,1.0,0.0
detailed,5,Sc,5,B_core_vs_B_nfw,B_core,B_nfw,13,13,6,7,0,0,0,0,right,0.46153846153846156,0.19223244180128798,0.7486545177296964,1.0,0.0,0.9971498442655342,-7.318411116423495,-7.923209072421361,4.7440914691143155,13,3,0.9775390625,0.13236480302163717,13,60,1.0,0.0
detailed,5,Sc,5,C_core_vs_C_nfw,C_core,C_nfw,13,13,6,7,0,0,0,0,right,0.46153846153846156,0.19223244180128798,0.7486545177296964,1.0,0.0,1.3541995076472526,-6.876824225041876,-4.255627704635984,9.623797420955427,13,3,0.9775390625,0.15609215998855386,13,60,1.0,0.0
detailed,5,Sc,5,C_core_vs_B_core,C_core,B_core,13,13,10,3,0,0,0,0,left,0.7692307692307693,0.461868460765959,0.9496189265088485,0.09228515625,1.68346475764399,-0.19876621136671346,0.44158689138161894,-4.692161505997518,0.2089468680361839,13,3,0.9775390625,-0.020704594727853243,13,60,1.0,0.0
detailed,6,Scd,6,A_core_vs_A_nfw,A_core,A_nfw,16,16,3,13,0,0,0,0,right,0.1875,0.040473733905945886,0.4564565462316117,0.021270751953125,2.3031438298784073,5.61143207825235,35.34331075924874,1.0287924953245005,37.57371165720291,16,4,0.978729248046875,0.9062008182499215,16,60,1.0,0.0
detailed,6,Scd,6,B_core_vs_B_nfw,B_core,B_nfw,16,16,4,12,0,0,0,0,right,0.25,0.07266203825288216,0.5237708198961273,0.076812744140625,1.7694863654751125,5.516119240705503,18.63404826896783,-0.4633329706556621,17.35612592202165,16,4,0.978729248046875,0.6483059834126432,16,60,1.0,0.0
detailed,6,Scd,6,C_core_vs_C_nfw,C_core,C_nfw,16,16,4,12,0,0,0,0,right,0.25,0.07266203825288216,0.5237708198961273,0.076812744140625,1.7694863654751125,4.833769879837883,17.13741987688575,-0.4679405375513353,15.715937687285091,16,4,0.978729248046875,0.6048341323150728,16,60,1.0,0.0
detailed,6,Scd,6,C_core_vs_B_core,C_core,B_core,16,16,14,2,0,0,0,0,left,0.875,0.6165237631507364,0.9844863961845861,0.004180908203125,2.864179646903261,-0.5276729080822542,-1.4966283920820818,-1.6401882347365593,-0.02554673499694618,16,4,0.978729248046875,-0.03998150282555668,16,60,0.234130859375,1.1897851203031111
detailed,7,Sd,7,A_core_vs_A_nfw,A_core,A_nfw,15,15,5,10,0,0,0,0,right,0.3333333333333333,0.11824110336688091,0.6161962674588458,0.30175781249999994,1.032671164048141,2.2951784436924347,5.041112232116808,-1.0651197088577695,9.74694575475299,15,4,0.96484375,0.8214666793525868,15,60,1.0,0.0
detailed,7,Sd,7,B_core_vs_B_nfw,B_core,B_nfw,15,15,3,12,0,0,0,0,right,0.2,0.0433120051058366,0.48089113380685305,0.03515625,2.1065540881628144,2.0160470102863424,-0.5583077316157926,0.3068702810582016,4.93341928944368,15,4,0.96484375,0.5663962949514122,15,60,1.0,0.0
detailed,7,Sd,7,C_core_vs_C_nfw,C_core,C_nfw,15,15,4,11,0,0,0,0,right,0.26666666666666666,0.07787154629104358,0.5510032410369705,0.11846923828124999,1.5612310799710116,1.9615759515993085,-0.3478325274241162,-0.10212548614353478,5.727567863350252,15,4,0.96484375,0.5719160135700325,15,60,1.0,0.0
detailed,7,Sd,7,C_core_vs_B_core,C_core,B_core,15,15,11,4,0,0,0,0,left,0.7333333333333333,0.4489967589630295,0.9221284537089564,0.11846923828124999,1.5612310799710116,-0.06753154428836661,0.21047520419167648,-0.40899576720173636,0.00206196946406223,15,4,0.96484375,-0.014023320727758914,15,60,1.0,0.0
detailed,8,Sdm,8,A_core_vs_A_nfw,A_core,A_nfw,9,9,3,6,0,0,0,0,right,0.3333333333333333,0.07485463141969183,0.7007049437914596,0.5078125,0.6622476824884141,0.6872559330557195,17.67554123285375,-1.0168062776010798,44.764208900291074,9,2,0.9609375,0.9196696063365319,9,60,1.0,0.0
detailed,8,Sdm,8,B_core_vs_B_nfw,B_core,B_nfw,9,9,3,6,0,0,0,0,right,0.3333333333333333,0.07485463141969183,0.7007049437914596,0.5078125,0.6622476824884141,2.076098880924368,10.077342408797096,-1.1614039659687165,27.202041227885143,9,2,0.9609375,1.0752040331856734,9,60,1.0,0.0
detailed,8,Sdm,8,C_core_vs_C_nfw,C_core,C_nfw,9,9,3,6,0,0,0,0,right,0.3333333333333333,0.07485463141969183,0.7007049437914596,0.5078125,0.6622476824884141,3.667622798918427,10.230328798117164,-0.3664700030259038,27.20211199058365,9,2,0.9609375,1.0294032996008753,9,60,1.0,0.0
detailed,8,Sdm,8,C_core_vs_B_core,C_core,B_core,9,9,4,5,0,0,0,0,right,0.4444444444444444,0.1369956622651665,0.787991493221132,1.0,0.0,7.07626985061438e-05,0.1529863893200691,-0.3319640371034467,0.8393917031637119,9,2,0.9609375,1.0969182193676374e-06,9,60,1.0,0.0
detailed,9,Sm,9,A_core_vs_A_nfw,A_core,A_nfw,18,18,8,10,0,0,0,0,right,0.4444444444444444,0.21530150738729983,0.6924283410012437,0.8145294189453125,0.2345868474365956,1.1689181261352004,24.344105839789474,-3.7049592685142536,10.51886764054741,18,5,0.9691162109375,0.2867470374535727,18,60,1.0,0.0
detailed,9,Sm,9,B_core_vs_B_nfw,B_core,B_nfw,18,18,9,9,0,0,0,0,none,0.5,0.26019058289509706,0.7398094171049029,1.0,0.0,-0.7548796065491293,17.086190079141403,-5.030615797430673,3.737139270100629,18,5,0.9691162109375,-0.03936846537643775,18,60,1.0,0.0
detailed,9,Sm,9,C_core_vs_C_nfw,C_core,C_nfw,18,18,9,9,0,0,0,0,none,0.5,0.26019058289509706,0.7398094171049029,1.0,0.0,-0.9293771927052282,15.989574639724474,-3.8975064506375374,3.2809679006520764,18,5,0.9691162109375,-0.06483574117329444,18,60,1.0,0.0
detailed,9,Sm,9,C_core_vs_B_core,C_core,B_core,18,18,13,5,0,0,0,0,left,0.7222222222222222,0.46519803441694385,0.9030507874744406,0.09625244140625,1.663299786676639,-0.21521540340314876,-1.0966154394169267,-0.4561713694485525,0.00036171695178044416,18,5,0.9691162109375,-0.0421032341755394,18,60,1.0,0.0
detailed,10,Im,10,A_core_vs_A_nfw,A_core,A_nfw,18,18,5,13,0,0,0,0,right,0.2777777777777778,0.09694921252555934,0.5348019655830561,0.09625244140625,1.663299786676639,1.101587074358248,3.6209091829492186,-0.6062076793673123,7.6208802195779,18,5,0.9691162109375,0.46443087493458346,18,60,1.0,0.0
detailed,10,Im,10,B_core_vs_B_nfw,B_core,B_nfw,18,18,6,12,0,0,0,0,right,0.3333333333333333,0.13342740250612353,0.5900747618279255,0.237884521484375,1.1802909370230565,0.9564848514965227,1.768052713697242,-5.132969666686975,3.0882339311499507,18,5,0.9691162109375,0.4699373464797006,18,60,1.0,0.0
detailed,10,Im,10,C_core_vs_C_nfw,C_core,C_nfw,18,18,6,12,0,0,0,0,right,0.3333333333333333,0.13342740250612353,0.5900747618279255,0.237884521484375,1.1802909370230565,0.7737777922840693,1.6725859763501931,-5.132974661956656,2.957281023349645,18,5,0.9691162109375,0.19532970842889227,18,60,1.0,0.0
detailed,10,Im,10,C_core_vs_B_core,C_core,B_core,18,18,13,5,0,0,0,0,left,0.7222222222222222,0.46519803441694385,0.9030507874744406,0.09625244140625,1.663299786676639,-0.11401700356924596,-0.09546673734704914,-0.6957997134388938,1.846745486455692e-05,18,5,0.9691162109375,-0.021491787904126536,18,60,1.0,0.0
detailed,11,BCD,11,A_core_vs_A_nfw,A_core,A_nfw,1,1,0,1,0,0,0,0,right,0.0,0.0,0.975,1.0,0.0,5.6322519738166505,5.6322519738166505,-inf,inf,1,0,1.0,1.9640904015912002,1,60,1.0,0.0
