galaxy,model_id,fit_mode,region,n_rows,failed,chi2,loss,rms_kms,signed_kms,signed_standardized,halo_bound_hit,eta_bound_hit,nuisance_bound_hit,guard_active,optimizer_success,eta
CamB,C_core,full,all,9,False,11.927568167856537,1.3252853519840597,1.7268155784460986,0.9038339232605453,0.6025559488403637,False,True,False,True,True,1000.0
D512-2,C_core,full,all,4,False,0.14572669521075246,0.036431673802688115,0.5835134003946498,-0.20865244207605027,-0.03944708911487242,False,True,False,False,True,2.582573148006068e-17
D564-8,C_core,full,all,6,False,0.16601611329740573,0.02766935221623429,0.29710439683715095,0.005710704586202375,0.004788135112444807,False,True,False,False,True,1.4547360186339852e-14
D631-7,C_core,full,all,16,False,5.699790791496519,0.35623692446853245,1.1392464400162288,0.4008348072130533,0.1975417702656993,False,False,False,False,True,5.155515549432741
DDO064,C_core,full,all,14,False,3.3345024510125842,0.23817874650089887,2.2796112847430834,-0.39144535400046987,-0.08235225865104366,False,False,False,False,True,3.949858431901727
DDO154,C_core,full,all,12,False,11.987260278537596,0.9989383565447997,0.5546015807943524,-0.21588008777145928,-0.3266924965989186,False,True,False,False,True,1.436076569408199e-18
DDO161,C_core,full,all,31,False,6.172842735914704,0.19912395922305495,1.0911708406784442,-0.04186489257843336,-0.01308059511381124,False,True,False,False,True,2.5079070007237186e-18
DDO168,C_core,full,all,10,False,14.61764660092183,1.461764660092183,1.7779945125955232,0.3898431456775855,0.2294321251413795,False,False,False,False,True,7.242407259412172
DDO170,C_core,full,all,8,False,35.146463682637034,4.393307960329629,2.43706598522572,-0.34352037913915145,-0.17050158637640112,False,True,False,False,True,1.7742923541723758e-29
ESO079-G014,C_core,full,all,15,False,11.560580538814362,0.7707053692542908,5.944934069771017,-2.74072385726687,-0.2542760682725936,False,True,False,False,True,1.0934102601135452e-16
ESO116-G012,C_core,full,all,15,False,8.140649962848507,0.5427099975232338,2.5827749527796198,-0.8675168098031172,-0.18491961080300676,False,True,False,False,True,3.524375367967793e-14
ESO444-G084,C_core,full,all,7,False,11.496850100733194,1.6424071572475991,3.0383892888099933,-1.8261912388320956,-0.6003284388681589,False,True,False,False,True,3.968957801564375e-22
ESO563-G021,C_core,full,all,30,False,260.78030501040615,8.692676833680204,25.369609251398284,5.137641443722263,0.29067757739198025,False,True,False,False,True,9.632640080114465e-24
F565-V2,C_core,full,all,7,False,0.2587304635221513,0.03696149478887876,1.248145309071012,0.022938666318916643,-0.0013024595408588438,False,True,False,False,True,3.3365977567939386e-19
F568-3,C_core,full,all,18,False,13.973113787721438,0.7762840993178577,7.594424090921416,-1.61424110275975,-0.11539548923585127,False,True,False,False,True,1.5590149985983416e-18
F568-V1,C_core,full,all,15,False,5.109575467378141,0.34063836449187607,7.592445651020081,-1.5721043626990328,-0.1066846375233074,False,True,False,False,True,1.5881064592372278e-17
F571-8,C_core,full,all,13,False,6.121249632280803,0.47086535632929255,3.279947687514926,0.5202116546921587,0.11129091849466782,False,True,False,False,True,2.960409816468629e-18
F571-V1,C_core,full,all,7,False,0.4067658268942168,0.05810940384203097,1.7521034005115408,-0.5277309119676562,-0.04595225326325914,False,True,False,False,True,2.0974396457835484e-18
F574-1,C_core,full,all,14,False,6.927692351316128,0.49483516795115196,3.2149661969659613,-0.6618412678659882,-0.1243742944397532,False,True,False,False,True,1.5019051573937022e-18
F583-1,C_core,full,all,25,False,6.326404786660996,0.2530561914664398,3.4839148868767236,-0.2907819440820772,-0.06175082017773066,False,True,False,False,True,1.1017872843480844e-16
F583-4,C_core,full,all,12,False,7.2827658531580886,0.6068971544298407,3.8552314637396092,-1.5421765006765185,-0.2852219401690758,False,True,False,False,True,5.139186988749748e-30
IC2574,C_core,full,all,34,False,73.41550681773306,2.1592796122862663,2.280759737854611,-0.5349745575066355,-0.2750071364279729,False,True,False,False,True,8.496642033543745e-11
IC4202,C_core,full,all,32,False,286.8527429338318,8.964148216682243,16.989750085929764,-0.7361014468380638,0.16923526307300207,False,False,True,False,True,766.7895111686067
KK98-251,C_core,full,all,15,False,2.523798160668899,0.16825321071125993,0.8203735995539104,0.07751505331422232,0.03875752665711116,False,False,False,False,True,4.068334342493129
NGC0024,C_core,full,all,29,False,9.752458425151874,0.3362916698328232,4.338903297045068,-1.0937136218112995,-0.13968902006984904,False,True,False,False,True,1.738921308348193e-13
NGC0055,C_core,full,all,21,False,2.2958417825321287,0.1093257991681966,1.1116469320945281,0.14599791778998478,0.016519790027296127,False,False,False,False,True,0.0845712259642744
NGC0100,C_core,full,all,21,False,2.6748516200877424,0.12737388667084487,2.0870834648504357,-0.03693771138397496,0.003156259181243462,False,True,False,False,True,2.6195051624261862e-24
NGC0247,C_core,full,all,26,False,43.56881794418291,1.6757237670839582,3.76745126834274,-1.0693103697675168,-0.19596321055914306,False,True,True,True,True,999.980872624856
NGC0289,C_core,full,all,28,False,49.41581380890466,1.7648504931751663,16.91563908466647,6.755881497006791,0.22060864003246697,False,True,False,False,True,3.0978050514665855e-13
NGC0300,C_core,full,all,25,False,13.887290517958917,0.5554916207183567,3.914557955475664,0.5772771817831764,0.030117238649232433,False,True,False,False,True,4.425539447300354e-17
NGC0801,C_core,full,all,13,False,58.85680542513336,4.527446571164105,13.016928606376286,0.8863782896540897,0.1446119819025496,False,True,False,False,True,3.756296517140855e-14
NGC0891,C_core,full,all,18,False,15.699952309645377,0.8722195727580765,8.081631318480083,0.3644962852287976,0.012852931634641677,False,True,True,False,True,2.321210885457438e-14
NGC1003,C_core,full,all,36,False,112.64560242413529,3.1290445117815358,5.279789444826191,0.625732632930891,0.03937372429021925,False,True,False,False,True,2.0016128533813642e-13
NGC1090,C_core,full,all,24,False,60.388243902978616,2.516176829290776,9.79294998931681,-0.3221053824436095,-0.017585575279268406,False,True,False,False,True,2.95605339874758e-13
NGC2403,C_core,full,all,73,False,1468.8216669884303,20.12084475326617,7.002670339195309,-0.8129016505409438,0.01568224734219374,False,True,False,False,True,3.209888701763253e-17
NGC2683,C_core,full,all,11,False,10.307388276739816,0.9370352978854378,9.841459696811839,0.6472294562720823,0.01240795691411231,False,True,False,False,True,9.777378830412548e-21
NGC2841,C_core,full,all,50,False,127.85282739429076,2.557056547885815,9.03636881224002,0.7124736506817589,-0.07786485147173887,False,True,False,False,True,4.748175016942005e-25
NGC2903,C_core,full,all,34,False,322.90719767899776,9.497270519970522,22.337133651250614,4.483200627371423,0.47366956200852406,False,True,False,False,True,4.469840559510651e-16
NGC2915,C_core,full,all,30,False,26.02093139433432,0.867364379811144,7.277786937313732,0.33940258118924194,0.019481719796717607,False,True,False,False,True,6.231989590007529e-16
NGC2955,C_core,full,all,24,False,47.71023007556236,1.9879262531484316,8.113765871497602,-0.5938924617543245,-0.10514421440208299,False,False,False,False,True,3.285942844064376
NGC2976,C_core,full,all,27,False,7.027814200850612,0.26028941484631896,1.7562425815573424,0.2518649593136918,0.05860969114812146,False,False,False,False,True,3.3285035625020747
NGC2998,C_core,full,all,13,False,22.160379501072118,1.7046445770055476,20.499759628756106,-10.441095425312037,-0.5445659594694516,False,False,False,False,True,38.98778595485171
NGC3109,C_core,full,all,25,False,8.236576583895127,0.3294630633558051,1.284368337194656,-0.060240069364378854,-0.06252743855641334,False,True,False,False,True,1.8444513655266225e-17
NGC3198,C_core,full,all,43,False,145.6246933859785,3.3866207764181047,9.973096852037624,1.6278189410519674,-0.1510137720818157,False,True,False,False,True,1.816439728422197e-17
NGC3521,C_core,full,all,41,False,6.036762371483984,0.1472381066215606,4.096711034954744,-0.17401691180090945,-0.014400695119372291,False,False,False,False,True,1.870279285538425
NGC3726,C_core,full,all,12,False,17.83089326917458,1.485907772431215,6.6282329968254885,1.0877457533845838,0.12124254838571329,False,True,False,False,True,1.4254364978619287e-10
NGC3741,C_core,full,all,21,False,22.177410651381408,1.0560671738753051,2.3578584983614563,-0.7261329079632832,-0.2946997134331677,False,True,False,False,True,3.1022786142427333e-19
NGC3769,C_core,full,all,12,False,16.792510137438967,1.3993758447865805,8.009903566931563,0.3660808153824557,0.002468898863822594,False,True,False,False,True,1.832233412704381e-23
NGC3877,C_core,full,all,13,False,20.357007493955347,1.5659236533811804,9.704655528443501,0.8909480866891849,0.10149412641519213,False,True,False,False,True,6.559627598859829e-16
NGC3893,C_core,full,all,10,False,4.3289411695891085,0.43289411695891084,4.647154174659338,-0.8825237427603156,-0.04632088591086382,False,True,False,False,True,7.061762224326088e-18
NGC3917,C_core,full,all,17,False,21.838593222565464,1.284623130739145,5.33119719376742,-1.0823190659063455,-0.11492764278219766,False,True,False,False,True,3.962390760741217e-15
NGC3949,C_core,full,all,7,False,1.6009122613849358,0.2287017516264194,3.0610267959118134,-0.5220376792503194,-0.042021493658760616,False,True,False,True,True,1000.0
NGC3953,C_core,full,all,8,False,3.9788554658762676,0.49735693323453345,4.989506307343554,-1.2723253731534854,-0.11415839546391575,False,True,False,False,True,2.9979020140324075e-17
NGC3972,C_core,full,all,10,False,12.82273098640594,1.282273098640594,5.760014317373434,-1.5977824083963335,-0.21713579317529136,False,True,False,False,True,6.80618266318956e-26
NGC3992,C_core,full,all,9,False,6.528110109946239,0.7253455677718043,5.770003653361204,-0.46250431221538846,-0.08198184919384433,False,True,False,False,True,1.4518470919774387e-11
NGC4010,C_core,full,all,12,False,7.468441602341398,0.6223701335284498,4.883178994485321,-0.29717411960782414,-0.05116132672928143,False,False,False,False,True,8.26454160622458
NGC4013,C_core,full,all,36,False,25.695592446214167,0.7137664568392824,5.244212653417816,-0.8331021009156435,-0.08605456794518607,False,True,False,False,True,3.1387502093259853e-15
NGC4051,C_core,full,all,7,False,1.3565283510699377,0.19378976443856252,3.7939209266506055,-0.8026227299088292,-0.05651609038522828,False,True,False,False,True,999.9926526923942
NGC4068,C_core,full,all,6,False,0.8025611258611801,0.13376018764353,1.1070775219310203,0.49077281283777063,0.1308206384857852,False,False,False,False,True,1.9970776965178445
NGC4085,C_core,full,all,7,False,8.172977428530086,1.1675682040757265,7.100624280565111,1.8567515541190613,0.27369290865186446,False,False,False,False,True,1.5634329807887637
