classification,class_id,class_name,class_order,model_id,fit_mode,region,n_galaxies,n_failures,n_signed_defined,median_signed_standardized,mean_signed_standardized,median_signed_kms,mean_signed_kms,median_loss,mean_loss
detailed,0,S0,0,A_core,full,inner_third,3,0,3,-3.6329932634435997,-2.596195893242671,-20.14557106488577,-22.45844576238001,24.434603260813187,16.95551441976403
detailed,0,S0,0,A_core,full,middle_third,3,0,3,0.3669605798251666,0.5210777922555087,4.717037515198996,2.3255328039278815,7.851875026847163,6.450427870723995
detailed,0,S0,0,A_core,full,outer_third,3,0,3,-0.7696866337148522,-1.4504725395025464,-15.377373383122446,-14.294159387162056,18.939339105666175,19.016162217121288
detailed,0,S0,0,A_core,inner,withheld_outer,2,0,2,-11.849683382974597,-11.849683382974597,-42.271762164844546,-42.271762164844546,230.9207545722562,230.9207545722562
detailed,0,S0,0,A_nfw,full,inner_third,3,0,3,0.08399220894145328,0.351965940246906,4.2924947853838376,3.5201073520125443,1.415455906989618,1.820501117818898
detailed,0,S0,0,A_nfw,full,middle_third,3,0,3,0.4674963160502998,0.26755254709270054,2.851242367865283,2.1213556347305995,0.6596234191452468,2.4760873935244483
detailed,0,S0,0,A_nfw,full,outer_third,3,0,3,-0.14827901940627558,-0.3122601965773361,-3.1823601346239627,-3.616544601794292,0.64992232837383,1.0367624956143262
detailed,0,S0,0,A_nfw,inner,withheld_outer,2,0,2,-0.2614745274002023,-0.2614745274002023,-4.201257289188691,-4.201257289188691,3.1699503969655645,3.1699503969655645
detailed,0,S0,0,B_core,full,inner_third,3,0,3,0.17142150322855118,0.22798348823636574,2.785380715906418,3.0441341383538663,2.543243522651681,2.112392085350009
detailed,0,S0,0,B_core,full,middle_third,3,0,3,0.3449043656872989,0.4574992013826488,4.47512113051603,3.004098057405241,1.7183699333955784,2.574142371630229
detailed,0,S0,0,B_core,full,outer_third,3,0,3,-0.7903538136430073,-0.8682272070937392,-12.349401451795154,-10.288261735604886,2.116896365073126,2.3719000105462116
detailed,0,S0,0,B_core,inner,withheld_outer,2,0,2,-3.8488756188207,-3.8488756188207,-20.933309332975533,-20.933309332975533,20.766066551038243,20.766066551038243
detailed,0,S0,0,B_nfw,full,inner_third,3,0,3,0.061938237927846806,0.24280531465615865,3.9727606577336587,1.622319689812814,1.168012377150751,1.6294514640238524
detailed,0,S0,0,B_nfw,full,middle_third,3,0,3,0.31960285369743235,0.19349100053262558,1.4359833749996558,1.8353959037092897,0.43165105599494324,1.8906540030047383
detailed,0,S0,0,B_nfw,full,outer_third,3,0,3,-0.14696913727858602,-0.3019481920065854,-3.161034405329289,-3.644262652749065,0.577510585273514,0.9601924620556174
detailed,0,S0,0,B_nfw,inner,withheld_outer,2,0,2,-1.4326842972580458,-1.4326842972580458,-7.837818458115035,-7.837818458115035,3.5844153692463823,3.5844153692463823
detailed,0,S0,0,C_core,full,inner_third,3,0,3,0.16293287423261688,0.19772994357872442,2.761072525375463,2.7906003154930805,2.304478640302726,2.057984234673182
detailed,0,S0,0,C_core,full,middle_third,3,0,3,0.3620549471383374,0.47644628863032884,4.628008315469103,3.0852540554158643,1.660336276273473,2.5257708624698174
detailed,0,S0,0,C_core,full,outer_third,3,0,3,-0.7661265363972991,-0.8531205429163567,-12.427661437030462,-10.056053902272136,1.8717156373271775,2.2934074296351703
detailed,0,S0,0,C_core,inner,withheld_outer,2,0,2,-6.676440477918559,-6.676440477918559,-29.01623426974067,-29.01623426974067,68.27312575068181,68.27312575068181
detailed,0,S0,0,C_nfw,full,inner_third,3,0,3,0.061938237927846806,0.24280531465615865,3.9727606577336587,1.622319689812814,1.168012377150751,1.6294514640238524
detailed,0,S0,0,C_nfw,full,middle_third,3,0,3,0.31960285369743235,0.19349100053262558,1.4359833749996558,1.8353959037092897,0.43165105599494324,1.8906540030047383
detailed,0,S0,0,C_nfw,full,outer_third,3,0,3,-0.14696913727858602,-0.3019481920065854,-3.161034405329289,-3.644262652749065,0.577510585273514,0.9601924620556174
detailed,0,S0,0,C_nfw,inner,withheld_outer,2,0,2,-1.4326842972580458,-1.4326842972580458,-7.837818458115035,-7.837818458115035,3.5844153692463823,3.5844153692463823
detailed,1,Sa,1,A_core,full,inner_third,3,0,3,1.7341036914245602,2.3767263349708556,19.632696198673887,21.213990689404323,3.6957059997429575,16.676780530598407
detailed,1,Sa,1,A_core,full,middle_third,3,0,3,0.19302596803593158,0.3666942700897744,3.530280494935048,3.441565765506587,1.1292769680469394,2.7528254054228203
detailed,1,Sa,1,A_core,full,outer_third,3,0,3,-0.08631894697210457,-0.09726738961453586,-1.3423964405306956,-2.1090040091150546,1.6292012780062766,3.6071534152575873
detailed,1,Sa,1,A_core,inner,withheld_outer,3,0,3,-0.319114714860277,12.135103960677403,-5.1048446739833935,16.258610699295556,2.731440164372598,599.6468426116842
detailed,1,Sa,1,A_nfw,full,inner_third,3,0,3,2.1106825709123798,3.0259258566497196,22.84430535542322,26.398234940502203,5.764594698262479,22.25680498170382
