galaxy,model,epsilon,analysis,holdout,n,n_outer,T,D,e_D,distance_method,inc,e_inc,L36,Rdisk,MHI,RHI,Vflat,Q,morphology,morphology_alt,Rmax_kpc,Rmin_kpc,coverage,median_speed,baryon_fraction_outer_nominal,quality2,raw_residual_kms_mean,raw_residual_kms_median,fractional_error_mean,fractional_error_median,fractional_residual_mean,standardized_residual_mean,outer_loss,predicted_outer_slope,observed_outer_slope,nuisance_bound_hit,scale_bound_hit,eta_bound_hit,eta_boundary,guard_active,maximum_abs_pull,ml_disk,ml_bulge,distance_ratio,fitted_inclination,eta,length_catalogue_kpc,amplitude_catalogue_kms,slope_residual,log10_coverage,log10_speed
CamB,fixed_core,0.001,fullfit_outer_third,False,9,3,10,3.36,0.26,2,65.0,5.0,0.075,0.47,0.012,1.21,0.0,2,irregular_T10_11,late_T8_11,1.79,0.16,3.808510638297873,10.9,0.6791787131519273,1,-0.8567645344946898,-0.4541853307396657,0.0886511320946289,0.08928571428571429,-0.04281700489643394,-0.5711763563297931,0.839714975330809,0.4575575892425217,0.817011099445087,False,False,False,not applicable,True,1.7069649835403933,0.3374997892560591,0.7,0.9148630678387228,57.87129702416407,,488.0806035380214,6969.803149662666,-0.3594535102025653,0.5807551730441758,1.0374264979406236
D512-2,fixed_core,0.001,fullfit_outer_third,False,4,2,10,15.2,4.56,1,56.0,10.0,0.325,1.24,0.081,0.0,0.0,2,irregular_T10_11,late_T8_11,3.83,0.96,3.088709677419355,34.7,0.20002368178903496,1,-0.5281370375241714,-0.5281370375241714,0.13960411237906972,0.13960411237906972,-0.01447643242035803,-0.10555675806969164,0.011234970964786052,-0.1354748596980005,-0.12477953887937837,False,False,False,not applicable,False,0.0085892930117347,0.500457724713454,0.7,1.0025767879035203,56.067413333236274,,1.0250516636609452,38.40739516025297,-0.010695320818622123,0.4897770888063877,1.5403294747908738
D564-8,fixed_core,0.001,fullfit_outer_third,False,6,2,10,8.79,0.28,2,63.0,7.0,0.033,0.61,0.029,0.0,0.0,2,irregular_T10_11,late_T8_11,3.07,0.51,5.032786885245901,20.85,0.13517368798611112,1,-0.08947801435887648,-0.08947801435887648,0.080375,0.080375,-0.003476969644159228,-0.04111677838159164,0.012921186624050807,0.12986509692808126,0.22470372879858577,False,False,False,not applicable,False,0.0041757139812547,0.5004809780299052,0.7,1.0000283493923885,63.02432389649642,,1.179847565463313,26.98740879041619,-0.09483863187050451,0.7018085404664194,1.3191060593097763
D631-7,fixed_core,0.001,fullfit_outer_third,False,16,6,10,7.72,0.18,2,59.0,3.0,0.196,0.7,0.29,0.0,57.7,1,irregular_T10_11,late_T8_11,7.19,0.45,10.271428571428572,47.2,0.11610138710516488,0,0.29050888062837643,-0.4728216706416113,0.05850156776774009,0.06175725910314952,0.004889881172161243,0.00030942862630112256,0.24010116154417535,0.32163140549645697,0.11466348860659234,False,False,False,not applicable,False,0.8957281149106445,0.4068152202067214,0.7,0.9944281507528758,56.91378521217334,,3.202543915409972,69.29455707268517,0.20696791688986463,1.0116308503686258,1.6739419986340878
DDO064,fixed_core,0.001,fullfit_outer_third,False,14,5,10,6.8,2.04,1,60.0,5.0,0.157,0.69,0.211,3.49,46.1,1,irregular_T10_11,late_T8_11,2.98,0.1,4.3188405797101455,37.9,0.2719541304946145,0,0.4659143387775913,1.019565608717805,0.12572301430796207,0.09978401727861771,0.009950922167635823,0.04549452123597283,0.05737794926193376,0.18609327614399582,0.027555362826052053,False,False,False,not applicable,False,0.0464842565993707,0.4977811634571805,0.7,1.0139452769798112,60.07890477523031,,1.010863893168424,48.626882035674186,0.15853791331794376,0.635367173339,1.5786392099680724
DDO154,fixed_core,0.001,fullfit_outer_third,False,12,4,10,4.04,0.2,2,64.0,3.0,0.053,0.37,0.275,4.96,47.0,2,irregular_T10_11,late_T8_11,5.92,0.49,16.0,43.3,0.13060439321894962,1,-0.40368073189438824,-0.4820842171140711,0.015529151941253419,0.013608032634767231,-0.008339954640578013,-0.8180215598654529,1.2010770403876978,-0.09407801926926192,-0.138898837153254,False,False,False,not applicable,False,1.783994454066216,0.7539967080476558,0.7,1.0143087985044217,64.87260052311763,,1.784851992295178,50.83202379515789,0.04482081788399207,1.2041199826559248,1.6364878963533653
DDO161,fixed_core,0.001,fullfit_outer_third,False,31,11,10,7.5,2.25,1,70.0,10.0,0.548,1.22,1.378,10.69,66.3,1,irregular_T10_11,late_T8_11,13.37,0.6,10.959016393442623,55.0,0.2561627792319553,0,0.3013331234403251,0.059502763831019934,0.02414716385837138,0.019818456883509836,0.004807680733656124,0.17203235326202962,0.2000332626678129,0.06684197053267338,0.1262649861337618,False,False,False,not applicable,False,0.6150598079774342,0.5760709631018717,0.7,1.0998944073244872,71.43152606983824,,4.956964883292893,67.66884408853045,-0.059423015601088425,1.0397715765872362,1.7403626894942439
DDO168,fixed_core,0.001,fullfit_outer_third,False,10,4,10,4.25,0.21,2,63.0,6.0,0.191,1.02,0.413,4.3,53.4,2,irregular_T10_11,late_T8_11,4.12,0.41,4.03921568627451,48.0,0.2305924264245383,1,1.2863249960208112,0.45311335071881587,0.042414928409798915,0.04280026542800266,0.024564530062920115,0.4324856224641034,1.0158310472067877,0.2635616200382311,-0.0313637713623182,False,False,False,not applicable,False,1.3859256551957793,0.4528710229311869,0.7,0.9766494523337964,54.68444606882532,,1.6816689841045631,61.6493223042542,0.2949253914005493,0.606297044271217,1.6812412373755872
DDO170,fixed_core,0.001,fullfit_outer_third,False,8,3,10,15.4,4.62,1,66.0,7.0,0.543,1.95,0.735,9.14,60.0,2,irregular_T10_11,late_T8_11,12.33,1.87,6.323076923076923,57.1,0.23484281944444443,1,0.201961559132369,1.002454102888187,0.019360940045173518,0.020338983050847456,0.004344600412969533,-0.04729622278669391,6.492906458540773,-0.20044613675710757,0.18838540714954563,False,False,False,not applicable,False,1.146380303919538,0.6510405429933176,0.7,1.0489730166730875,66.4259993482603,,3.4271577756837006,62.31930426658919,-0.3888315439066532,0.8009284652332136,1.7566361082458481
ESO079-G014,fixed_core,0.001,fullfit_outer_third,False,15,5,4,28.7,7.17,1,79.0,5.0,51.733,5.08,3.14,17.67,175.0,1,spiral_T1_9,spiral_T1_7,16.67,0.41,3.2814960629921264,132.0,0.3315464506122449,0,0.9599331199499659,1.6836872962398672,0.014151935454080172,0.012598870056497175,0.005792213162540015,0.3388708475641508,1.0997698651250127,0.1207181891983404,0.17377785834650536,False,False,False,not applicable,False,0.3718971673747983,0.4687279152630906,0.7,0.9070904986035784,78.76594929380397,,5.318538592493101,177.30557944563134,-0.053059669148164956,0.5160718875440862,2.12057393120585
