galaxy,model,T,group,Rmax_over_Rdisk,mass_fraction_first_test,mass_fraction_last,median_halo_slope_outer,mean_fractional_residual,median_fractional_residual,median_standardized_residual,last_fractional_residual,last_required_additional_enclosed_over_fitted,last_remaining_mass_over_enclosed,last_shortfall_exceeds_all_remaining_mass,last_halo_required_positive,last_spherical_same_mass_max_speed,last_observed_speed,last_quoted_error,last_capacity_margin_over_observed_squared,outer_baryon_fraction,eta,guard_active
CamB,fixed_core,10,irregular_T10_11,3.808510638297873,1.6722171604222108e-10,3.0192544434779894e-10,0.9999997013010464,-0.3097202291761874,-0.3097202291761874,-3.896484489765851,-0.38874356635686574,8.073435199120805,3312075939.337322,False,True,322204.0226872274,20.1,1.5,-256962530.21415642,0.4064899569955209,0.3,True
D631-7,fixed_core,10,irregular_T10_11,10.271428571428572,0.2707134562683324,0.41568527323832305,0.5285695396747836,0.08196399769525334,0.08162598229470104,1.1755019377375562,0.14191770894837077,-0.25138824711035235,1.4056661719326158,False,True,99.30757822461905,57.3,3.94,-2.0036929704165134,0.10244844729068274,0.3,False
DDO064,fixed_core,10,irregular_T10_11,4.3188405797101455,0.45270858347272497,0.6851000074974511,0.3597866392275606,0.09490546734416132,0.08518059377719901,0.6972437964155204,0.1285961372919883,-0.27887640206361225,0.4596409123579237,False,True,61.596087125646534,46.9,8.65,-0.7248866613582585,0.27866229975727536,0.3,False
DDO154,fixed_core,10,irregular_T10_11,16.0,0.7819050744507797,0.8944871548139087,-0.13402731336223384,-0.019542290125053693,-0.025373803889174106,-1.7181690062097894,-0.003767446029983048,0.008772240148360592,0.11795903900715321,False,True,47.58197259886427,45.5,1.3,-0.09360904064681556,0.1351500124703705,0.3,False
DDO161,fixed_core,10,irregular_T10_11,10.959016393442623,0.6219500352507552,0.8130275738233793,0.05103763489708313,-0.030621483790383108,-0.028815728258017207,-1.8759464449198997,-0.04137940017311365,0.1160202391913792,0.2299705842661104,False,True,68.68043230901635,66.1,1.31,-0.07960061021406142,0.25637962113841783,0.3,False
DDO168,fixed_core,10,irregular_T10_11,4.03921568627451,0.32910274763791086,0.4059198318881904,0.4997133297128531,0.17307641375744348,0.17307641375744348,3.4904739806487406,0.23147546741636305,-0.3944468920020198,1.4635406339925945,False,True,96.34818039169721,52.0,2.7,-2.4330517251446104,0.1978080687846131,0.3,False
DDO170,fixed_core,10,irregular_T10_11,6.323076923076923,0.9544322562575229,0.9810789381137299,-0.3910740746933261,-0.11660277837898525,-0.11660277837898525,-6.646686331351605,-0.15767262972367882,0.5736997384373688,0.019285972974456778,True,True,52.75207534920443,62.2,1.0,0.28071942658571,0.22756560911029555,0.3,False
ESO079-G014,fixed_core,4,spiral_T1_9,3.2814960629921264,0.7828698745566275,0.9138797575801736,-0.16223263464246185,-0.04174038416622311,-0.04083293625085627,-3.240999872825811,-0.06701760984143151,0.2053103404550031,0.09423585729468487,True,True,171.64920983132333,178.0,2.03,0.07008423066160635,0.2536183999236871,0.3,False
ESO116-G012,fixed_core,7,spiral_T1_9,6.52980132450331,0.8223431446520272,0.9158775315729826,-0.18799794235038747,-0.03331734675130762,-0.02739395167641039,-1.3050337493912245,-0.06342806668119406,0.19439331196740778,0.09184903606330486,True,True,108.31068536286554,112.0,4.74,0.06479555454610526,0.2783504059674083,0.3,False
ESO563-G021,fixed_core,4,spiral_T1_9,7.7816513761467885,0.9980728950796606,0.9998838239776773,-0.49684274328568034,-0.183352396045216,-0.19375446597260992,-6.9938272221310545,-0.2142104571293091,0.7127378197520063,0.00011618952075909128,True,True,245.17871722866485,312.0,9.07,0.3824724340288708,0.08486602246510513,0.3,False
