run,binning,radial_bin,model,galaxies,points,mean_z_median,mean_z_q25,mean_z_q75,rms_z_median,rms_z_q25,rms_z_q75,mean_residual_kms_median,mean_residual_kms_q25,mean_residual_kms_q75,median_fractional_residual_median,median_fractional_residual_q25,median_fractional_residual_q75
ml_0.3,r_over_Rdisk,inner,core,140,754,-1.161836031323526,-2.749753727593346,-0.36769803799782,1.781277383033445,0.7649880092302133,3.686453728163371,-4.950976573991019,-15.93927262054956,-1.560923364511096,-0.1162891617740689,-0.2159457580650381,-0.05506013533437301
ml_0.3,r_over_Rdisk,inner,nfw,140,754,0.707679892537473,0.0605938458133475,1.413258878775514,1.309182547575113,0.8179732463673448,2.314989439091046,3.346679219363682,0.2638350698358123,6.668053091143767,0.0848531881255061,0.008445424654738659,0.2542583527941401
ml_0.3,r_over_Rdisk,middle,core,153,1127,-0.08350427082415963,-1.659067316766771,0.1908680254684998,1.237319930333986,0.5820743304920766,3.23813047493411,-0.2996310127634376,-6.885129364582099,0.7843064559271966,-0.004312926398944619,-0.06427703828096061,0.01840581067144511
ml_0.3,r_over_Rdisk,middle,nfw,153,1127,-0.156144158122544,-0.5046133832509302,0.1178508720250566,0.9676731306686756,0.5733745226371277,1.568690508470111,-0.6367637792712806,-2.310760787404925,0.520281854083897,-0.008461483519042979,-0.02647023465881012,0.009100003737051013
ml_0.3,r_over_Rdisk,outer,core,136,1287,-0.2070331737174666,-0.7362510205374692,0.05033066810940792,1.363680188778402,0.7033718328871064,2.876276746685864,-1.335668689445284,-5.272995479454655,-0.1071503083687975,-0.006538136506983702,-0.03607476147190424,0.008206016273617164
ml_0.3,r_over_Rdisk,outer,nfw,136,1287,-0.0009723465815183516,-0.1806365535962231,0.20218245709519,0.863211851840455,0.4156955166783811,1.414057533947457,0.03989498863498334,-1.081277963087986,1.318680545325539,-0.0004505352510666066,-0.009010648770301163,0.01201581308807485
ml_0.3,r_over_rmax,inner,core,153,1431,-1.004076268124023,-1.934555619292791,-0.3733294677853297,1.723788534766654,0.8586898857743975,3.925745252208178,-3.883164643540805,-9.863921937711748,-1.750137537056695,-0.07335578633030619,-0.1221856222040282,-0.03033245964658571
ml_0.3,r_over_rmax,inner,nfw,153,1431,0.4082877498305006,-0.02671898221393009,1.020295580737451,1.296450260693439,0.7851055963771064,2.245328869740339,2.04888971040516,-0.05846266954700598,4.276421377977712,0.0239406068121979,-0.005343537254327242,0.1006355127857927
ml_0.3,r_over_rmax,middle,core,153,885,0.6284666138797818,0.1971317798286149,1.771885453445633,1.075108717633247,0.5911720892285283,2.561928350805339,2.237813593204237,0.5196582519009082,5.231379847934558,0.03044326471413199,0.01380049680644062,0.05704364095414313
ml_0.3,r_over_rmax,middle,nfw,153,885,-0.2296730295703916,-0.6006384221279046,0.2293792655866976,0.8730174689933727,0.4867212435594176,1.43214958851465,-0.5201164877683174,-2.579506699825501,0.7951691890477264,-0.007022662572763968,-0.02962226584651443,0.01080451189336748
