galaxy,ml_disk,ml_bulge,n,Q,D_Mpc,inclination_deg,refs,baryon_invalid_rows,baryon_chi2_valid,baryon_chi2_per_valid_row,core_length_kpc,core_amplitude_kms,core_excess_amplitude_kms,core_admissible_min_amplitude_kms,core_chi2,core_reduced_chi2,core_dof,core_success,core_optimality,core_bound_hit,core_bound_distance_log,core_restart_chi2_spread,core_near_best_starts,nfw_length_kpc,nfw_amplitude_kms,nfw_excess_amplitude_kms,nfw_admissible_min_amplitude_kms,nfw_chi2,nfw_reduced_chi2,nfw_dof,nfw_success,nfw_optimality,nfw_bound_hit,nfw_bound_distance_log,nfw_restart_chi2_spread,nfw_near_best_starts
CamB,0.5,0.7,9,2,3.36,65.0,Bm03,0,45.040389922287986,5.004487769143109,293.76977008015075,2999.9999999999814,2999.9999999999814,0.0,31.520485983827463,4.502926569118209,7,True,1.0192208749997206e-06,True,5.329070518200751e-15,13.519904032127009,7,499.99999999602034,144.84082926511763,144.84082926511763,0.0,42.085365355397585,6.0121950507710835,7,True,5.166176251595745e-06,True,7.958966818932822e-12,2.9550247380108203,7
D512-2,0.5,0.7,4,2,15.2,56.0,Tr09,0,94.50018506559519,23.625046266398797,1.0248058587099653,38.43182069778244,38.43182069778244,0.0,0.18442137996778857,0.09221068998389428,2,True,6.051976476328808e-07,False,3.9365261939422904,1.784683512084939e-14,9,8.421253532433886,95.25692953508498,95.25692953508498,0.0,0.6267173551921823,0.31335867759609115,2,True,1.1184106734175902e-06,False,3.449789805265149,8.949507801503387e-13,9
D564-8,0.5,0.7,6,2,8.79,63.0,Tr09,0,236.10085808714896,39.350143014524825,1.179611080548676,26.987981758160657,26.987981758160657,0.0,0.18464602110228795,0.04616150527557199,4,True,8.278683720780021e-08,False,4.07720779682273,3.524958103184872e-15,9,499.99999999471294,422.94747035516104,422.94747035516104,0.0,3.664524097023375,0.9161310242558437,4,True,3.3645832662150465e-08,True,1.0573764086529991e-11,5.476064046661122e-12,9
D631-7,0.5,0.7,16,1,7.72,59.0,"Tr09,dB01",0,1693.1432428557766,105.82145267848604,3.373624135963939,70.603833052637,70.603833052637,0.0,10.394378961417562,0.7424556401012544,14,True,9.084083725514624e-06,False,3.7492831320945665,9.272582701669307e-13,9,499.99999999999716,645.9889807482904,645.9889807482904,0.0,85.4068268454188,6.100487631815629,14,True,3.366796366864263e-08,True,5.329070518200751e-15,3.0269120543380268e-12,9
DDO064,0.5,0.7,14,1,6.8,60.0,"dB02,Sw02",0,180.84554440949236,12.917538886392311,1.0124294850880762,48.768895149202464,48.768895149202464,0.0,3.6198856527964445,0.30165713773303704,12,True,1.6520519348967495e-06,False,3.924375878643967,1.8562928971732617e-13,9,499.9999999999994,825.5744303765752,825.5744303765752,0.0,6.629130953549817,0.5524275794624848,12,True,2.1982525989922528e-08,True,8.881784197001252e-16,2.730260462158185e-12,9
DDO154,0.5,0.7,12,2,4.04,64.0,"Be91,CB89",0,70395.93204834744,5866.32767069562,1.7487175578680008,50.95573156589601,50.95573156589601,0.0,23.87386774135073,2.3873867741350727,10,True,3.617480034479993e-05,False,4.0754103203752905,5.364597654988756e-13,9,17.341167888636097,143.19621647400942,143.19621647400942,0.0,117.71208076222156,11.771208076222155,10,True,2.9719171730636965e-05,False,3.0421517347436327,3.743139131984208e-11,9
DDO161,0.5,0.7,31,1,7.5,70.0,Co00,0,11524.338461435424,371.7528535946911,4.740974365722955,68.6709317586892,68.6709317586892,0.0,9.386558797996752,0.3236744413102328,29,True,1.3528597426191959e-05,False,3.777041576467087,7.460698725481052e-14,9,71.60740211839592,224.0586744554401,224.0586744554401,0.0,33.31907556392568,1.1489336401353683,29,True,0.00011056315928668763,False,1.9434096482572523,1.2093437362636905e-11,9
DDO168,0.5,0.7,10,2,4.25,63.0,"Sa96,Br92",0,1608.646173343166,160.86461733431662,1.7811926680272177,61.22134711607405,61.22134711607405,0.0,26.031118340609396,3.2538897925761745,8,True,5.0869371507102036e-05,False,3.891871629865535,1.460875864722766e-11,9,499.9999999987342,782.3226286392179,782.3226286392179,0.0,85.78552904549264,10.72319113068658,8,True,1.627998634246117e-05,True,2.531308496145357e-12,3.2642333280819e-11,9
DDO170,0.5,0.7,8,2,15.4,66.0,"Be91,La90",0,4794.596828880253,599.3246036100317,3.361580015476362,63.380701617729734,63.380701617729734,0.0,40.61069310985676,6.768448851642794,6,True,0.00011963400792345416,False,3.8572081434309187,1.510613856225973e-11,9,13.326296754317166,127.0293480825607,127.0293480825607,0.0,12.969326322828874,2.1615543871381457,6,True,1.4812030244635609e-05,False,3.1619494206239462,4.0678571622265736e-13,9
ESO079-G014,0.5,0.7,15,1,28.7,79.0,Ge04,0,5927.188462785567,395.1458975190378,5.3821410826058225,171.8654149525748,171.8654149525748,0.0,13.778292906588161,1.0598686851221664,13,True,1.0593310478128196e-05,False,2.8596558683331335,4.920508445138694e-13,9,68.21782823824168,509.1464015784681,509.1464015784681,0.0,49.495396652013014,3.807338204001001,13,True,1.9555739014790584e-05,False,1.7736319665652198,2.6219026949547697e-11,9
ESO116-G012,0.5,0.7,15,1,13.0,74.0,Ge04,0,4944.638747275469,329.6425831516979,2.596824031259769,115.89099509858933,115.89099509858933,0.0,20.148373255957402,1.5498748658428771,13,True,3.474501206676706e-05,False,3.2537175157622507,2.8350655156827997e-12,9,24.046412441805643,295.5081868159812,295.5081868159812,0.0,30.39847775482411,2.338344442678778,13,True,5.739345130035859e-05,False,2.317671026226849,2.7291946480545448e-11,9
ESO444-G084,0.5,0.7,7,2,4.83,32.0,Co00,0,1994.7216843880326,284.9602406268618,1.1696821299154396,69.83945818523974,69.83945818523974,0.0,20.020179174702125,4.004035834940425,5,True,2.0604092193430354e-05,False,3.760168414092295,3.2223113066720543e-12,9,12.714371964444267,194.37420539981744,194.37420539981744,0.0,3.3490265994967725,0.6698053198993545,5,True,3.6221491389264786e-05,False,2.736582372700319,3.4940939031002927e-12,9
