galaxy,model,configuration,holdout,n,n_train,n_test,n_parameters,chi2_data,chi2_data_per_row,prior_penalty,objective,length_catalogue_kpc,amplitude_catalogue_kms,physical_length_kpc,physical_amplitude_kms,ml_disk,ml_bulge,distance_ratio,distance_Mpc,inclination_deg,disk_pull,bulge_pull,distance_pull,inclination_pull,halo_bound_hit,nuisance_bound_hit,maximum_abs_pull,success,optimality,n_starts,near_best_starts,restart_objective_spread,holdout_admissible,holdout_chi2,holdout_chi2_per_row,distance_method,parameters_json,parameter_names_json
CamB,core,fixed,False,9,9,0,2,31.520426356945322,3.5022695952161467,0.0,31.520426356945322,979.2325301489154,9999.99999998466,979.2325301489154,9999.99999998466,0.5,0.7,1.0,3.36,65.0,0.0,0.0,0.0,0.0,True,False,0.0,True,4.543254186027593e-07,8,6,13.51996365900915,True,,,2,"[6.886769132355062, 9.210340371974649]","[""log_L_catalogue"", ""log_excess_A_catalogue""]"
CamB,nfw,fixed,False,9,9,0,2,42.06251418955232,4.673612687728035,0.0,42.06251418955232,4999.999999999986,458.2195959352333,4999.999999999986,458.2195959352333,0.5,0.7,1.0,3.36,65.0,0.0,0.0,0.0,0.0,True,False,0.0,True,3.94102082131167e-07,8,7,2.977875903856088,True,,,2,"[8.517193191416235, 6.127348536314056]","[""log_L_catalogue"", ""log_excess_A_catalogue""]"
D512-2,core,fixed,False,4,4,0,2,0.1844213799677884,0.0461053449919471,0.0,0.1844213799677884,1.0248058535681177,38.43182063830989,1.0248058535681177,38.43182063830989,0.5,0.7,1.0,15.2,56.0,0.0,0.0,0.0,0.0,False,False,0.0,True,6.714986733289152e-08,8,8,2.2382096176443156e-13,True,,,1,"[0.024503183496757692, 3.6488857788984927]","[""log_L_catalogue"", ""log_excess_A_catalogue""]"
D512-2,nfw,fixed,False,4,4,0,2,0.6267173551921775,0.15667933879804438,0.0,0.6267173551921775,8.421254186285594,95.25693222917093,8.421254186285594,95.25693222917093,0.5,0.7,1.0,15.2,56.0,0.0,0.0,0.0,0.0,False,False,0.0,True,1.2810696995740598e-06,8,8,3.7446712397581905e-12,True,,,1,"[2.1307587704023723, 4.556577790667406]","[""log_L_catalogue"", ""log_excess_A_catalogue""]"
D564-8,core,fixed,False,6,6,0,2,0.18464602110228762,0.030774336850381268,0.0,0.18464602110228762,1.1796110804299544,26.98798175733618,1.1796110804299544,26.98798175733618,0.5,0.7,1.0,8.79,63.0,0.0,0.0,0.0,0.0,False,False,0.0,True,1.1297608343364747e-07,8,8,4.107825191113079e-14,True,,,2,"[0.16518479129393956, 3.2953916468103106]","[""log_L_catalogue"", ""log_excess_A_catalogue""]"
D564-8,nfw,fixed,False,6,6,0,2,3.6223927253026913,0.6037321208837819,0.0,3.6223927253026913,4999.999999998689,1334.1965370717942,4999.999999998689,1334.1965370717942,0.5,0.7,1.0,8.79,63.0,0.0,0.0,0.0,0.0,True,False,0.0,True,2.629237812005605e-07,8,8,3.928368741412669e-11,True,,,2,"[8.517193191415975, 7.196084544762973]","[""log_L_catalogue"", ""log_excess_A_catalogue""]"
D631-7,core,fixed,False,16,16,0,2,10.394378961417544,0.6496486850885965,0.0,10.394378961417544,3.373624092121282,70.60383246102097,3.373624092121282,70.60383246102097,0.5,0.7,1.0,7.72,59.0,0.0,0.0,0.0,0.0,False,False,0.0,True,1.0061589664802717e-06,8,8,8.428813202954188e-12,True,,,2,"[1.215987564793365, 4.257084427176304]","[""log_L_catalogue"", ""log_excess_A_catalogue""]"
D631-7,nfw,fixed,False,16,16,0,2,84.01357410172281,5.250848381357676,0.0,84.01357410172281,4999.999999995314,2033.0335859694928,4999.999999995314,2033.0335859694928,0.5,0.7,1.0,7.72,59.0,0.0,0.0,0.0,0.0,True,False,0.0,True,9.645901186594899e-07,8,8,1.7905676941154525e-11,True,,,2,"[8.5171931914153, 7.617284333890063]","[""log_L_catalogue"", ""log_excess_A_catalogue""]"
DDO064,core,fixed,False,14,14,0,2,3.6198856527964414,0.25856326091403153,0.0,3.6198856527964414,1.012429472443365,48.76889485718812,1.012429472443365,48.76889485718812,0.5,0.7,1.0,6.8,60.0,0.0,0.0,0.0,0.0,False,False,0.0,True,8.834473938273302e-08,8,8,7.747136265834342e-12,True,,,1,"[0.012352860726347045, 3.887092709165605]","[""log_L_catalogue"", ""log_excess_A_catalogue""]"
DDO064,nfw,fixed,False,14,14,0,2,6.595885035689645,0.4711346454064032,0.0,6.595885035689645,4999.999999974167,2605.6079859996753,4999.999999974167,2605.6079859996753,0.5,0.7,1.0,6.8,60.0,0.0,0.0,0.0,0.0,True,False,0.0,True,3.9353845760881306e-07,8,8,1.6688250781271563e-10,True,,,1,"[8.51719319141107, 7.865421318894261]","[""log_L_catalogue"", ""log_excess_A_catalogue""]"
DDO154,core,fixed,False,12,12,0,2,23.87386774135082,1.9894889784459018,0.0,23.87386774135082,1.7487175581584489,50.95573156789018,1.7487175581584489,50.95573156789018,0.5,0.7,1.0,4.04,64.0,0.0,0.0,0.0,0.0,False,False,0.0,True,1.782432562206973e-05,8,8,1.8118839761882555e-11,True,,,2,"[0.5588826953792686, 3.930957247314091]","[""log_L_catalogue"", ""log_excess_A_catalogue""]"
DDO154,nfw,fixed,False,12,12,0,2,117.71208076222048,9.809340063518373,0.0,117.71208076222048,17.34116772223445,143.19621595058578,17.34116772223445,143.19621595058578,0.5,0.7,1.0,4.04,64.0,0.0,0.0,0.0,0.0,False,False,0.0,True,0.00012930290945107999,8,8,6.253060291783186e-10,True,,,2,"[2.8530833117743932, 4.964215829251324]","[""log_L_catalogue"", ""log_excess_A_catalogue""]"
DDO161,core,fixed,False,31,31,0,2,9.386558797996761,0.3027922192902181,0.0,9.386558797996761,4.740974369608709,68.67093177210019,4.740974369608709,68.67093177210019,0.5,0.7,1.0,7.5,70.0,0.0,0.0,0.0,0.0,False,False,0.0,True,1.2075635860062256e-05,8,8,1.971756091734278e-13,True,,,1,"[1.5562426777903522, 4.229325991378452]","[""log_L_catalogue"", ""log_excess_A_catalogue""]"
