galaxy,model,configuration,holdout,n,n_train,n_test,n_parameters,chi2_data,chi2_data_per_row,prior_penalty,objective,length_catalogue_kpc,amplitude_catalogue_kms,physical_length_kpc,physical_amplitude_kms,ml_disk,ml_bulge,distance_ratio,distance_Mpc,inclination_deg,disk_pull,bulge_pull,distance_pull,inclination_pull,halo_bound_hit,nuisance_bound_hit,maximum_abs_pull,success,optimality,n_starts,near_best_starts,restart_objective_spread,holdout_admissible,holdout_chi2,holdout_chi2_per_row,distance_method,parameters_json,parameter_names_json
CamB,core,all_0.10,False,9,9,0,5,11.92756304230228,1.3252847824780312,6.15697876078156,18.08454180308384,700.2790689722892,9999.999999958869,640.659459107545,10702.035552943578,0.337499804830799,0.7,0.9148630703010439,3.0739399162115073,57.87128774731565,-1.706964783124759,0.0,-1.100231091494203,-1.4257424505368699,True,False,1.706964783124759,True,1.9794045056451057e-05,8,6,26.884843093991183,True,,,2,"[6.551478925556064, 9.21034037197207, -1.706964783124759, -1.100231091494203, -1.4257424505368699]","[""log_L_catalogue"", ""log_excess_A_catalogue"", ""disk_pull"", ""distance_pull"", ""inclination_pull""]"
CamB,nfw,all_0.10,False,9,9,0,5,34.08892363592177,3.787658181769086,3.0955795657408514,37.18450320166262,4999.999999999986,756.9633289954268,4699.758080487399,789.7183553837355,0.37320401865608493,0.7,0.9399516160974822,3.15823743008754,60.3098870668444,-1.270236927589687,0.0,-0.7760098842786906,-0.93802258663112,True,False,1.270236927589687,True,1.2825835615587506e-05,8,7,7.784881657296239,True,,,2,"[8.517193191416235, 6.629314809721702, -1.270236927589687, -0.7760098842786906, -0.93802258663112]","[""log_L_catalogue"", ""log_excess_A_catalogue"", ""disk_pull"", ""distance_pull"", ""inclination_pull""]"
D512-2,core,all_0.10,False,4,4,0,5,0.18415148327484185,0.04603787081871046,0.00013501370635699182,0.18428649698119884,1.0250516649527652,38.407395163048854,1.0276930056085944,38.37696518188308,0.5004577274023131,0.7,1.0025767878304466,15.239167175022788,56.06741325508642,0.00397395099195175,0.0,0.008589292768155295,0.006741325508642397,False,False,0.008589292768155295,True,1.8647659919868814e-06,8,8,4.543310172522297e-13,True,,,1,"[0.024743016152056756, 3.6482500234231408, 0.00397395099195175, 0.008589292768155295, 0.006741325508642397]","[""log_L_catalogue"", ""log_excess_A_catalogue"", ""disk_pull"", ""distance_pull"", ""inclination_pull""]"
D512-2,nfw,all_0.10,False,4,4,0,5,0.616431739189232,0.154107934797308,0.00515880433763183,0.6215905435268638,8.486327080004955,95.09576942502208,8.612157024183405,94.66562248048383,0.5040227831222008,0.7,1.0148273738440892,15.425376082430155,56.387925416681405,0.03480163777400752,0.0,0.049424579480296854,0.038792541668140564,False,False,0.049424579480296854,True,1.1268458191237435e-06,8,8,5.4722892883773966e-12,True,,,1,"[2.1384562895213204, 4.554884483020531, 0.03480163777400752, 0.049424579480296854, 0.038792541668140564]","[""log_L_catalogue"", ""log_excess_A_catalogue"", ""disk_pull"", ""distance_pull"", ""inclination_pull""]"
D564-8,core,all_0.10,False,6,6,0,5,0.18458490508251374,0.030764150847085624,3.0303137309043826e-05,0.18461520821982277,1.1798475633725258,26.987408771763093,1.179881011302223,26.981574824593842,0.5004809779014712,0.7,1.0000283493654056,8.790249190921914,63.02432388407673,0.004175712866763009,0.0,0.0008899675782680708,0.0034748405823901247,False,False,0.004175712866763009,True,1.2053426776511185e-06,8,8,4.718447854656915e-14,True,,,2,"[0.16538524655005052, 3.2953704154466283, 0.004175712866763009, 0.0008899675782680708, 0.0034748405823901247]","[""log_L_catalogue"", ""log_excess_A_catalogue"", ""disk_pull"", ""distance_pull"", ""inclination_pull""]"
D564-8,nfw,all_0.10,False,6,6,0,5,3.5619675172613956,0.5936612528768993,0.029212414659029705,3.591179931920425,4999.999999999986,1338.425980630498,4996.502250604113,1345.8820598727493,0.48360127314052187,0.7,0.9993004501208254,8.783850956562054,62.38353662572113,-0.1448256881152042,0.0,-0.021960869421233604,-0.08806619632555296,True,False,0.1448256881152042,True,2.0860484692350893e-06,8,8,2.601474591301667e-12,True,,,2,"[8.517193191416235, 7.199249561192591, -0.1448256881152042, -0.021960869421233604, -0.08806619632555296]","[""log_L_catalogue"", ""log_excess_A_catalogue"", ""disk_pull"", ""distance_pull"", ""inclination_pull""]"
D631-7,core,all_0.10,False,16,16,0,5,6.917684985880988,0.43235531161756174,1.3430153975639467,8.260700383444934,3.2025448107316117,69.29456656017251,3.184700723823342,70.89219970534492,0.406815611141483,0.7,0.9944281538704861,7.676985347880152,56.91378693080202,-0.8957239414992348,0.0,-0.23897028955470756,-0.6954043563993264,False,False,0.8957239414992348,True,7.179688555429885e-05,8,8,9.111644772019645e-11,True,,,2,"[1.1639457471129082, 4.23836649850694, -0.8957239414992348, -0.23897028955470756, -0.6954043563993264]","[""log_L_catalogue"", ""log_excess_A_catalogue"", ""disk_pull"", ""distance_pull"", ""inclination_pull""]"
D631-7,nfw,all_0.10,False,16,16,0,5,64.60184257960172,4.037615161225108,7.209053181402573,71.81089576100429,4999.999999964041,2102.75912200418,4936.833213602077,2236.271937763705,0.3191492016660373,0.7,0.9873666427275163,7.622470481856426,53.70612683709699,-1.9497624193230776,0.0,-0.5418306563531913,-1.764624387634338,True,False,1.9497624193230776,True,0.001794393278710205,8,8,7.0721313250032836e-09,True,,,2,"[8.517193191409046, 7.651005628963766, -1.9497624193230776, -0.5418306563531913, -1.764624387634338]","[""log_L_catalogue"", ""log_excess_A_catalogue"", ""disk_pull"", ""distance_pull"", ""inclination_pull""]"
DDO064,core,all_0.10,False,14,14,0,5,3.6143091996754912,0.2581649428339637,0.002782925262353242,3.6170921249378445,1.010863775277454,48.626878980178624,1.0249605884034267,48.58829256068428,0.4977811614826982,0.7,1.0139453143645427,6.89482813767889,60.078904997535474,-0.019315476177295236,0.0,0.046484381215142076,0.01578099950709487,False,False,0.046484381215142076,True,1.148302536131648e-05,8,7,28.159297012564803,True,,,1,"[0.010805188405293837, 3.8841764434579016, -0.019315476177295236, 0.046484381215142076, 0.01578099950709487]","[""log_L_catalogue"", ""log_excess_A_catalogue"", ""disk_pull"", ""distance_pull"", ""inclination_pull""]"
DDO064,nfw,all_0.10,False,14,14,0,5,6.001956331071216,0.42871116650508684,0.2895774026890149,6.291533733760231,4999.999999999933,2531.4367120764728,5756.210427928059,2508.0627233961886,0.4983326100241882,0.7,1.1512420855856274,7.828446181982266,60.93821004223178,-0.014506967552295889,0.0,0.5041402852854246,0.1876420084463555,True,False,0.5041402852854246,True,2.265431733718229e-06,8,8,5.774403177838394e-11,True,,,1,"[8.517193191416224, 7.836542290930152, -0.014506967552295889, 0.5041402852854246, 0.1876420084463555]","[""log_L_catalogue"", ""log_excess_A_catalogue"", ""disk_pull"", ""distance_pull"", ""inclination_pull""]"
DDO154,core,all_0.10,False,12,12,0,5,14.428577265144582,1.2023814387620486,3.350783906417441,17.779361171562023,1.7848520220988282,50.83202284137288,1.8103912240688826,50.46304335125068,0.7539966390874198,0.7,1.0143088623896241,4.0978078040540815,64.87261102808178,1.783994056862209,0.0,0.2890390202704082,0.2908703426939245,False,False,1.783994056862209,True,0.00021106996154519124,8,8,3.107381019162858e-10,True,,,2,"[0.5793355110101722, 3.9285265268773286, 1.783994056862209, 0.2890390202704082, 0.2908703426939245]","[""log_L_catalogue"", ""log_excess_A_catalogue"", ""disk_pull"", ""distance_pull"", ""inclination_pull""]"
