galaxy,model,n_outer,n_valid,fit_failed,failure_reason
CamB,adaptive_primary,2,2,False,
CamB,baryon_only,2,2,False,
CamB,compact_plummer,2,2,False,
CamB,extended,2,2,False,
CamB,nfw,2,2,False,
CamB,profiled_baryons,2,2,False,
CamB,scalar_core,2,2,False,
D631-7,adaptive_primary,4,4,False,
D631-7,baryon_only,4,4,False,
D631-7,compact_plummer,4,4,False,
D631-7,extended,4,4,False,
D631-7,nfw,4,4,False,
D631-7,profiled_baryons,4,4,False,
D631-7,scalar_core,4,4,False,
DDO064,adaptive_primary,3,3,False,
DDO064,baryon_only,3,3,False,
DDO064,compact_plummer,3,3,False,
DDO064,extended,3,3,False,
DDO064,nfw,3,3,False,
DDO064,profiled_baryons,3,3,False,
DDO064,scalar_core,3,3,False,
DDO154,adaptive_primary,3,3,False,
DDO154,baryon_only,3,3,False,
DDO154,compact_plummer,3,3,False,
DDO154,extended,3,3,False,
DDO154,nfw,3,3,False,
DDO154,profiled_baryons,3,3,False,
DDO154,scalar_core,3,3,False,
DDO161,adaptive_primary,7,7,False,
DDO161,baryon_only,7,7,False,
DDO161,compact_plummer,7,7,False,
DDO161,extended,7,7,False,
DDO161,nfw,7,7,False,
DDO161,profiled_baryons,7,7,False,
DDO161,scalar_core,7,7,False,
DDO168,adaptive_primary,2,2,False,
DDO168,baryon_only,2,2,False,
DDO168,compact_plummer,2,2,False,
DDO168,extended,2,2,False,
DDO168,nfw,2,2,False,
DDO168,profiled_baryons,2,2,False,
DDO168,scalar_core,2,2,False,
DDO170,adaptive_primary,2,2,False,
DDO170,baryon_only,2,2,False,
DDO170,compact_plummer,2,2,False,
DDO170,extended,2,2,False,
DDO170,nfw,2,2,False,
DDO170,profiled_baryons,2,2,False,
DDO170,scalar_core,2,2,False,
ESO079-G014,adaptive_primary,3,3,False,
ESO079-G014,baryon_only,3,3,False,
ESO079-G014,compact_plummer,3,3,False,
ESO079-G014,extended,3,3,False,
ESO079-G014,nfw,3,3,False,
ESO079-G014,profiled_baryons,3,3,False,
ESO079-G014,scalar_core,3,3,False,
ESO116-G012,adaptive_primary,3,3,False,
ESO116-G012,baryon_only,3,3,False,
ESO116-G012,compact_plummer,3,3,False,
ESO116-G012,extended,3,3,False,
ESO116-G012,nfw,3,3,False,
ESO116-G012,profiled_baryons,3,3,False,
ESO116-G012,scalar_core,3,3,False,
ESO563-G021,adaptive_primary,6,6,False,
