baseline,fit_mode,galaxy,n_rows,n_train,n_outer,n_parameters,fit_status,fit_success,train_admissible,outer_admissible,invalid_training_rows,invalid_outer_rows,chi2_data,prior_penalty,objective,ml_disk,ml_bulge,distance_ratio,inclination_deg,inclination_factor,parameters_json,parameter_names_json,disk_pull,bulge_pull,distance_pull,inclination_pull,maximum_abs_pull,nuisance_bound_hit,n_bound_parameters,kkt_relative,n_starts,near_best_starts,seconds
fixed,full,CamB,9,9,2,0,fixed_inputs,True,True,True,0,0,45.040389922287986,0.0,45.040389922287986,0.5,0.7,1.0,65.0,1.0,"[1.0, 0.0, 0.0]","[""disk_scale"", ""distance_pull"", ""inclination_pull""]",0.0,0.0,0.0,0.0,0.0,False,0,,0,0,0.0
profiled,full,CamB,9,9,2,3,converged,True,True,True,0,0,44.95602553994054,0.013359260528199343,44.96938480046874,0.5128380017711054,0.7,1.0018790276681384,65.12719727313632,1.0010327431568962,"[1.0256760035422108, 0.024282819095941564, 0.02543945462726325]","[""disk_scale"", ""distance_pull"", ""inclination_pull""]",0.11010194990653223,0.0,0.024282819095941564,0.02543945462726325,0.11010194990653223,False,0,3.5216826468401674e-09,10,10,0.012995243072509766
fixed,full,D512-2,4,4,0,0,fixed_inputs,True,True,True,0,0,94.50018506559519,0.0,94.50018506559519,0.5,0.7,1.0,56.0,1.0,"[1.0, 0.0, 0.0]","[""disk_scale"", ""distance_pull"", ""inclination_pull""]",0.0,0.0,0.0,0.0,0.0,False,0,,0,0,0.0
profiled,full,D512-2,4,4,0,3,converged,True,True,True,0,0,3.289195772359592,14.59704541836211,17.8862411907217,0.9191238259368929,0.7,1.688715881182647,71.28322068517792,1.1424287337431975,"[1.8382476518737858, 2.2957196039421564, 1.5283220685177918]","[""disk_scale"", ""distance_pull"", ""inclination_pull""]",2.644040198884895,0.0,2.2957196039421564,1.5283220685177918,2.644040198884895,False,0,1.2994803824549867e-08,10,10,0.017994165420532227
fixed,full,D564-8,6,6,0,0,fixed_inputs,True,True,True,0,0,236.10085808714896,0.0,236.10085808714896,0.5,0.7,1.0,63.0,1.0,"[1.0, 0.0, 0.0]","[""disk_scale"", ""distance_pull"", ""inclination_pull""]",0.0,0.0,0.0,0.0,0.0,False,0,,0,0,0.0
profiled,full,D564-8,6,6,0,3,converged,True,True,True,0,0,63.72654598447388,44.45564130899195,108.18218729346583,1.990535852767486,0.7,1.052446308938237,79.77793307783256,1.1045119264158156,"[3.981071705534972, 1.6464394841682242, 2.396847582547508]","[""disk_scale"", ""distance_pull"", ""inclination_pull""]",5.999999999999999,0.0,1.6464394841682242,2.396847582547508,5.999999999999999,True,1,6.405635949291592e-10,10,10,0.009993791580200195
fixed,full,D631-7,16,16,4,0,fixed_inputs,True,True,True,0,0,1693.1432428557766,0.0,1693.1432428557766,0.5,0.7,1.0,59.0,1.0,"[1.0, 0.0, 0.0]","[""disk_scale"", ""distance_pull"", ""inclination_pull""]",0.0,0.0,0.0,0.0,0.0,False,0,,0,0,0.0
profiled,full,D631-7,16,16,4,3,converged,True,True,True,0,0,755.7876659509571,98.67443487471739,854.4621008256745,1.9905358527674861,0.7,1.120421163324248,77.0,1.1367326588253206,"[3.9810717055349722, 5.164729893684412, 6.0]","[""disk_scale"", ""distance_pull"", ""inclination_pull""]",5.999999999999999,0.0,5.164729893684412,6.0,6.0,True,2,1.2058897096724683e-10,10,10,0.011995077133178711
fixed,full,DDO064,14,14,3,0,fixed_inputs,True,True,True,0,0,180.84554440949236,0.0,180.84554440949236,0.5,0.7,1.0,60.0,1.0,"[1.0, 0.0, 0.0]","[""disk_scale"", ""distance_pull"", ""inclination_pull""]",0.0,0.0,0.0,0.0,0.0,False,0,,0,0,0.0
profiled,full,DDO064,14,14,3,3,converged,True,True,True,0,0,8.392432417333666,25.33998898237528,33.73242139970895,1.0307283737671573,0.7,2.0658305136127844,68.43694454975375,1.0738872748035562,"[2.0614567475343146, 3.5527683787092803, 1.6873889099507486]","[""disk_scale"", ""distance_pull"", ""inclination_pull""]",3.1417422708099307,0.0,3.5527683787092803,1.6873889099507486,3.5527683787092803,False,0,6.3158790239591214e-09,10,10,0.015006065368652344
