galaxy,model,n_outer,loss,rms,pipeline_failure,invalid_outer_rows
CamB,profiled_baryons,2,22.038693442917573,7.041808023978255,False,0
D631-7,profiled_baryons,4,62.36546264316252,29.84258837164023,False,0
DDO064,profiled_baryons,3,0.4932605528955738,4.204792269916587,False,0
DDO154,profiled_baryons,3,1013.1703656110586,23.529090196740288,False,0
DDO161,profiled_baryons,7,130.3328680109467,11.547048919718625,False,0
DDO168,profiled_baryons,2,21.76227239862757,12.026443603250225,False,0
DDO170,profiled_baryons,2,60.91799042981648,8.063144568284342,False,0
ESO079-G014,profiled_baryons,3,33.542180741530125,12.112136800434373,False,0
ESO116-G012,profiled_baryons,3,50.42279611061084,19.994308104740227,False,0
ESO563-G021,profiled_baryons,6,85.84125675042982,82.99978792664477,False,0
F568-3,profiled_baryons,4,3.3117539189179706,21.00907096032302,False,0
F568-V1,profiled_baryons,3,0.9908231338817911,14.47126974823707,False,0
F571-8,profiled_baryons,3,372.17809673493167,83.74248471554776,False,0
F574-1,profiled_baryons,3,1.2765869096758342,5.286669400018422,False,0
F583-1,profiled_baryons,5,3.1257185866596933,13.673120482988065,False,0
F583-4,profiled_baryons,3,3.38733245952818,9.018306512492888,False,0
IC2574,profiled_baryons,7,33.156943931651846,16.051862413233536,False,0
IC4202,profiled_baryons,7,8.671732959126462,19.090834809170868,False,0
KK98-251,profiled_baryons,3,3.6148822295676717,3.802568726304718,False,0
NGC0024,profiled_baryons,6,99.53579414241445,31.31947405747819,False,0
NGC0055,profiled_baryons,5,10.5694794315582,12.863732909856967,False,0
NGC0100,profiled_baryons,5,15.587598444194189,28.054211847573985,False,0
NGC0247,profiled_baryons,6,3.7929505594810906,16.539065100091932,False,0
NGC0289,profiled_baryons,6,4.715096015638988,20.513210756475413,False,0
NGC0300,profiled_baryons,5,111.15117988569209,29.61764679508807,False,0
NGC0801,profiled_baryons,3,149.05325793140364,46.738836249947404,False,0
NGC0891,profiled_baryons,4,81.48031869815279,35.01684947839233,False,0
NGC1003,profiled_baryons,8,353.11124628546827,40.84035284366936,False,0
NGC1090,profiled_baryons,5,73.05027780005624,19.05968851980272,False,0
NGC2403,profiled_baryons,15,933.2367942009424,48.146941666118536,False,0
NGC2683,profiled_baryons,3,22.772389308412034,50.42169190842904,False,0
NGC2841,profiled_baryons,10,341.74569097549835,92.37355972766083,False,0
NGC2903,profiled_baryons,7,230.69528933407076,51.862009815112536,False,0
NGC2915,profiled_baryons,6,48.95351384144835,42.487112550949675,False,0
