galaxy,point_index,radius_kpc,observed_kms,sigma_kms,is_outer,is_training,training_edge_kpc,extended,valid_extended,fit_failed_extended,scalar_core,valid_scalar_core,fit_failed_scalar_core,compact_plummer,valid_compact_plummer,fit_failed_compact_plummer,nfw,valid_nfw,fit_failed_nfw,baryon_only,valid_baryon_only,fit_failed_baryon_only,adaptive_primary,valid_adaptive_primary,fit_failed_adaptive_primary,profiled_baryons,valid_profiled_baryons,fit_failed_profiled_baryons
CamB,7,1.47,16.8,1.5,True,False,1.22,12.924292214537994,True,False,12.92429221454486,True,False,12.924292214537992,True,False,12.350243903818129,True,False,12.078826289424097,True,False,12.924292214537992,True,False,12.350242900102266,True,False
CamB,8,1.79,20.1,1.5,True,False,1.22,12.286254316343484,True,False,12.286254316354198,True,False,12.286254316343484,True,False,11.190804377974706,True,False,10.93652251180223,True,False,12.286254316343484,True,False,11.19080350171584,True,False
D631-7,12,5.84,58.4,3.27,True,False,5.39,59.724880897240496,True,False,59.7248809255543,True,False,59.724880897240496,True,False,53.52414324816281,True,False,19.592199910467507,True,False,59.724880897240496,True,False,29.71578236780489,True,False
D631-7,13,6.29,58.5,3.95,True,False,5.39,61.88094537517046,True,False,61.880945404971015,True,False,61.88094537517046,True,False,55.10489307029792,True,False,18.91950692138803,True,False,61.880945375170455,True,False,28.612086732682627,True,False
D631-7,14,6.74,57.7,4.07,True,False,5.39,63.78492806835157,True,False,63.784928099455286,True,False,63.78492806835157,True,False,56.6548009211333,True,False,18.27393015736129,True,False,63.78492806835157,True,False,27.59722463958062,True,False
D631-7,15,7.19,57.3,3.94,True,False,5.39,65.43188468822245,True,False,65.43188472045561,True,False,65.43188468822245,True,False,58.17201116371805,True,False,17.641185222083365,True,False,65.43188468822245,True,False,26.63941393529903,True,False
DDO064,11,2.27,46.3,4.62,True,False,2.08,49.285670267140006,True,False,49.58450676404807,True,False,48.99849667493499,True,False,46.56468248180814,True,False,24.20210560124072,True,False,49.58450676850473,True,False,41.98561045040677,True,False
DDO064,12,2.37,46.4,6.73,True,False,2.08,50.03594981053524,True,False,50.35237954825846,True,False,49.73333016227253,True,False,47.43743035351313,True,False,24.49385198137328,True,False,50.35237955279369,True,False,42.284410058591206,True,False
DDO064,13,2.98,46.9,8.65,True,False,2.08,52.57665783481063,True,False,52.93115883533625,True,False,52.18316916519431,True,False,51.95621118790013,True,False,25.351435822403516,True,False,52.93115884014895,True,False,42.7180391742645,True,False
DDO154,9,4.94,48.2,0.5999999999999999,True,False,4.44,46.69127862245092,True,False,46.778793090918015,True,False,46.7375867247997,True,False,49.77661002992806,True,False,18.13764146237133,True,False,46.69364040927642,True,False,24.496177206854806,True,False
