galaxy,point_index,radius_kpc,observed_kms,sigma_kms,is_outer,is_training,training_edge_kpc,model,predicted_kms,valid_prediction,fit_failed,failure_reason,conditioning,inclination_factor,distance_ratio,residual_kms,standardized_residual,squared_standardized_error
CamB,7,1.47,16.8,1.5,True,False,1.22,adaptive_primary,12.924292214537992,True,False,,conditional_inner_validation_retrospective_prediction,0.9705044967338508,0.9547066309317926,-3.8757077854620086,-2.5838051903080057,6.676049261462589
CamB,7,1.47,16.8,1.5,True,False,1.22,baryon_only,12.078826289424097,True,False,,conditional_ablation_of_inner_fitted_core_calibration,0.9705044967338508,0.9547066309317926,-4.721173710575904,-3.147449140383936,9.906436091303577
CamB,7,1.47,16.8,1.5,True,False,1.22,compact_plummer,12.924292214537992,True,False,,inner_only_retrospective_prediction,0.9705044967338508,0.9547066309317926,-3.8757077854620086,-2.5838051903080057,6.676049261462589
CamB,7,1.47,16.8,1.5,True,False,1.22,extended,12.924292214537994,True,False,,inner_only_retrospective_prediction,0.9705044967338508,0.9547066309317926,-3.875707785462007,-2.5838051903080044,6.676049261462583
CamB,7,1.47,16.8,1.5,True,False,1.22,nfw,12.350243903818129,True,False,,inner_only_retrospective_prediction,0.977204588245286,0.9637632320787952,-4.449756096181872,-2.966504064121248,8.800146362447881
CamB,7,1.47,16.8,1.5,True,False,1.22,profiled_baryons,12.350242900102266,True,False,,independently_profiled_baryons_inner_only_matched_priors,0.9772044143426082,0.9637633377673184,-4.4497570998977345,-2.966504733265156,8.800150332484575
CamB,7,1.47,16.8,1.5,True,False,1.22,scalar_core,12.92429221454486,True,False,,inner_only_retrospective_prediction,0.9705044967338508,0.9547066309317926,-3.875707785455141,-2.5838051903034276,6.676049261438932
CamB,8,1.79,20.1,1.5,True,False,1.22,adaptive_primary,12.286254316343484,True,False,,conditional_inner_validation_retrospective_prediction,0.9705044967338508,0.9547066309317926,-7.813745683656517,-5.209163789104345,27.135387381715933
CamB,8,1.79,20.1,1.5,True,False,1.22,baryon_only,10.93652251180223,True,False,,conditional_ablation_of_inner_fitted_core_calibration,0.9705044967338508,0.9547066309317926,-9.163477488197772,-6.108984992131848,37.31969763409216
CamB,8,1.79,20.1,1.5,True,False,1.22,compact_plummer,12.286254316343484,True,False,,inner_only_retrospective_prediction,0.9705044967338508,0.9547066309317926,-7.813745683656517,-5.209163789104345,27.135387381715933
CamB,8,1.79,20.1,1.5,True,False,1.22,extended,12.286254316343484,True,False,,inner_only_retrospective_prediction,0.9705044967338508,0.9547066309317926,-7.813745683656517,-5.209163789104345,27.135387381715933
CamB,8,1.79,20.1,1.5,True,False,1.22,nfw,11.190804377974706,True,False,,inner_only_retrospective_prediction,0.977204588245286,0.9637632320787952,-8.909195622025296,-5.9394637480168635,35.27722961400653
CamB,8,1.79,20.1,1.5,True,False,1.22,profiled_baryons,11.19080350171584,True,False,,independently_profiled_baryons_inner_only_matched_priors,0.9772044143426082,0.9637633377673184,-8.909196498284162,-5.939464332189441,35.27723655335057
CamB,8,1.79,20.1,1.5,True,False,1.22,scalar_core,12.286254316354198,True,False,,inner_only_retrospective_prediction,0.9705044967338508,0.9547066309317926,-7.813745683645804,-5.209163789097203,27.13538738164153
D631-7,12,5.84,58.4,3.27,True,False,5.39,adaptive_primary,59.724880897240496,True,False,,conditional_inner_validation_retrospective_prediction,0.9832903655259772,0.9957587517984324,1.3248808972404973,0.40516235389617655,0.1641565330146906
D631-7,12,5.84,58.4,3.27,True,False,5.39,baryon_only,19.592199910467507,True,False,,conditional_ablation_of_inner_fitted_core_calibration,0.9832903655259772,0.9957587517984324,-38.80780008953249,-11.867828773557337,140.84535979847544
D631-7,12,5.84,58.4,3.27,True,False,5.39,compact_plummer,59.724880897240496,True,False,,inner_only_retrospective_prediction,0.9832903655259772,0.9957587517984324,1.3248808972404973,0.40516235389617655,0.1641565330146906
D631-7,12,5.84,58.4,3.27,True,False,5.39,extended,59.724880897240496,True,False,,inner_only_retrospective_prediction,0.9832903655259772,0.9957587517984324,1.3248808972404973,0.40516235389617655,0.1641565330146906
