comparator,rho,effect,bootstrap_t_ci_low,bootstrap_t_ci_high
scalar_core,0.0,-5.173613541761714,-8.451370430350773,-3.2796817959035125
scalar_core,0.25,-3.3454329970889014,-5.563210340539328,-2.139405947222066
scalar_core,0.5,-3.246268623655365,-5.721700239979762,-2.0168579744918023
scalar_core,0.75,-4.477652133906801,-9.020728579790177,-2.6038567940160884
compact_plummer,0.0,-5.01660066041775,-8.32344803981686,-3.0522866895389784
compact_plummer,0.25,-3.280528412421224,-5.503775941026619,-2.0001587664797222
compact_plummer,0.5,-3.077376455612393,-5.447752878502053,-1.7957017264506263
compact_plummer,0.75,-3.997637526061709,-7.991957366573208,-2.1084092791723417
nfw,0.0,10.533192030098489,1.0690088524240196,27.668558795893254
nfw,0.25,6.563680904414947,0.0004332798781616,17.91676637938159
nfw,0.5,7.136340380652102,-0.5559238237391781,20.763101366928765
nfw,0.75,11.334662958548414,-1.979361448004811,35.82756738114523
baryon_only,0.0,-391.80848862576215,-583.886196291703,-288.32197118669774
baryon_only,0.25,-251.1346810706692,-451.0432794094353,-173.07392606906637
baryon_only,0.5,-251.1878527729756,-555.2288737880214,-155.8804004483609
baryon_only,0.75,-364.990190122115,-1038.7415480576549,-193.79619344762364
