galaxy,point_index,model,abs_z,weight,cumulative_weight
NGC7793,39,scalar_core,0.0004925494821057,0.0007633587786259542,0.0007633587786259542
IC2574,29,scalar_core,0.0093278888600348,0.0010905125408942203,0.0018538713195201746
NGC5585,23,scalar_core,0.012210747960537,0.0015267175572519084,0.0033805888767720832
NGC4013,34,scalar_core,0.0271282281615867,0.0009541984732824427,0.004334787350054526
UGC08699,32,scalar_core,0.032937583470054,0.0008481764206955047,0.00518296377075003
NGC0055,17,scalar_core,0.0396245604801284,0.0015267175572519084,0.0067096813280019384
UGC05764,9,scalar_core,0.0456047785667006,0.003816793893129771,0.010526475221131709
NGC5585,19,scalar_core,0.0508355072158322,0.0015267175572519084,0.012053192778383617
NGC4100,23,scalar_core,0.0589019309391068,0.0015267175572519084,0.013579910335635525
UGC03546,24,scalar_core,0.0627633626213347,0.001272264631043257,0.014852174966678781
NGC0289,22,scalar_core,0.0673515484363599,0.001272264631043257,0.01612443959772204
UGC05750,9,scalar_core,0.0684163108007515,0.002544529262086514,0.018668968859808552
NGC6946,50,scalar_core,0.0729943336318715,0.0006361323155216285,0.01930510117533018
IC2574,28,scalar_core,0.0798669792376182,0.0010905125408942203,0.0203956137162244
NGC0055,18,scalar_core,0.0800518101253842,0.0015267175572519084,0.021922331273476307
UGC05750,8,scalar_core,0.0821791775969008,0.002544529262086514,0.024466860535562823
UGC06614,10,scalar_core,0.0908527600169687,0.002544529262086514,0.02701138979764934
NGC6946,55,scalar_core,0.0934108976048343,0.0006361323155216285,0.027647522113170966
NGC4217,15,scalar_core,0.0945363072849906,0.0019083969465648854,0.02955591905973585
UGC02916,37,scalar_core,0.0971460863350497,0.0008481764206955047,0.030404095480431357
UGC02916,39,scalar_core,0.1015959976096314,0.0008481764206955047,0.03125227190112686
NGC4088,9,scalar_core,0.1261514943611175,0.002544529262086514,0.033796801163213375
DDO154,11,scalar_core,0.131860619051998,0.002544529262086514,0.03634133042529989
UGC03580,37,scalar_core,0.1336226686791857,0.0007633587786259542,0.037104689203925845
NGC2976,25,scalar_core,0.1348004198718392,0.001272264631043257,0.0383769538349691
NGC6946,57,scalar_core,0.1384738817732078,0.0006361323155216285,0.039013086150490726
F568-3,14,scalar_core,0.1384986633913724,0.0019083969465648854,0.040921483097055615
NGC0289,23,scalar_core,0.1444237711155682,0.001272264631043257,0.04219374772809887
NGC4100,19,scalar_core,0.1452961165434087,0.0015267175572519084,0.04372046528535078
UGC06786,37,scalar_core,0.1523608454556488,0.0008481764206955047,0.04456864170604628
NGC6946,49,scalar_core,0.1587024818198386,0.0006361323155216285,0.04520477402156791
F583-1,20,scalar_core,0.1666278128076864,0.0015267175572519084,0.04673149157881982
NGC1090,20,scalar_core,0.1687391337877507,0.0015267175572519084,0.04825820913607173
NGC0055,16,scalar_core,0.1735234378595212,0.0015267175572519084,0.049784926693323635
UGC02916,36,scalar_core,0.1792287797832654,0.0008481764206955047,0.05063310311401914
NGC5005,14,scalar_core,0.1921485700393205,0.0019083969465648854,0.05254150006058403
UGC02916,40,scalar_core,0.2002228506289809,0.0008481764206955047,0.053389676481279534
UGC07323,9,scalar_core,0.2011843615309096,0.003816793893129771,0.057206470374409304
UGC09037,19,scalar_core,0.2015551712436483,0.0015267175572519084,0.05873318793166121
UGC03580,38,scalar_core,0.207097855892513,0.0007633587786259542,0.05949654671028717
NGC6946,46,scalar_core,0.2130012482130809,0.0006361323155216285,0.060132679025808794
NGC6946,47,scalar_core,0.2238796336454925,0.0006361323155216285,0.06076881134133042
NGC6946,48,scalar_core,0.2325004617887543,0.0006361323155216285,0.06140494365685205
NGC6946,54,scalar_core,0.2385050415280769,0.0006361323155216285,0.062041075972373676
UGC02916,41,scalar_core,0.2392878669714672,0.0008481764206955047,0.06288925239306918
NGC4157,15,scalar_core,0.2447214899295121,0.0019083969465648854,0.06479764933963407
F571-8,10,scalar_core,0.2477676995081026,0.002544529262086514,0.06734217860172058
NGC6946,56,scalar_core,0.2527817513153865,0.0006361323155216285,0.06797831091724221
NGC1090,19,scalar_core,0.2539518358106034,0.0015267175572519084,0.06950502847449412
UGC03205,38,scalar_core,0.2584541148716848,0.0007633587786259542,0.07026838725312008
IC2574,33,scalar_core,0.2630909362060155,0.0010905125408942203,0.0713588997940143
NGC6946,52,scalar_core,0.2677191969257795,0.0006361323155216285,0.07199503210953594
UGC05986,14,scalar_core,0.2749688044291145,0.002544529262086514,0.07453956137162245
NGC5585,20,scalar_core,0.2804154683351154,0.0015267175572519084,0.07606627892887435
UGC04278,20,scalar_core,0.2815907285464459,0.0015267175572519084,0.07759299648612626
NGC3521,40,scalar_core,0.2888217851168004,0.0008481764206955047,0.07844117290682176
UGC11914,56,scalar_core,0.2913374006869397,0.0005871990604815032,0.07902837196730327
UGC09037,20,scalar_core,0.2955067061485698,0.0015267175572519084,0.08055508952455517
NGC6946,51,scalar_core,0.2963644236681194,0.0006361323155216285,0.08119122184007681
NGC4157,13,scalar_core,0.3121580945638492,0.0019083969465648854,0.0830996187866417
NGC0055,20,scalar_core,0.3138085066542725,0.0015267175572519084,0.0846263363438936
F583-1,21,scalar_core,0.3262448829837475,0.0015267175572519084,0.08615305390114551
UGC02916,38,scalar_core,0.3290310382458956,0.0008481764206955047,0.08700123032184101
UGC07323,8,scalar_core,0.330968152428186,0.003816793893129771,0.09081802421497079
UGC07089,9,scalar_core,0.3342317608988729,0.002544529262086514,0.0933625534770573
UGC11914,58,scalar_core,0.3373378696597084,0.0005871990604815032,0.0939497525375388
NGC7793,38,scalar_core,0.3383563632619021,0.0007633587786259542,0.09471311131616476
NGC4100,22,scalar_core,0.343053795950165,0.0015267175572519084,0.09623982887341667
NGC5005,15,scalar_core,0.3458339207730008,0.0019083969465648854,0.09814822581998156
NGC4157,14,scalar_core,0.3500485033008634,0.0019083969465648854,0.10005662276654645
NGC6946,53,scalar_core,0.3521824811919803,0.0006361323155216285,0.10069275508206808
UGC05986,13,scalar_core,0.3525153485872309,0.002544529262086514,0.10323728434415459
NGC4013,35,scalar_core,0.3555126218788871,0.0009541984732824427,0.10419148281743704
NGC6674,13,scalar_core,0.361610612038497,0.002544529262086514,0.10673601207952355
UGC05005,8,scalar_core,0.3628388908317291,0.002544529262086514,0.10928054134161005
UGC08837,6,scalar_core,0.3629266975193374,0.003816793893129771,0.11309733523473983
UGC04278,21,scalar_core,0.3736477827023438,0.0015267175572519084,0.11462405279199174
NGC2976,22,scalar_core,0.3744190785382948,0.001272264631043257,0.115896317423035
NGC4217,16,scalar_core,0.3746656037092729,0.0019083969465648854,0.11780471436959988
NGC5585,22,scalar_core,0.3768433608989701,0.0015267175572519084,0.11933143192685179
UGC02953,92,scalar_core,0.3843248872252887,0.00033189512114171923,0.11966332704799351
F568-V1,12,scalar_core,0.388435003691206,0.002544529262086514,0.12220785631008002
UGC09037,21,scalar_core,0.3902651932927856,0.0015267175572519084,0.12373457386733193
IC2574,27,scalar_core,0.3928763043894617,0.0010905125408942203,0.12482508640822615
UGC02953,93,scalar_core,0.3986580952983191,0.00033189512114171923,0.12515698152936786
NGC3992,8,scalar_core,0.3994018227301741,0.003816793893129771,0.12897377542249763
NGC3521,32,scalar_core,0.4032985269218018,0.0008481764206955047,0.12982195184319315
D631-7,12,scalar_core,0.4051623625548329,0.0019083969465648854,0.13173034878975803
UGC11914,54,scalar_core,0.4086328217905217,0.0005871990604815032,0.13231754785023953
NGC4559,25,scalar_core,0.4111506965071357,0.0010905125408942203,0.13340806039113376
NGC4157,16,scalar_core,0.4248741093512783,0.0019083969465648854,0.13531645733769865
NGC0289,26,scalar_core,0.4251865088193763,0.001272264631043257,0.13658872196874192
NGC2976,23,scalar_core,0.425374594198505,0.001272264631043257,0.13786098659978518
UGC09037,18,scalar_core,0.4326743340409094,0.0015267175572519084,0.1393877041570371
UGC12506,24,scalar_core,0.4413514017615499,0.0010905125408942203,0.14047821669793134
NGC2976,21,scalar_core,0.4501413438792875,0.001272264631043257,0.1417504813289746
ESO116-G012,12,scalar_core,0.4782392554975396,0.002544529262086514,0.14429501059106112
UGC07524,24,scalar_core,0.4789502039121796,0.0010905125408942203,0.14538552313195535
NGC3992,7,scalar_core,0.492313742778759,0.003816793893129771,0.14920231702508513
NGC6674,14,scalar_core,0.5119576018296982,0.002544529262086514,0.15174684628717164
NGC0100,17,scalar_core,0.514817648232436,0.0015267175572519084,0.15327356384442356
NGC0024,23,scalar_core,0.5154642799065292,0.001272264631043257,0.15454582847546683
NGC3521,35,scalar_core,0.5216425985755007,0.0008481764206955047,0.15539400489616234
NGC3521,33,scalar_core,0.528526131047139,0.0008481764206955047,0.15624218131685785
NGC5585,21,scalar_core,0.531611759236398,0.0015267175572519084,0.15776889887410978
UGC05005,9,scalar_core,0.5355242158666513,0.002544529262086514,0.16031342813619628
UGC06399,7,scalar_core,0.5465993210651964,0.003816793893129771,0.16413022202932606
IC2574,31,scalar_core,0.5494559350570578,0.0010905125408942203,0.1652207345702203
DDO161,25,scalar_core,0.572681898473837,0.0010905125408942203,0.16631124711111453
UGC09133,54,scalar_core,0.5729252024222973,0.0005452562704471102,0.16685650338156163
UGC02916,34,scalar_core,0.5779413377419799,0.0008481764206955047,0.16770467980225714
UGC09037,17,scalar_core,0.5794853700034306,0.0015267175572519084,0.16923139735950907
UGC06614,11,scalar_core,0.5838766883474449,0.002544529262086514,0.17177592662159558
UGC05986,12,scalar_core,0.5863439577895663,0.002544529262086514,0.17432045588368208
DDO064,12,scalar_core,0.5872777932033377,0.002544529262086514,0.1768649851457686
NGC4559,28,scalar_core,0.6001524907154783,0.0010905125408942203,0.17795549768666283
NGC7793,36,scalar_core,0.6030461626462706,0.0007633587786259542,0.1787188564652888
DDO161,24,scalar_core,0.6040564202771606,0.0010905125408942203,0.17980936900618302
NGC4559,27,scalar_core,0.6055758280829081,0.0010905125408942203,0.18089988154707726
NGC1090,21,scalar_core,0.6097141674277484,0.0015267175572519084,0.18242659910432918
NGC0100,16,scalar_core,0.6101241807693971,0.0015267175572519084,0.1839533166615811
UGC07125,10,scalar_core,0.6302530935371431,0.002544529262086514,0.1864978459236676
IC2574,32,scalar_core,0.6348260281408342,0.0010905125408942203,0.18758835846456184
UGC05764,8,scalar_core,0.6506499162936455,0.003816793893129771,0.19140515235769162
UGC11914,52,scalar_core,0.6519969777349892,0.0005871990604815032,0.1919923514181731
NGC5005,16,scalar_core,0.6543879608810296,0.0019083969465648854,0.193900748364738
NGC0024,24,scalar_core,0.6618873979762961,0.001272264631043257,0.19517301299578127
NGC3893,9,scalar_core,0.6720403015157532,0.003816793893129771,0.19898980688891105
UGC06983,13,scalar_core,0.6761145469885628,0.0019083969465648854,0.20089820383547594
NGC0247,20,scalar_core,0.6763511264780228,0.001272264631043257,0.2021704684665192
