,squared_standardized__scalar_core,squared_standardized__compact_plummer,squared_standardized__nfw,squared_standardized__baryon_only,absolute_standardized__scalar_core,absolute_standardized__compact_plummer,absolute_standardized__nfw,absolute_standardized__baryon_only,absolute_kms__scalar_core,absolute_kms__compact_plummer,absolute_kms__nfw,absolute_kms__baryon_only,correlated_quadratic__scalar_core__rho0.25,correlated_quadratic__compact_plummer__rho0.25,correlated_quadratic__nfw__rho0.25,correlated_quadratic__baryon_only__rho0.25,correlated_quadratic__scalar_core__rho0.5,correlated_quadratic__compact_plummer__rho0.5,correlated_quadratic__nfw__rho0.5,correlated_quadratic__baryon_only__rho0.5,correlated_quadratic__scalar_core__rho0.75,correlated_quadratic__compact_plummer__rho0.75,correlated_quadratic__nfw__rho0.75,correlated_quadratic__baryon_only__rho0.75
CamB,4.902744876744691e-11,-3.552713678800501e-15,-5.132969666637948,-6.707348541108608,5.859313034761726e-12,-6.661338147750939e-16,-0.5564994163628811,-0.7317325765517175,8.78896955214259e-12,-9.992007221626409e-16,-0.8347491245443217,-1.0975988648275763,4.1019632135430584e-11,-1.7763568394002505e-15,-4.365839934616336,-5.6163037434088,3.717559593496844e-11,0.0,-4.070640281023577,-5.097627970377188,3.955946681344358e-11,5.329070518200751e-15,-4.6011096750458265,-5.442645019702933
D631-7,-1.9138169937704674e-08,0.0,1.0786919379146143,-107.25437115664607,-8.006574084284956e-09,0.0,0.49783990075801865,-9.205198627027864,-3.036280925780566e-08,0.0,2.18361627621524,-34.6376346899287,-1.0815671025454776e-08,0.0,0.6030227657475514,-61.542472889912396,-7.4023729368377644e-09,0.0,0.40339425773816673,-43.43569614349918,-5.3050643877838866e-09,0.0,0.26709940221754525,-34.23353192706205
DDO064,-0.0654238581898327,0.06022606550753806,0.2571579119511851,-12.846236644627561,-0.05089459690137891,0.0508715260673257,0.3489320686319169,-2.8954957405112016,-0.3232557450523003,0.327760636694684,1.9799846297548267,-17.75144289416553,-0.04382184369917386,0.04036246344637767,0.13826780935242602,-9.167615056666602,-0.03317529013330864,0.030589477246811686,0.0539446590917734,-7.780897232872293,-0.02728160976807456,0.025233892986317646,-0.07625914774069187,-8.397164043191458
DDO154,0.38924286272852804,0.20097304534991345,-18.492281584623857,-1608.2429336899422,0.10933863202998632,0.05315138028598495,-2.9603129264532595,-36.839273894357184,0.08359314420852353,0.03937263843301036,-3.108118799820147,-28.589495589001796,0.3060126410388704,0.1624409328852816,-12.831973712069413,-1165.1256219765507,0.29928557960893176,0.16451905364197117,-10.379659267532313,-1013.289715757297,0.4068911008786156,0.23406729246080094,-10.117356974378456,-1145.300970865559
DDO161,0.24184788413668734,-0.29826039917403335,-19.847374758391002,-943.1630616154841,0.0555648274531111,-0.06525212058369036,-2.228293855817185,-26.49265915332365,0.06422921394986617,-0.07435987042475632,-2.0744315746315354,-30.838309159131907,0.1338851404125534,-0.16886661338625997,-14.150836235599227,-511.1944510739204,0.13011069620519455,-0.1674947005122216,-16.60913056255305,-486.9080649558587,0.1959331974889018,-0.25698465596338016,-29.020875860700837,-719.3764829526067
DDO168,9.647589038763726e-08,9.773857101436079e-08,10.377505612936012,-119.41827691335575,1.384974290807861e-08,1.4031008799264555e-08,2.1827481887492217,-7.980690324555367,3.599856006619717e-08,3.646971049597881e-08,5.670317458532551,-20.55555582005241,7.706954185948689e-08,7.807823365624245e-08,8.250934459700046,-95.54212808817503,6.40393356121649e-08,6.487748827055384e-08,6.7906619986687655,-79.63095100262991,5.4414416084114237e-08,5.512660017359394e-08,5.601695867507094,-68.28727182007033
DDO170,-29.79165621193741,-31.77638628824656,23.062331628514567,-823.383223930854,-2.306073996139672,-2.445824355265365,3.283837916759881,-24.234432841567166,-2.5307995794168043,-2.6889696071934246,3.4900534483740167,-27.38429305582443,-26.20886228657934,-27.853951046210987,20.80622769251307,-672.4084098238147,-25.799947433865142,-27.266362564532052,21.26579372659658,-583.1767259850649,-32.29511487343904,-33.79763369365778,28.32651915008885,-558.5878966120479
ESO079-G014,3.2502778957166356e-07,3.918968261018563e-09,-32.51082191866447,-1670.0900089798358,4.592602764752485e-08,5.537432734570302e-10,-2.8549334200208425,-37.46477778398876,9.847457272874985e-08,1.1873358607417117e-09,-6.068834289450109,-80.33099445828566,2.1880703648946564e-07,2.638236296093055e-09,-24.575940223011784,-1116.0140116027476,1.6728804652643703e-07,2.0170674019936996e-09,-22.785043583112042,-840.9415171263461,1.4146908000611802e-07,1.7057857348845573e-09,-28.675447064537316,-682.1876339193618
ESO116-G012,-0.00853138283131294,-0.17388552160364834,-8.962217989917615,-413.7592890932419,0.0024130458994239823,-0.07683920342992667,-2.038758271583254,-18.523291935322455,-0.008096055470067122,-0.22269295636280154,-5.14518929645223,-49.71362728829525,-0.01489888350397428,-0.11558134178520785,-6.198176532981677,-295.8586231575288,-0.02499110505262947,-0.08617249741306976,-4.983679209291156,-251.92261301119788,-0.0531535458612602,-0.0677055765084491,-4.791055710364682,-273.6068399522814
ESO563-G021,-21.1693911453451,-21.169388986163764,20.925936121748034,-576.4940710731615,-1.807734600661376,-1.8077344387633538,3.3840998069460135,-19.39663418609388,-16.74511609576146,-16.74511457240705,31.047306673219367,-182.2771120799647,-10.714349197464692,-10.71434814701053,10.737008178484276,-277.50559571255195,-8.566592797770419,-8.566592005712447,8.74940941750651,-205.76417968954362,-10.023250965452467,-10.02325012371646,10.529879292699427,-212.11278833555477
F568-3,-2.950962381120803e-07,0.0,3.009533108789349,-36.5692433502784,-1.1087145461441406e-07,0.0,1.285084025014377,-4.829160613019902,-1.2251537583524152e-06,0.0,15.079720597246123,-53.29688049801671,-1.464750827295802e-07,0.0,2.3961153211358246,-20.232924962774362,-7.152068359772557e-08,0.0,2.6242156873537517,-13.233747741603436,1.6549952519540057e-08,0.0,4.2038619807921345,-8.035268111221217
