galaxy,model,holdout,n,n_train,n_test,chi2_data,chi2_data_per_row,prior_penalty,objective,eta,physical_length_kpc,physical_amplitude_kms,length_catalogue_kpc,amplitude_catalogue_kms,ml_disk,ml_bulge,distance_ratio,inclination_deg,maximum_abs_pull,nuisance_bound_hit,train_admissible,holdout_admissible,holdout_chi2,holdout_chi2_per_row,minimum_training_v2,minimum_test_v2,nuisance_parameters_json,n_parameters,success,optimality,eta_bound_hit,eta_boundary,scale_bound_hit,parameters_json,guard_epsilon,gradient_ratio,contact_ratio,potential_depth_ratio,guard_active,original_admissible,original_objective,objective_increase,original_gradient_ratio,original_contact_ratio,original_potential_depth_ratio,selected_candidate,constrained_starts,trial_records_json
CamB,guarded_free_family,False,9,9,0,11.927568013651603,1.325285334850178,6.1569777787096145,18.08454579236122,100000.00000000004,1.2690143367253266,21.19852800030139,1.3871084914214555,19.807940379668715,0.3374998134551396,0.7,0.9148630727686552,57.87128868196952,1.7069646721468141,False,True,True,,,8.294592916376157,,"{""disk_pull"": -1.7069646721468141, ""distance_pull"": -1.1002310596050715, ""inclination_pull"": -1.4257422636060961}",6,True,,True,upper,False,"[0.327221358476578, 2.986082886585939, 11.51293546492023, -1.7069646721468141, -1.1002310596050715, -1.4257422636060961]",0.001,5.000000000124097e-09,0.0005000000000124099,0.0010000000000008197,True,False,18.084527657003072,1.8135358146764702e-05,0.0012743581502421054,127.43581450476162,254.87162900340624,constrained optimum,6,"[{""objective"": 18.084545792362675, ""feasible"": true, ""success"": true, ""iterations"": 22, ""message"": ""Optimization terminated successfully""}, {""objective"": 18.08454589534452, ""feasible"": true, ""success"": true, ""iterations"": 31, ""message"": ""Optimization terminated successfully""}, {""objective"": 18.08454587598644, ""feasible"": true, ""success"": true, ""iterations"": 27, ""message"": ""Optimization terminated successfully""}, {""objective"": 18.084547188939172, ""feasible"": true, ""success"": true, ""iterations"": 1, ""message"": ""Optimization terminated successfully""}, {""objective"": 18.084547439735985, ""feasible"": true, ""success"": true, ""iterations"": 1, ""message"": ""Optimization terminated successfully""}, {""objective"": 18.08454579236122, ""feasible"": true, ""success"": true, ""iterations"": 32, ""message"": ""Optimization terminated successfully""}]"
D512-2,guarded_free_family,False,4,4,0,0.14572669516988204,0.03643167379247051,3.659619174352862e-05,0.14576329136162558,2.525090479688725e-18,1.1188792762265778,42.45232523760363,1.1173321350707386,42.47042075509802,0.5001696286261937,0.7,1.0013846743571384,56.03622499526319,0.004615581190461418,False,True,True,,,496.05384411379504,,"{""disk_pull"": 0.0014731256564208645, ""distance_pull"": 0.004615581190461418, ""inclination_pull"": 0.003622499526319083}",6,True,,True,lower,False,"[0.11094382152042857, 3.7488078513893144, 2.525090479688725e-18, 0.0014731256564208645, 0.004615581190461418, 0.003622499526319083]",0.001,2.0052178398707355e-08,5.0633564771595846e-26,2.6905264440525663e-08,False,True,0.14576329136162558,0.0,2.0052178398707355e-08,5.0633564771595846e-26,2.6905264440525663e-08,admissible original,0,[]
D564-8,guarded_free_family,False,6,6,0,0.1660161133117381,0.027669352218623017,1.1624142496855199e-07,0.16601622955316306,1.4559439919656038e-14,1.3026822216258753,30.015115219154904,1.3026833029715676,30.014924771170268,0.4999626644923955,0.7,0.9999991699089948,62.99928651013073,0.00032430420684648604,False,True,True,,,76.50727454287576,,"{""disk_pull"": -0.00032430420684648604, ""distance_pull"": -2.605892834071037e-05, ""inclination_pull"": -0.00010192712418172754}",6,True,,True,lower,False,"[0.2644262163916521, 3.401694750326195, 1.4559439919655933e-14, -0.00032430420684648604, -2.605892834071037e-05, -0.00010192712418172754]",0.001,1.0023943816216462e-08,1.4594300775021123e-22,1.3449753625255201e-08,False,True,0.16601622955316306,0.0,1.0023943816216462e-08,1.4594300775021123e-22,1.3449753625255201e-08,admissible original,0,[]
D631-7,guarded_free_family,False,16,16,0,5.6997930323295645,0.3562370645205978,1.2061914108385132,6.9059844431680775,5.155563313503491,1.135437753287166,24.707869569025526,1.1415092407245375,24.179017188891756,0.4114459574957534,0.7,0.9946811753941494,57.01575649922107,0.8465720464849499,False,True,True,,,136.51968974321508,,"{""disk_pull"": -0.8465720464849499, ""distance_pull"": -0.22811847753981604, ""inclination_pull"": -0.6614145002596431}",6,True,,False,none,False,"[0.132351282202023, 3.1854851987399027, 1.817356276732676, -0.8465720464849499, -0.22811847753981604, -0.6614145002596431]",0.001,6.79249291779318e-09,3.50191272942068e-08,7.049951693026358e-08,False,True,6.9059844431680775,0.0,6.79249291779318e-09,3.50191272942068e-08,7.049951693026358e-08,admissible original,0,[]
DDO064,guarded_free_family,False,14,14,0,3.3345025835443023,0.23817875596745017,0.0013035277003227042,3.335806111244625,3.949941821062221,0.43541825158887715,20.049839578968648,0.43144435592167407,20.060322859904357,0.4981719858703006,0.7,1.0092106794599591,60.051929083345485,0.03070226486653073,False,True,True,,,7.839741141007674,,"{""disk_pull"": -0.015907025004821607, ""distance_pull"": 0.03070226486653073, ""inclination_pull"": 0.010385816669096234}",6,True,,False,none,False,"[-0.8406167317643907, 2.9987438771153556, 1.5993758231907647, -0.015907025004821607, 0.03070226486653073, 0.010385816669096234]",0.001,4.472809466393008e-09,1.766733716894874e-08,3.576033292636727e-08,False,True,3.335806111244625,0.0,4.472809466393008e-09,1.766733716894874e-08,3.576033292636727e-08,admissible original,0,[]
DDO154,guarded_free_family,False,12,12,0,11.987260878403191,0.9989384065335992,2.536146706805925,14.523407585209116,2.0644583247346153e-18,1.9708815175988648,56.09242337210327,1.9478615350502455,56.433543731623224,0.7154247447755251,0.7,1.0118180795371707,64.72379726342331,1.5559395291055864,False,True,True,,,191.44394423146673,,"{""disk_pull"": 1.5559395291055864, ""distance_pull"": 0.2387252066508509, ""inclination_pull"": 0.24126575447443777}",6,True,,True,lower,False,"[0.6667321221243108, 4.033063728726698, 2.0644583247346153e-18, 1.5559395291055864, 0.2387252066508509, 0.24126575447443777]",0.001,3.5007975855865695e-08,7.227250718775035e-26,4.6972395178287606e-08,False,True,14.523407585209116,0.0,3.5007975855865695e-08,7.227250718775035e-26,4.6972395178287606e-08,admissible original,0,[]
DDO161,guarded_free_family,False,31,31,0,6.1728427487958255,0.19912395963857502,0.45140569186651414,6.62424844066234,2.4127178665326766e-16,5.9248665840494965,74.60564497486448,5.425994436696989,75.20992121303931,0.5718628534758653,0.7,1.0919411461203397,71.31671306573782,0.5832188263834538,False,True,True,,,175.18596011689743,,"{""disk_pull"": 0.5832188263834538, ""distance_pull"": 0.30647048706779917, ""inclination_pull"": 0.13167130657378176}",6,True,,True,lower,False,"[1.6912011889315681, 4.320283153278121, 2.412717866532676e-16, 0.5832188263834538, 0.30647048706779917, 0.13167130657378176]",0.001,6.193012728937402e-08,1.494199245877156e-23,8.30955329852559e-08,False,True,6.62424844066234,0.0,6.193012728937402e-08,1.494199245877156e-23,8.30955329852559e-08,admissible original,0,[]
DDO168,guarded_free_family,False,10,10,0,14.617635733687601,1.4617635733687602,2.6214033154059364,17.239039049093538,7.2421311512433775,0.49529697700914505,20.12009884597361,0.5076707891150056,18.305568755932985,0.45025002810142145,0.7,0.975626306710632,54.15959902545915,1.4734001624234745,False,True,True,,,184.64381304949677,,"{""disk_pull"": -0.4551625573885788, ""distance_pull"": -0.49327712609435254, ""inclination_pull"": -1.4734001624234745}",6,True,,False,none,False,"[-0.6779220944039336, 2.90720531715932, 2.109258945340784, -0.4551625573885788, -0.49327712609435254, -1.4734001624234745]",0.001,4.504211904967411e-09,3.2620093348765767e-08,6.543840367583312e-08,False,True,17.239039049093538,0.0,4.504211904967411e-09,3.2620093348765767e-08,6.543840367583312e-08,admissible original,0,[]
DDO170,guarded_free_family,False,8,8,0,35.146464930102425,4.393308116262803,0.77561717068167,35.922082100784095,1.0528314041122162e-28,3.5196210761411524,70.2941980356512,3.6738755918829495,70.10397259709977,0.6106318136351705,0.7,0.9580131357516278,65.65409509770858,0.8680942275777602,False,True,True,,,661.4299393856973,,"{""disk_pull"": 0.8680942275777602, ""distance_pull"": -0.13995621416124074, ""inclination_pull"": -0.04941498604163247}",6,True,,True,lower,False,"[1.301247124456669, 4.24997946286422, 1.0528314041122162e-28, 0.8680942275777602, -0.13995621416124074, -0.04941498604163247]",0.001,5.497909101809251e-08,5.788371359339167e-36,7.37688919941419e-08,False,True,35.922082100784095,0.0,5.497909101809251e-08,5.788371359339167e-36,7.37688919941419e-08,admissible original,0,[]
ESO079-G014,guarded_free_family,False,15,15,0,11.560579373372038,0.7707052915581358,0.31252037193565235,11.873099745307691,2.3425198024889915e-15,5.141284870003735,197.53766929832784,5.784581027405268,197.3507324950806,0.4630244955116667,0.7,0.888791227168601,78.72446446901789,0.4451452971075522,False,True,True,,,413.7211878163687,,"{""disk_pull"": -0.33366037110411795, ""distance_pull"": -0.4451452971075522, ""inclination_pull"": -0.05510710619642248}",6,True,,True,lower,False,"[1.7551959340652956, 5.284982513756797, 2.3425198024889888e-15, -0.33366037110411795, -0.4451452971075522, -0.05510710619642248]",0.001,4.341686336278914e-07,1.0170486218929234e-21,5.825512653674162e-07,False,True,11.873099745307691,0.0,4.341686336278914e-07,1.0170486218929234e-21,5.825512653674162e-07,admissible original,0,[]
