r_over_L,u,u_prime,initial_vc_over_vs,gravity_acceleration_L_over_vs2,internal_stress_acceleration_L_over_vs2,initial_delta_vc2_over_t2,delta_vc2_t015,delta_vc2_t030,delta_vc2_over_t2_t015,delta_vc2_over_t2_t030,required_confinement_mass_over_core_mass,required_confinement_density
2.500000000000000139e-02,9.998964602174360561e-01,-8.282715120347039148e-03,1.443286003976669736e-02,-8.332297957099773361e-03,5.338046347194465172e-04,-6.671176255130886621e-06,-1.466319775146569888e-07,-5.508864311576923377e-07,-6.516976778429199925e-06,-6.120960346196581388e-06,1.257222516155169817e-07,6.404731398339823245e-02
3.498122653316645958e-02,9.997972906324745779e-01,-1.158832829390542968e-02,2.019396410422761787e-02,-1.165757255127098345e-02,7.467708046303801273e-04,-1.305618451084259742e-05,-2.871488914401228996e-07,-1.078789193632546654e-06,-1.276217295289435213e-05,-1.198654659591718598e-05,3.443556311837560437e-07,6.402518647465718638e-02
4.496245306633291777e-02,9.996651329194354840e-01,-1.489269062171041588e-02,2.595386850336657558e-02,-1.498146218348628440e-02,9.595824519603462664e-04,-2.155814499804669382e-05,-4.742203197082800167e-07,-1.781626511371087195e-06,-2.107645865370133520e-05,-1.979585012634541431e-05,7.310247571559819526e-07,6.399570472105128860e-02
5.494367959949937597e-02,9.995000013428256835e-01,-1.819544556500859653e-02,3.171223123888709111e-02,-1.830357226671453993e-02,1.172195578695097275e-03,-3.217017491976808787e-05,-7.076961036293397253e-07,-2.658859585303545590e-06,-3.145316016130399043e-05,-2.954288428115050730e-05,1.333476460690088300e-06,6.395887731868971082e-02
6.492490613266582722e-02,9.993019137245704453e-01,-2.149623685935358672e-02,3.746871053965158266e-02,-2.162350865221886881e-02,1.384566255727059155e-03,-4.488368604345005963e-05,-9.874082704010855555e-07,-3.709885640776181443e-06,-4.388481201782602845e-05,-4.122095156417979607e-05,2.199308722023537710e-06,6.391471500343301471e-02
7.490613266583229235e-02,9.990708914408724661e-01,-2.479470857541982848e-02,4.322296491199537072e-02,-2.494087772650096721e-02,1.596650638087087747e-03,-5.968839349578702907e-05,-1.313136397213041251e-06,-4.933913540121317019e-06,-5.836161765391294562e-05,-5.482126155690352545e-05,3.375937848398361516e-06,6.386323064637539071e-02
8.488735919899875748e-02,9.988069594186913536e-01,-2.809050517979606518e-02,4.897465319001080564e-02,-2.825528650807794181e-02,1.808404980139525532e-03,-7.657232629024898177e-05,-1.684622883248599123e-06,-6.330018619220037401e-06,-7.487212814438218777e-05,-7.033354021355596886e-05,4.910565784421399332e-06,6.380443924847568893e-02
9.486858573216519486e-02,9.985101461313331539e-01,-3.138327159569682251e-02,5.472343458571641422e-02,-3.156634274396952211e-02,2.019785650729463006e-03,-9.552183957371623607e-05,-2.101572373793156540e-06,-7.897140529671504969e-06,-9.340321661302917653e-05,-8.774600588523894787e-05,6.850147578665354830e-06,6.373835793424209584e-02
1.048498122653316600e-01,9.981804835937718723e-01,-3.467265326365984168e-02,6.046896873920469540e-02,-3.487365500597969237e-02,2.230749148281134086e-03,-1.165216285769390931e-04,-2.563651487928698786e-06,-9.634082220677446886e-06,-1.139400661301643973e-04,-1.070453580075271906e-04,9.241359030213963888e-06,6.366500594459145734e-02
1.148310387984981251e-01,9.978180073569772324e-01,-3.795829620212065603e-02,6.621091576861851125e-02,-3.817683278657610368e-02,2.441252115832787031e-03,-1.395547442506525745e-04,-3.070496279015537788e-06,-1.153953668223683304e-05,-1.364665012895794716e-04,-1.282170742470759310e-04,1.213056453867939524e-05,6.358440462874859200e-02
1.248122653316645903e-01,9.974227565020726827e-01,-4.123984706798525940e-02,7.194893632012298867e-02,-4.147548659453590553e-02,2.651251356011073788e-03,-1.646026105680966722e-04,-3.621703244880145477e-06,-1.361205444659977197e-05,-1.609645886613397922e-04,-1.512450494066641367e-04,1.556378518111565165e-05,6.349657743534498078e-02
