tau,z,D_to_reference,ergotropy_over_kBT,ergotropy_sorted_over_kBT,spectral_mismatch
-2.5000000000000000e+00,2.0108596134468117e-02,1.5255853513826406e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.5255853513826406e-01
-2.4900000000000002e+00,2.0306587030798334e-02,1.5206454943516040e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.5206454943516040e-01
-2.4800000000000000e+00,2.0506486565411354e-02,1.5156780068948694e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.5156780068948694e-01
-2.4700000000000002e+00,2.0708312330727452e-02,1.5106828353289076e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.5106828353289076e-01
-2.4600000000000000e+00,2.0912082065360639e-02,1.5056599276442387e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.5056599276442387e-01
-2.4500000000000002e+00,2.1117813655013504e-02,1.5006092335419682e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.5006092335419682e-01
-2.4399999999999999e+00,2.1325525133370705e-02,1.4955307044707389e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.4955307044707389e-01
-2.4300000000000002e+00,2.1535234682990984e-02,1.4904242936642326e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.4904242936642326e-01
-2.4199999999999999e+00,2.1746960636197514e-02,1.4852899561791191e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.4852899561791191e-01
-2.4100000000000001e+00,2.1960721475966165e-02,1.4801276489335052e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.4801276489335052e-01
-2.3999999999999999e+00,2.2176535836811916e-02,1.4749373307458871e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.4749373307458871e-01
-2.3900000000000001e+00,2.2394422505672702e-02,1.4697189623745849e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.4697189623745849e-01
-2.3799999999999999e+00,2.2614400422790958e-02,1.4644725065577108e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.4644725065577108e-01
-2.3700000000000001e+00,2.2836488682592266e-02,1.4591979280535861e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.4591979280535861e-01
-2.3599999999999999e+00,2.3060706534561153e-02,1.4538951936817415e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.4538951936817415e-01
-2.3500000000000001e+00,2.3287073384113659e-02,1.4485642723643621e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.4485642723643621e-01
-2.3399999999999999e+00,2.3515608793466550e-02,1.4432051351682915e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.4432051351682915e-01
-2.3300000000000001e+00,2.3746332482502800e-02,1.4378177553475419e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.4378177553475419e-01
-2.3199999999999998e+00,2.3979264329633446e-02,1.4324021083863214e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.4324021083863214e-01
-2.3100000000000001e+00,2.4214424372654891e-02,1.4269581720425845e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.4269581720425845e-01
-2.2999999999999998e+00,2.4451832809602426e-02,1.4214859263921459e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.4214859263921459e-01
-2.2900000000000000e+00,2.4691509999598574e-02,1.4159853538732653e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.4159853538732653e-01
-2.2799999999999998e+00,2.4933476463696917e-02,1.4104564393318336e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.4104564393318336e-01
-2.2700000000000000e+00,2.5177752885720699e-02,1.4048991700670577e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.4048991700670577e-01
-2.2599999999999998e+00,2.5424360113095942e-02,1.3993135358776829e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.3993135358776829e-01
-2.2500000000000000e+00,2.5673319157678929e-02,1.3936995291087964e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.3936995291087964e-01
