BKM_distance,sharp_bound,local_distance_squared,symmetric_cycle_direct,asymmetric_cycle_direct,symmetric_z0,symmetric_z1,asymmetric_z0,asymmetric_z1
0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.0000000000000011e-01,5.0000000000000011e-01,9.4550326209418389e-01,9.4550326209418389e-01
7.4999999999999997e-03,5.6250000000247190e-05,5.6249999999999998e-05,5.6250000000250544e-05,5.6251002590240740e-05,4.9812500439452823e-01,5.0187499560547177e-01,9.4404712444320327e-01,9.4575834977641715e-01
1.4999999999999999e-02,2.2500000001582056e-04,2.2499999999999999e-04,2.2500000001583753e-04,2.2501583762024602e-04,4.9625003515615101e-01,5.0374996484384882e-01,9.4257294050067375e-01,9.4601287329579831e-01
2.2499999999999999e-02,5.0625000018020988e-04,5.0624999999999997e-04,5.0625000018020283e-04,5.0632916900483771e-04,4.9437511865159295e-01,5.0562488134840700e-01,9.4108077017814940e-01,9.4626683233019626e-01
2.9999999999999999e-02,9.0000000101256479e-04,8.9999999999999998e-04,9.0000000101259081e-04,9.0024709434766148e-04,4.9250028124683592e-01,5.0749971875316402e-01,9.3957067411815876e-01,9.4652022655819423e-01
3.7499999999999999e-02,1.4062500038627692e-03,1.4062499999999999e-03,1.4062500038627412e-03,1.4068458085799707e-03,4.9062554930675034e-01,5.0937445069324960e-01,9.3804271369174208e-01,9.4677305565908998e-01
4.4999999999999998e-02,2.0250000115346759e-03,2.0249999999999999e-03,2.0250000115346611e-03,2.0262203534699985e-03,4.8875094919472317e-01,5.1124905080527683e-01,9.3649695099595587e-01,9.4702531931289669e-01
5.2499999999999998e-02,2.7562500290876633e-03,2.7562499999999996e-03,2.7562500290876368e-03,2.7584834465238517e-03,4.8687650727228754e-01,5.1312349272771240e-01,9.3493344885134877e-01,9.4727701720034341e-01
5.9999999999999998e-02,3.6000000648166680e-03,3.5999999999999999e-03,3.6000000648167552e-03,3.6037643833556343e-03,4.8500224989875212e-01,5.1499775010124782e-01,9.3335227079941074e-01,9.4752814900287496e-01
6.7500000000000004e-02,4.5562501314109381e-03,4.5562500000000004e-03,4.5562501314109216e-03,4.5622080081217931e-03,4.8312820343083046e-01,5.1687179656916948e-01,9.3175348109998801e-01,9.4777871440265271e-01
7.4999999999999997e-02,5.6250002472917476e-03,5.6249999999999998e-03,5.6250002472917338e-03,5.6339737470570972e-03,4.8125439422226979e-01,5.1874560577773010e-01,9.3013714472867337e-01,9.4802871308255476e-01
8.2499999999999990e-02,6.8062504381294015e-03,6.8062499999999981e-03,6.8062504381293798e-03,6.8192347005826548e-03,4.7938084862348163e-01,5.2061915137651826e-01,9.2850332737416419e-01,9.4827814472617666e-01
8.9999999999999997e-02,8.1000007385398365e-03,8.0999999999999996e-03,8.1000007385397255e-03,8.1181767898106383e-03,4.7750759298116985e-01,5.2249240701882993e-01,9.2685209543559455e-01,9.4852700901783138e-01
